key	rule	slug	arm	tier	file	line	symbol	message	verdict	why
src/audio.rs:135:11:clone-block:395af9f4e8c6	rs:11	structural-clones	clone-block	indexed	src/audio.rs	135	wl_screenrec::audio::AudioState::flush	structural block clone x2 (5 stmts): wl_screenrec::EncState::flush, wl_screenrec::audio::AudioState::flush	real	Genuine T2 clone, not an accident of normalization: both bodies are the same ffmpeg teardown protocol (flush the 'in' source, drain, send_eof to the encoder, drain again) written once for audio and once for video.
src/main.rs:2150:11:clone-block:395af9f4e8c6	rs:11	structural-clones	clone-block	indexed	src/main.rs	2150	wl_screenrec::EncState::flush	structural block clone x2 (5 stmts): wl_screenrec::EncState::flush, wl_screenrec::audio::AudioState::flush	real	Same group, and this is the copy that drifted: EncState::flush sends send_eof unguarded at main.rs:2158 while the third copy of the sequence at main.rs:1097 guards it with enc_video_has_been_fed_any_frames against the ffmpeg pre-first-frame crash its own comment documents.
src/avhw.rs:277:23:cognitive-complexity:wl_screenrec::avhw::vk_filter_drm_modifiers	rs:23	cognitive-complexity	cognitive-complexity	heuristic	src/avhw.rs	277	wl_screenrec::avhw::vk_filter_drm_modifiers	wl_screenrec::avhw::vk_filter_drm_modifiers has cognitive complexity 15 (threshold 15)	real	Real at the bar: a labeled `continue 'outer` escapes four levels (for -> match arm -> cfg-gated inner for -> if with &&), which is exactly the comprehension cost the rule prices.
src/main.rs:1696:23:cognitive-complexity:wl_screenrec::get_encoder	rs:23	cognitive-complexity	cognitive-complexity	heuristic	src/main.rs	1696	wl_screenrec::get_encoder	wl_screenrec::get_encoder has cognitive complexity 21 (threshold 15)	real	Real: a four-deep if-let/else pyramid (args.hw -> hw_codec_id -> find_by_name -> Some/None) that resolves to an Option and is then re-matched twice more, all to compute 'pick a codec, warn if the preferred one is missing'.
src/main.rs:1789:23:cognitive-complexity:wl_screenrec::EncState::new	rs:23	cognitive-complexity	cognitive-complexity	heuristic	src/main.rs	1789	wl_screenrec::EncState::new	wl_screenrec::EncState::new has cognitive complexity 29 (threshold 15)	real	Real: 220 lines covering muxer open, codec query, hw device open, two frame contexts, filter graph, encoder params, audio and header write, with a low_power match whose Auto arm re-runs the whole 8-argument make_video_params on failure.
src/main.rs:2043:23:cognitive-complexity:wl_screenrec::EncState::on_encoded_packet	rs:23	cognitive-complexity	cognitive-complexity	heuristic	src/main.rs	2043	wl_screenrec::EncState::on_encoded_packet	wl_screenrec::EncState::on_encoded_packet has cognitive complexity 25 (threshold 15)	real	Real: match -> while let -> if let -> if -> a manual index-mutating removal loop, with two bare `break`s whose reason survives only in trailing comments.
src/main.rs:2234:23:cognitive-complexity:wl_screenrec::main	rs:23	cognitive-complexity	cognitive-complexity	heuristic	src/main.rs	2234	wl_screenrec::main	wl_screenrec::main has cognitive complexity 20 (threshold 15)	real	Real: eight sequential argument-validation guards (six of them with &&) plus three matches run before any work happens; the `fn validate(args: &Args)` this shape asks for was never extracted.
src/main.rs:2331:23:cognitive-complexity:wl_screenrec::execute	rs:23	cognitive-complexity	cognitive-complexity	heuristic	src/main.rs	2331	wl_screenrec::execute	wl_screenrec::execute has cognitive complexity 34 (threshold 15)	real	Real: a labeled poll loop nesting match -> for -> match -> for -> match with `break 'outer`, plus an if/else on the wayland read; the highest score in the crate and earned.
src/main.rs:1:27:price:wl_screenrec	rs:27	purchase-price	price	indexed	src/main.rs	1	wl_screenrec	wl_screenrec is 2431 lines holding 4 hot symbols (State (12), DrmModifier (8), DmabufPotentialFormat (4)) - every reader pays the whole file	real	Real: 2431 of the crate's 4181 prod lines holding Args, the CaptureSource trait, State, EncState, 11 Dispatch impls, geometry parsing, encoder selection, the history buffer, main and execute. Message wart only, not a site defect: it says '4 hot symbols' then names three.
src/audio.rs:1:29:top-loading:wl_screenrec::audio	rs:29	top-loading	top-loading	heuristic	src/audio.rs	1	wl_screenrec::audio	wl_screenrec::audio (404 lines, 4 top-level items) has no `//!` module doc	real	Real: 404 lines implementing a three-stage handoff (IncompleteAudioState -> AudioHandle -> AudioState on a spawned thread) whose ordering constraint is discoverable only by reading `finish`.
