key	rule	slug	arm	tier	file	line	symbol	message	verdict	why
crates/jwt-auth/src/oidc.rs:257:6:dishonest-accessor:salvo_jwt_auth::oidc::OidcDecoder::get_config	rs:6	dishonest-accessor	dishonest-accessor	indexed	crates/jwt-auth/src/oidc.rs	257	salvo_jwt_auth::oidc::OidcDecoder::get_config	salvo_jwt_auth::oidc::OidcDecoder::get_config is named like an accessor but its callee graph has effects: blocks	fp	An `async fn` returning Result is not the accessor contract #6 hunts: every call site spells `.await?`, so the HTTP fetch is declared by the signature rather than buried behind a field read.
crates/jwt-auth/src/oidc.rs:276:6:dishonest-accessor:salvo_jwt_auth::oidc::OidcDecoder::get_jwks	rs:6	dishonest-accessor	dishonest-accessor	indexed	crates/jwt-auth/src/oidc.rs	276	salvo_jwt_auth::oidc::OidcDecoder::get_jwks	salvo_jwt_auth::oidc::OidcDecoder::get_jwks is named like an accessor but its callee graph has effects: blocks	fp	Same shape: `async fn -> Result` with `.await?` at its call site, and its own doc opens with Triggers an HTTP Request, so nothing is hidden from a reader.
crates/jwt-auth/src/oidc.rs:360:6:dishonest-accessor:salvo_jwt_auth::oidc::OidcDecoder::get_kid_retry	rs:6	dishonest-accessor	dishonest-accessor	indexed	crates/jwt-auth/src/oidc.rs	360	salvo_jwt_auth::oidc::OidcDecoder::get_kid_retry	salvo_jwt_auth::oidc::OidcDecoder::get_kid_retry is named like an accessor but its callee graph has effects: blocks, spawns	fp	`async fn -> Result` whose doc states the retry path; the spawn it is charged with is revalidate_cache, which the method exists to trigger and which the caller sees through `.await?`.
crates/jwt-auth/src/oidc.rs:381:6:dishonest-accessor:salvo_jwt_auth::oidc::OidcDecoder::get_kid	rs:6	dishonest-accessor	dishonest-accessor	indexed	crates/jwt-auth/src/oidc.rs	381	salvo_jwt_auth::oidc::OidcDecoder::get_kid	salvo_jwt_auth::oidc::OidcDecoder::get_kid is named like an accessor but its callee graph has effects: blocks, spawns	fp	`async fn -> Result` whose doc spells out the stale-while-revalidate background update it triggers; the effect is declared in the contract, not concealed by a getter name.
crates/oapi/src/routing.rs:169:9:local-writers:salvo_oapi::routing::METADATA_REGISTRY	rs:9	shared-mutable-state	local-writers	indexed	crates/oapi/src/routing.rs	169	salvo_oapi::routing::METADATA_REGISTRY	Lazy salvo_oapi::routing::METADATA_REGISTRY is written from 4 functions of its own module: salvo_oapi::routing::Router::oapi_securities, salvo_oapi::routing::Router::oapi_security, salvo_oapi::routing::Router::oapi_tag, salvo_oapi::routing::Router::oapi_tags	real	A process-global RwLock<HashMap<router id, Metadata>> written by four RouterExt methods and read much later by RouterNode::new, with no eviction when a Router is dropped: action at a distance keyed by a reusable id.
crates/core/src/conn.rs:324:34:commented-code:salvo_core::conn:324	rs:34	noop-code	commented-code	heuristic	crates/core/src/conn.rs	324	salvo_core::conn	8 commented-out code lines - delete them; git remembers	real	Commented-out `pub fn version_from_alpn` left between live trait and struct definitions.
crates/core/src/extract/parameter/header.rs:67:34:commented-code:salvo_core::extract::parameter::header:67	rs:34	noop-code	commented-code	heuristic	crates/core/src/extract/parameter/header.rs	67	salvo_core::extract::parameter::header	11 commented-out code lines - delete them; git remembers	real	Commented-out second `impl Deserialize for HeaderParam<T, false>` sitting beside the live impl.
crates/core/src/test/request/builder.rs:87:34:commented-code:salvo_core::test::request::builder:87	rs:34	noop-code	commented-code	heuristic	crates/core/src/test/request/builder.rs	87	salvo_core::test::request::builder	9 commented-out code lines - delete them; git remembers	real	Commented-out builder method `param` with its doc comment, dead beside the live builder API.
crates/core/src/test/request/builder.rs:97:34:commented-code:salvo_core::test::request::builder:97	rs:34	noop-code	commented-code	heuristic	crates/core/src/test/request/builder.rs	97	salvo_core::test::request::builder	14 commented-out code lines - delete them; git remembers	real	Commented-out builder method `params`, the disabled twin of the live `queries` method above it.
crates/csrf/src/lib.rs:299:34:commented-code:salvo_csrf:299	rs:34	noop-code	commented-code	heuristic	crates/csrf/src/lib.rs	299	salvo_csrf	6 commented-out code lines - delete them; git remembers	real	Commented-out `clear_finders` builder method in the live CsrfBuilder impl block.
crates/csrf/src/lib.rs:306:34:commented-code:salvo_csrf:306	rs:34	noop-code	commented-code	heuristic	crates/csrf/src/lib.rs	306	salvo_csrf	6 commented-out code lines - delete them; git remembers	real	Commented-out `with_finders` builder method in the live CsrfBuilder impl block.
crates/macros/src/attribute.rs:17:34:commented-code:salvo_macros::attribute:17	rs:34	noop-code	commented-code	heuristic	crates/macros/src/attribute.rs	17	salvo_macros::attribute	16 commented-out code lines - delete them; git remembers	real	Commented-out `has_nested_path` helper, whole function body disabled at module scope.
crates/oapi-macros/src/feature/attributes.rs:790:34:commented-code:salvo_oapi_macros::feature::attributes:790	rs:34	noop-code	commented-code	heuristic	crates/oapi-macros/src/feature/attributes.rs	790	salvo_oapi_macros::feature::attributes	8 commented-out code lines - delete them; git remembers	real	Commented-out `parse_aliases` function between live Parse impls.
crates/oapi-macros/src/feature/attributes.rs:808:34:commented-code:salvo_oapi_macros::feature::attributes:808	rs:34	noop-code	commented-code	heuristic	crates/oapi-macros/src/feature/attributes.rs	808	salvo_oapi_macros::feature::attributes	5 commented-out code lines - delete them; git remembers	real	Commented-out `impl ToTokens for Aliases` between the live Parse and From impls.
crates/oapi-macros/src/feature/validators.rs:34:34:commented-code:salvo_oapi_macros::feature::validators:34	rs:34	noop-code	commented-code	heuristic	crates/oapi-macros/src/feature/validators.rs	34	salvo_oapi_macros::feature::validators	9 commented-out code lines - delete them; git remembers	real	Commented-out `IsInteger` validator struct and its Validator impl, dead between two live validators.
crates/oapi-macros/src/operation.rs:135:34:commented-code:salvo_oapi_macros::operation:135	rs:34	noop-code	commented-code	heuristic	crates/oapi-macros/src/operation.rs	135	salvo_oapi_macros::operation	4 commented-out code lines - delete them; git remembers	real	Commented-out `Responses` modifier statements inside a live token-generation body.
crates/oapi-macros/src/operation.rs:435:34:commented-code:salvo_oapi_macros::operation:435	rs:34	noop-code	commented-code	heuristic	crates/oapi-macros/src/operation.rs	435	salvo_oapi_macros::operation	4 commented-out code lines - delete them; git remembers	real	Commented-out `is_option` method with its doc comment inside a live TypeTree impl.
crates/oapi/src/openapi/schema/array.rs:378:34:commented-code:salvo_oapi::openapi::schema::array:378	rs:34	noop-code	commented-code	heuristic	crates/oapi/src/openapi/schema/array.rs	378	salvo_oapi::openapi::schema::array	11 commented-out code lines - delete them; git remembers	real	Commented-out `ToArray` trait plus its `impl ToArray for Array`, dead at module scope.
crates/tus/src/handlers/patch.rs:226:34:commented-code:salvo_tus::handlers::patch:226	rs:34	noop-code	commented-code	heuristic	crates/tus/src/handlers/patch.rs	226	salvo_tus::handlers::patch	3 commented-out code lines - delete them; git remembers	real	Commented-out `calculate_max_body_size` / `store.write` statements in the middle of the live patch handler.
crates/tus/src/options.rs:312:34:noop-match:salvo_tus::options::TusOptions::generate_upload_url	rs:34	noop-code	noop-match	heuristic	crates/tus/src/options.rs	312	salvo_tus::options::TusOptions::generate_upload_url	this `match` returns what it matched in every arm over 12 lines - it decides nothing	real	`match callback(..) { Ok(url) => Ok(url), Err(e) => Err(e) }` rebuilds both arms unchanged; `return callback(..)` is the same code with ten fewer lines.
crates/tus/src/options.rs:404:34:commented-code:salvo_tus::options:404	rs:34	noop-code	commented-code	heuristic	crates/tus/src/options.rs	404	salvo_tus::options	3 commented-out code lines - delete them; git remembers	real	Commented-out `calculate_max_body_size` method stub with a `todo!()` body, trailing the live impl block.
crates/tus/src/stores/mod.rs:55:34:commented-code:salvo_tus::stores:55	rs:34	noop-code	commented-code	heuristic	crates/tus/src/stores/mod.rs	55	salvo_tus::stores	4 commented-out code lines - delete them; git remembers	real	Commented-out `enum StoreType` at module scope beside the live StoreInfo struct.
crates/oapi-macros/src/operation.rs:392:37:single-impl:salvo_oapi_macros::operation::PathTypeTree	rs:37	speculative-generality	single-impl	indexed	crates/oapi-macros/src/operation.rs	392	salvo_oapi_macros::operation::PathTypeTree	trait salvo_oapi_macros::operation::PathTypeTree has exactly one implementation (salvo_oapi_macros::operation::TypeTree) - speculative abstraction	real	pub(crate) trait with one impl for the crate-local TypeTree; an inherent impl on TypeTree needs no trait and drops the import from operation/request_body.rs and response.rs.
crates/oapi/src/openapi/schema/number.rs:223:44:tautology:salvo_oapi::openapi::schema::number::tests::test_eq_is_reflexive_for_nan:223	rs:44	tautological-assertion	tautology	heuristic	crates/oapi/src/openapi/schema/number.rs	223	salvo_oapi::openapi::schema::number::tests::test_eq_is_reflexive_for_nan	salvo_oapi::openapi::schema::number::tests::test_eq_is_reflexive_for_nan asserts an expression against itself	fp	Not a tautology: Number has a hand-written PartialEq comparing float bit patterns, so `assert_eq!(nan, nan)` can fail (f64 NAN != NAN) and is the Eq reflexivity law the test names.
crates/core/src/conn/stream/handshake.rs:166:48:fold:salvo_core::conn::stream::handshake::invalid_data_error	rs:48	fold-candidate	fold	indexed	crates/core/src/conn/stream/handshake.rs	166	salvo_core::conn::stream::handshake::invalid_data_error	salvo_core::conn::stream::handshake::invalid_data_error (one line) is called once, from salvo_core::conn::stream::handshake::HandshakeStream::poll_handshake: fold it into the caller	real	Pure wrapper over IoError::new with one caller; the match arm reads the same with the constructor spelled out.
