key	rule	slug	arm	tier	file	line	symbol	message	verdict	why
hypothesis/hypothesis/tests/conjecture/test_choice.py:289:44:tautology:hypothesis.tests.conjecture.test_choice.test_copy_choice_node:289	44	tautological-assertion	tautology	heuristic	hypothesis/tests/conjecture/test_choice.py	289	hypothesis.tests.conjecture.test_choice.test_copy_choice_node	hypothesis.tests.conjecture.test_choice.test_copy_choice_node asserts an expression against itself	fp	node is a ChoiceNode, whose __eq__ the repo writes (internal/conjecture/choice.py:172), so node == node runs that dunder's reflexive path and can fail; compares_repo_code misses it because node is a @given parameter, not a name bound to a constructor call
hypothesis/hypothesis/tests/conjecture/test_choice.py:301:44:tautology:hypothesis.tests.conjecture.test_choice.test_choice_node_equality:301	44	tautological-assertion	tautology	heuristic	hypothesis/tests/conjecture/test_choice.py	301	hypothesis.tests.conjecture.test_choice.test_choice_node_equality	hypothesis.tests.conjecture.test_choice.test_choice_node_equality asserts an expression against itself	fp	test_choice_node_equality: the comparison is the subject under test - ChoiceNode.__eq__ at internal/conjecture/choice.py:172, whose NotImplemented arm the next line pins
hypothesis/hypothesis/tests/conjecture/test_test_data.py:368:44:tautology:hypothesis.tests.conjecture.test_test_data.test_example_equality:368	44	tautological-assertion	tautology	heuristic	hypothesis/tests/conjecture/test_test_data.py	368	hypothesis.tests.conjecture.test_test_data.test_example_equality	hypothesis.tests.conjecture.test_test_data.test_example_equality asserts an expression against itself	fp	Span writes __eq__ and __ne__ (internal/conjecture/data.py:172ff) and the loop pins both directions; the # noqa on the paired line marks the self-comparison as deliberate
hypothesis/hypothesis/tests/cover/test_settings.py:640:44:tautology:hypothesis.tests.cover.test_settings.test_verbosity_is_comparable:640	44	tautological-assertion	tautology	heuristic	hypothesis/tests/cover/test_settings.py	640	hypothesis.tests.cover.test_settings.test_verbosity_is_comparable	hypothesis.tests.cover.test_settings.test_verbosity_is_comparable asserts an expression against itself	fp	Verbosity is @total_ordering (_settings.py:63), so <= runs the repo's derived comparison over its own __lt__; the line is one rung of a deliberate order ladder
hypothesis/hypothesis/tests/cover/test_settings.py:641:44:tautology:hypothesis.tests.cover.test_settings.test_verbosity_is_comparable:641	44	tautological-assertion	tautology	heuristic	hypothesis/tests/cover/test_settings.py	641	hypothesis.tests.cover.test_settings.test_verbosity_is_comparable	hypothesis.tests.cover.test_settings.test_verbosity_is_comparable asserts an expression against itself	fp	the == rung of the same deliberate order ladder, the diagonal of a comparison matrix that separates a broken order from a broken equality
hypothesis/hypothesis/tests/cover/test_settings.py:642:44:tautology:hypothesis.tests.cover.test_settings.test_verbosity_is_comparable:642	44	tautological-assertion	tautology	heuristic	hypothesis/tests/cover/test_settings.py	642	hypothesis.tests.cover.test_settings.test_verbosity_is_comparable	hypothesis.tests.cover.test_settings.test_verbosity_is_comparable asserts an expression against itself	fp	>= under @total_ordering, so the comparison is repo-derived code and the line is the last rung of the order ladder
LibCST/libcst/codemod/commands/tests/test_convert_percent_format_to_fstring.py:46:44:tautology:libcst.codemod.commands.tests.test_convert_percent_format_to_fstring.ConvertPercentFormatStringCommandTest.test_not_supported_case:46	44	tautological-assertion	tautology	heuristic	libcst/codemod/commands/tests/test_convert_percent_format_to_fstring.py	46	libcst.codemod.commands.tests.test_convert_percent_format_to_fstring.ConvertPercentFormatStringCommandTest.test_not_supported_case	libcst.codemod.commands.tests.test_convert_percent_format_to_fstring.ConvertPercentFormatStringCommandTest.test_not_supported_case asserts an expression against itself	fp	assertCodemod(before, after) runs the codemod on before and compares the result with after (libcst/codemod/_testing.py); one string passed twice asserts the codemod is a no-op here, a real check that can fail - the two arguments are input and expected, not operands
LibCST/libcst/codemod/commands/tests/test_convert_percent_format_to_fstring.py:48:44:tautology:libcst.codemod.commands.tests.test_convert_percent_format_to_fstring.ConvertPercentFormatStringCommandTest.test_not_supported_case:48	44	tautological-assertion	tautology	heuristic	libcst/codemod/commands/tests/test_convert_percent_format_to_fstring.py	48	libcst.codemod.commands.tests.test_convert_percent_format_to_fstring.ConvertPercentFormatStringCommandTest.test_not_supported_case	libcst.codemod.commands.tests.test_convert_percent_format_to_fstring.ConvertPercentFormatStringCommandTest.test_not_supported_case asserts an expression against itself	fp	assertCodemod(before, after) runs the codemod on before and compares the result with after (libcst/codemod/_testing.py); one string passed twice asserts the codemod is a no-op here, a real check that can fail - the two arguments are input and expected, not operands
LibCST/libcst/codemod/commands/tests/test_remove_unused_imports.py:102:44:tautology:libcst.codemod.commands.tests.test_remove_unused_imports.RemoveUnusedImportsCommandTest.test_no_formatting_if_no_unused_imports:102	44	tautological-assertion	tautology	heuristic	libcst/codemod/commands/tests/test_remove_unused_imports.py	102	libcst.codemod.commands.tests.test_remove_unused_imports.RemoveUnusedImportsCommandTest.test_no_formatting_if_no_unused_imports	libcst.codemod.commands.tests.test_remove_unused_imports.RemoveUnusedImportsCommandTest.test_no_formatting_if_no_unused_imports asserts an expression against itself	fp	assertCodemod(before, after) runs the codemod on before and compares the result with after (libcst/codemod/_testing.py); one string passed twice asserts the codemod is a no-op here, a real check that can fail - the two arguments are input and expected, not operands
LibCST/libcst/codemod/commands/tests/test_remove_unused_imports.py:113:44:tautology:libcst.codemod.commands.tests.test_remove_unused_imports.RemoveUnusedImportsCommandTest.test_suppression_on_first_line_of_multiline_import_refers_to_whole_block:113	44	tautological-assertion	tautology	heuristic	libcst/codemod/commands/tests/test_remove_unused_imports.py	113	libcst.codemod.commands.tests.test_remove_unused_imports.RemoveUnusedImportsCommandTest.test_suppression_on_first_line_of_multiline_import_refers_to_whole_block	libcst.codemod.commands.tests.test_remove_unused_imports.RemoveUnusedImportsCommandTest.test_suppression_on_first_line_of_multiline_import_refers_to_whole_block asserts an expression against itself	fp	assertCodemod(before, after) runs the codemod on before and compares the result with after (libcst/codemod/_testing.py); one string passed twice asserts the codemod is a no-op here, a real check that can fail - the two arguments are input and expected, not operands
