key	rule	slug	arm	tier	file	line	symbol	message	verdict	why
indextree/src/debug_pretty_print.rs:31:11:clone:244c0affefa2	rs:11	structural-clones	clone	indexed	indextree/src/debug_pretty_print.rs	31	indextree::debug_pretty_print::IndentedBlockState::as_str	structural clone x2: indextree::debug_pretty_print::IndentedBlockState::as_str, indextree::debug_pretty_print::IndentedBlockState::as_str_leading	real	real: the same 4-case (is_last_item, is_first_line) table is spelled three times here (as_str:31, as_str_leading:42, as_str_trailing_spaces:53) and as_str is exactly leading++trailing in all four cases, so an indent-style change must be repeated in three places with nothing checking it
indextree/src/debug_pretty_print.rs:42:11:clone:244c0affefa2	rs:11	structural-clones	clone	indexed	indextree/src/debug_pretty_print.rs	42	indextree::debug_pretty_print::IndentedBlockState::as_str_leading	structural clone x2: indextree::debug_pretty_print::IndentedBlockState::as_str, indextree::debug_pretty_print::IndentedBlockState::as_str_leading	real	real: the same 4-case (is_last_item, is_first_line) table is spelled three times here (as_str:31, as_str_leading:42, as_str_trailing_spaces:53) and as_str is exactly leading++trailing in all four cases, so an indent-style change must be repeated in three places with nothing checking it
indextree/src/id.rs:909:11:clone:e38159732433	rs:11	structural-clones	clone	indexed	indextree/src/id.rs	909	indextree::id::NodeId::checked_detach	structural clone x5: indextree::id::NodeId::checked_detach, indextree::id::NodeId::checked_remove, indextree::id::NodeId::checked_remove_subtree +2 more	real	real: five byte-identical guard wrappers modulo the delegate name (is_removed -> Err(Removed), call, Ok); the removed-check fact has five homes and the next checked_* method copies it a sixth time
indextree/src/id.rs:1563:11:clone:e38159732433	rs:11	structural-clones	clone	indexed	indextree/src/id.rs	1563	indextree::id::NodeId::checked_remove	structural clone x5: indextree::id::NodeId::checked_detach, indextree::id::NodeId::checked_remove, indextree::id::NodeId::checked_remove_subtree +2 more	real	real: five byte-identical guard wrappers modulo the delegate name (is_removed -> Err(Removed), call, Ok); the removed-check fact has five homes and the next checked_* method copies it a sixth time
indextree/src/id.rs:1687:11:clone:e38159732433	rs:11	structural-clones	clone	indexed	indextree/src/id.rs	1687	indextree::id::NodeId::checked_remove_subtree	structural clone x5: indextree::id::NodeId::checked_detach, indextree::id::NodeId::checked_remove, indextree::id::NodeId::checked_remove_subtree +2 more	real	real: five byte-identical guard wrappers modulo the delegate name (is_removed -> Err(Removed), call, Ok); the removed-check fact has five homes and the next checked_* method copies it a sixth time
indextree/src/id.rs:1745:11:clone-block:e4c4d7e00d2c	rs:11	structural-clones	clone-block	indexed	indextree/src/id.rs	1745	indextree::id::NodeId::remove_subtree	structural block clone x2 (5 stmts): indextree::id::NodeId::remove_children, indextree::id::NodeId::remove_subtree	real	real: the 5-statement free-walk block is copied verbatim between remove_subtree and remove_children and has already drifted - the `if a == self { return None; }` guard exists at 1933 and not at 1751
indextree/src/id.rs:1781:11:clone:e38159732433	rs:11	structural-clones	clone	indexed	indextree/src/id.rs	1781	indextree::id::NodeId::checked_detach_children	structural clone x5: indextree::id::NodeId::checked_detach, indextree::id::NodeId::checked_remove, indextree::id::NodeId::checked_remove_subtree +2 more	real	real: five byte-identical guard wrappers modulo the delegate name (is_removed -> Err(Removed), call, Ok); the removed-check fact has five homes and the next checked_* method copies it a sixth time
indextree/src/id.rs:1867:11:clone:e38159732433	rs:11	structural-clones	clone	indexed	indextree/src/id.rs	1867	indextree::id::NodeId::checked_remove_children	structural clone x5: indextree::id::NodeId::checked_detach, indextree::id::NodeId::checked_remove, indextree::id::NodeId::checked_remove_subtree +2 more	real	real: five byte-identical guard wrappers modulo the delegate name (is_removed -> Err(Removed), call, Ok); the removed-check fact has five homes and the next checked_* method copies it a sixth time
indextree/src/id.rs:1925:11:clone-block:e4c4d7e00d2c	rs:11	structural-clones	clone-block	indexed	indextree/src/id.rs	1925	indextree::id::NodeId::remove_children	structural block clone x2 (5 stmts): indextree::id::NodeId::remove_children, indextree::id::NodeId::remove_subtree	real	real: the 5-statement free-walk block is copied verbatim between remove_subtree and remove_children and has already drifted - the `if a == self { return None; }` guard exists at 1933 and not at 1751
indextree/src/traverse.rs:273:11:clone:6399f0a1f76d	rs:11	structural-clones	clone	indexed	indextree/src/traverse.rs	273	indextree::traverse::Descendants::size_hint	structural clone x3: indextree::traverse::Descendants::size_hint, indextree::traverse::Traverse::size_hint, indextree::traverse::ReverseTraverse::size_hint	real	real: the same is_some -> (1, None) else (0, Some(0)) body appears five times in this module (273, 552, 601 plus the macro arms at 87 and 125); one shared helper replaces all five
indextree/src/traverse.rs:383:11:clone:cd451c308742	rs:11	structural-clones	clone	indexed	indextree/src/traverse.rs	383	indextree::traverse::NodeEdge::next_traverse	structural clone x2: indextree::traverse::NodeEdge::next_traverse, indextree::traverse::NodeEdge::prev_traverse	fp	fp: mirror pair - two documented pub methods on NodeEdge whose bodies differ at every mirrored axis (first_child/last_child, next/previous_sibling, Start/End); merging needs a direction parameter threaded through a public API and makes both call sites worse, so the only fact actually duplicated is the 3-line comment at 393/496
indextree/src/traverse.rs:486:11:clone:cd451c308742	rs:11	structural-clones	clone	indexed	indextree/src/traverse.rs	486	indextree::traverse::NodeEdge::prev_traverse	structural clone x2: indextree::traverse::NodeEdge::next_traverse, indextree::traverse::NodeEdge::prev_traverse	fp	fp: mirror pair - two documented pub methods on NodeEdge whose bodies differ at every mirrored axis (first_child/last_child, next/previous_sibling, Start/End); merging needs a direction parameter threaded through a public API and makes both call sites worse, so the only fact actually duplicated is the 3-line comment at 393/496
indextree/src/traverse.rs:518:11:clone:b5ef582024e2	rs:11	structural-clones	clone	indexed	indextree/src/traverse.rs	518	indextree::traverse::Traverse::new	structural clone x2: indextree::traverse::Traverse::new, indextree::traverse::ReverseTraverse::new	real	real: Traverse and ReverseTraverse are the same struct with the same three fields and their new/next_of_next/next/size_hint are all clone groups; weakest member alone (one struct literal), but the module's own new_iterator! macro at :51 is the established remedy and was not applied to this pair
indextree/src/traverse.rs:527:11:clone:c60b94f406b9	rs:11	structural-clones	clone	indexed	indextree/src/traverse.rs	527	indextree::traverse::Traverse::next_of_next	structural clone x2: indextree::traverse::Traverse::next_of_next, indextree::traverse::ReverseTraverse::next_of_next	real	real: mirrored bodies of a fully duplicated private type pair, not a public API mirror - collapsing Traverse/ReverseTraverse behind the module's own new_iterator! macro removes this copy with no direction parameter at any call site
indextree/src/traverse.rs:546:11:clone:cc6c81bfbd17	rs:11	structural-clones	clone	indexed	indextree/src/traverse.rs	546	indextree::traverse::Traverse::next	structural clone x2: indextree::traverse::Traverse::next, indextree::traverse::ReverseTraverse::next	real	real: the two Iterator::next bodies are byte-identical (take, next_of_next, Some), the direction difference having already been factored into next_of_next; nothing distinguishes the two impls
indextree/src/traverse.rs:552:11:clone:6399f0a1f76d	rs:11	structural-clones	clone	indexed	indextree/src/traverse.rs	552	indextree::traverse::Traverse::size_hint	structural clone x3: indextree::traverse::Descendants::size_hint, indextree::traverse::Traverse::size_hint, indextree::traverse::ReverseTraverse::size_hint	real	real: the same is_some -> (1, None) else (0, Some(0)) body appears five times in this module (273, 552, 601 plus the macro arms at 87 and 125); one shared helper replaces all five
indextree/src/traverse.rs:575:11:clone:b5ef582024e2	rs:11	structural-clones	clone	indexed	indextree/src/traverse.rs	575	indextree::traverse::ReverseTraverse::new	structural clone x2: indextree::traverse::Traverse::new, indextree::traverse::ReverseTraverse::new	real	real: Traverse and ReverseTraverse are the same struct with the same three fields and their new/next_of_next/next/size_hint are all clone groups; weakest member alone (one struct literal), but the module's own new_iterator! macro at :51 is the established remedy and was not applied to this pair
indextree/src/traverse.rs:584:11:clone:c60b94f406b9	rs:11	structural-clones	clone	indexed	indextree/src/traverse.rs	584	indextree::traverse::ReverseTraverse::next_of_next	structural clone x2: indextree::traverse::Traverse::next_of_next, indextree::traverse::ReverseTraverse::next_of_next	real	real: mirrored bodies of a fully duplicated private type pair, not a public API mirror - collapsing Traverse/ReverseTraverse behind the module's own new_iterator! macro removes this copy with no direction parameter at any call site
indextree/src/traverse.rs:595:11:clone:cc6c81bfbd17	rs:11	structural-clones	clone	indexed	indextree/src/traverse.rs	595	indextree::traverse::ReverseTraverse::next	structural clone x2: indextree::traverse::Traverse::next, indextree::traverse::ReverseTraverse::next	real	real: the two Iterator::next bodies are byte-identical (take, next_of_next, Some), the direction difference having already been factored into next_of_next; nothing distinguishes the two impls
indextree/src/traverse.rs:601:11:clone:6399f0a1f76d	rs:11	structural-clones	clone	indexed	indextree/src/traverse.rs	601	indextree::traverse::ReverseTraverse::size_hint	structural clone x3: indextree::traverse::Descendants::size_hint, indextree::traverse::Traverse::size_hint, indextree::traverse::ReverseTraverse::size_hint	real	real: the same is_some -> (1, None) else (0, Some(0)) body appears five times in this module (273, 552, 601 plus the macro arms at 87 and 125); one shared helper replaces all five
indextree/src/arena.rs:646:23:cognitive-complexity:indextree::arena::Arena::validate	rs:23	cognitive-complexity	cognitive-complexity	heuristic	indextree/src/arena.rs	646	indextree::arena::Arena::validate	indextree::arena::Arena::validate has cognitive complexity 62 (threshold 15)	real	real: ~110 lines with two top-level loops, a nested child-chain walk and a free-list walk each carrying its own step counter, and 20 `return false` exits; the caller learns only true/false and cannot tell which invariant broke
indextree/src/debug_pretty_print.rs:181:23:cognitive-complexity:indextree::debug_pretty_print::IndentWriter::write_str	rs:23	cognitive-complexity	cognitive-complexity	heuristic	indextree/src/debug_pretty_print.rs	181	indextree::debug_pretty_print::IndentWriter::write_str	indextree::debug_pretty_print::IndentWriter::write_str has cognitive complexity 19 (threshold 15)	real	real: a three-state line-writing machine (BeforeIndent/PartialIndent/Content) plus a pending-indent counter driven inside a byte-slice while loop; the indent-completion half splits out cleanly
indextree-macros/src/lib.rs:1:29:top-loading:indextree_macros	rs:29	top-loading	top-loading	heuristic	indextree-macros/src/lib.rs	1	indextree_macros	indextree_macros (321 lines, 7 top-level items) has no `//!` module doc	real	real: 321-line crate root with no //! header at all while every module in the sibling indextree crate has one; the first screen is a use block, so nothing states the parse -> stack -> action-coalesce -> quote pipeline
indextree/tests/remove.rs:7:42:assertion-free:indextree::tests::remove::toplevel_with_no_child	rs:42	assertion-free-test	assertion-free	indexed	indextree/tests/remove.rs	7	indextree::tests::remove::toplevel_with_no_child	indextree::tests::remove::toplevel_with_no_child asserts nothing - it can only fail by panicking	real	body builds a one-node arena and calls n1.remove(&mut arena) with nothing checked afterwards, while every sibling test in the file asserts the post-remove shape - remove could leave any state and this passes
