key	rule	slug	arm	tier	file	line	symbol	message	verdict	why
skills/glmv-grounding/scripts/utils_boxes.py:280:20:lambda:utils_boxes:9d737d7b	20	repeated-lambda	lambda	heuristic	skills/glmv-grounding/scripts/utils_boxes.py	280	utils_boxes.draw_texts_on_frame	lambda `lambda x: int(x)` appears 4x in utils_boxes - name it once	real	round_fn=lambda x: int(x) written four times, and the name it wants already exists: int
glmv_reward/tests/general/test_general_verifier.py:1:34:commented-code:glmv_reward.tests.general.test_general_verifier:1	34	noop-code	commented-code	heuristic	glmv_reward/tests/general/test_general_verifier.py	1	glmv_reward.tests.general.test_general_verifier	3 commented-out code lines - delete them; git remembers	real	the whole file is commented out (283 lines, zero live statements) - a dead test module git already remembers
glmv_reward/tests/general/test_general_verifier.py:91:34:commented-code:glmv_reward.tests.general.test_general_verifier:91	34	noop-code	commented-code	heuristic	glmv_reward/tests/general/test_general_verifier.py	91	glmv_reward.tests.general.test_general_verifier	7 commented-out code lines - delete them; git remembers	real	the whole file is commented out (283 lines, zero live statements) - a dead test module git already remembers
glmv_reward/tests/general/test_general_verifier.py:122:34:commented-code:glmv_reward.tests.general.test_general_verifier:122	34	noop-code	commented-code	heuristic	glmv_reward/tests/general/test_general_verifier.py	122	glmv_reward.tests.general.test_general_verifier	4 commented-out code lines - delete them; git remembers	real	the whole file is commented out (283 lines, zero live statements) - a dead test module git already remembers
glmv_reward/tests/general/test_general_verifier.py:128:34:commented-code:glmv_reward.tests.general.test_general_verifier:128	34	noop-code	commented-code	heuristic	glmv_reward/tests/general/test_general_verifier.py	128	glmv_reward.tests.general.test_general_verifier	6 commented-out code lines - delete them; git remembers	real	the whole file is commented out (283 lines, zero live statements) - a dead test module git already remembers
glmv_reward/tests/general/test_general_verifier.py:141:34:commented-code:glmv_reward.tests.general.test_general_verifier:141	34	noop-code	commented-code	heuristic	glmv_reward/tests/general/test_general_verifier.py	141	glmv_reward.tests.general.test_general_verifier	7 commented-out code lines - delete them; git remembers	real	the whole file is commented out (283 lines, zero live statements) - a dead test module git already remembers
glmv_reward/tests/general/test_general_verifier.py:163:34:commented-code:glmv_reward.tests.general.test_general_verifier:163	34	noop-code	commented-code	heuristic	glmv_reward/tests/general/test_general_verifier.py	163	glmv_reward.tests.general.test_general_verifier	4 commented-out code lines - delete them; git remembers	real	the whole file is commented out (283 lines, zero live statements) - a dead test module git already remembers
glmv_reward/tests/general/test_general_verifier.py:175:34:commented-code:glmv_reward.tests.general.test_general_verifier:175	34	noop-code	commented-code	heuristic	glmv_reward/tests/general/test_general_verifier.py	175	glmv_reward.tests.general.test_general_verifier	4 commented-out code lines - delete them; git remembers	real	the whole file is commented out (283 lines, zero live statements) - a dead test module git already remembers
glmv_reward/tests/general/test_general_verifier.py:194:34:commented-code:glmv_reward.tests.general.test_general_verifier:194	34	noop-code	commented-code	heuristic	glmv_reward/tests/general/test_general_verifier.py	194	glmv_reward.tests.general.test_general_verifier	5 commented-out code lines - delete them; git remembers	real	the whole file is commented out (283 lines, zero live statements) - a dead test module git already remembers
glmv_reward/tests/general/test_general_verifier.py:249:34:commented-code:glmv_reward.tests.general.test_general_verifier:249	34	noop-code	commented-code	heuristic	glmv_reward/tests/general/test_general_verifier.py	249	glmv_reward.tests.general.test_general_verifier	6 commented-out code lines - delete them; git remembers	real	the whole file is commented out (283 lines, zero live statements) - a dead test module git already remembers
glmv_reward/tests/general/test_general_verifier.py:256:34:commented-code:glmv_reward.tests.general.test_general_verifier:256	34	noop-code	commented-code	heuristic	glmv_reward/tests/general/test_general_verifier.py	256	glmv_reward.tests.general.test_general_verifier	4 commented-out code lines - delete them; git remembers	real	the whole file is commented out (283 lines, zero live statements) - a dead test module git already remembers
glmv_reward/tests/general/test_general_verifier_math.py:6:34:commented-code:glmv_reward.tests.general.test_general_verifier_math:6	34	noop-code	commented-code	heuristic	glmv_reward/tests/general/test_general_verifier_math.py	6	glmv_reward.tests.general.test_general_verifier_math	3 commented-out code lines - delete them; git remembers	real	the file's only live lines are two imports; every test in it is commented out
glmv_reward/tests/general/test_general_verifier_math.py:10:34:commented-code:glmv_reward.tests.general.test_general_verifier_math:10	34	noop-code	commented-code	heuristic	glmv_reward/tests/general/test_general_verifier_math.py	10	glmv_reward.tests.general.test_general_verifier_math	3 commented-out code lines - delete them; git remembers	real	the file's only live lines are two imports; every test in it is commented out
glmv_reward/tests/general/test_general_verifier_math.py:28:34:commented-code:glmv_reward.tests.general.test_general_verifier_math:28	34	noop-code	commented-code	heuristic	glmv_reward/tests/general/test_general_verifier_math.py	28	glmv_reward.tests.general.test_general_verifier_math	3 commented-out code lines - delete them; git remembers	real	the file's only live lines are two imports; every test in it is commented out
