key	rule	slug	arm	tier	file	line	symbol	message	verdict	why
src/league_predictor/lifecycle/slots.py:198:7:protocol-doc:198	7	comment-borne-protocol	protocol-doc	heuristic	src/league_predictor/lifecycle/slots.py	198	league_predictor.lifecycle.slots._StagedTrain.publish	protocol narrated in docstring of league_predictor.lifecycle.slots._StagedTrain.publish - encode it (receipt type or lifted precondition)	real	a genuine ordering protocol ('must be called BEFORE the id is registered') carried only by prose and a comment at its single caller in _spine.py; publish() returning a token the registration step consumes would make the order unwritable wrong
scripts/research/scaling/validate_scaling.py:129:35:hoistable-import:validate_scaling.main:from league_predictor.draft_grading.leagueofgraphs_matchups import load_matchup_cache	35	import-topology	hoistable-import	indexed	scripts/research/scaling/validate_scaling.py	129	validate_scaling.main	function-scope import of league_predictor.draft_grading.leagueofgraphs_matchups hides no cycle: hoist it (a deliberate startup deferral carries # sightline-ok: 35)	real	section-local import style in a long research main (it even re-imports datetime.date beside it); the module is stdlib+numpy-free of cycles and belongs at the top
src/league_predictor/dashboard/model_serving.py:183:35:hoistable-import:league_predictor.dashboard.model_serving.DraftScorer.suggest:from league_predictor.draft_grading.suggest import require_legal_draft	35	import-topology	hoistable-import	indexed	src/league_predictor/dashboard/model_serving.py	183	league_predictor.dashboard.model_serving.DraftScorer.suggest	function-scope import of league_predictor.draft_grading.suggest hides no cycle: hoist it (a deliberate startup deferral carries # sightline-ok: 35)	real	draft_grading.suggest pulls only numpy and vocab (no torch, no grader chain) and draft_grading/__init__ is light, so the deferral defends no startup cost while the module already imports db and lifecycle at top level
src/league_predictor/dashboard/model_serving.py:210:35:hoistable-import:league_predictor.dashboard.model_serving.DraftScorer.rollout_values:from league_predictor.draft_grading.suggest import board_after_pick, require_legal_draft	35	import-topology	hoistable-import	indexed	src/league_predictor/dashboard/model_serving.py	210	league_predictor.dashboard.model_serving.DraftScorer.rollout_values	function-scope import of league_predictor.draft_grading.suggest hides no cycle: hoist it (a deliberate startup deferral carries # sightline-ok: 35)	real	the same light module imported a second time in the sibling method - one module-level import would serve both and remove the duplication
src/league_predictor/draft_grading/grader/knowledge_tables.py:63:35:hoistable-import:league_predictor.draft_grading.grader.knowledge_tables.build_knowledge_tables:from league_predictor.draft_grading.champion_attributes.ability_store import load_ability_vectors	35	import-topology	hoistable-import	indexed	src/league_predictor/draft_grading/grader/knowledge_tables.py	63	league_predictor.draft_grading.grader.knowledge_tables.build_knowledge_tables	function-scope import of league_predictor.draft_grading.champion_attributes.ability_store hides no cycle - league_predictor.draft_grading.champion_attributes.ability_store runs code at import time, which the deferral moves to first call: hoist it (a deliberate startup deferral carries # sightline-ok: 35)	real	the module already names ability_store in its TYPE_CHECKING block and that module only sets a path constant at import time, so the runtime deferral hides nothing
src/league_predictor/draft_grading/grader/knowledge_tables.py:77:35:entangled:league_predictor.draft_grading.grader.knowledge_tables<->league_predictor.draft_grading.grader.lane_pair_features	35	import-topology	entangled	indexed	src/league_predictor/draft_grading/grader/knowledge_tables.py	77	league_predictor.draft_grading.grader.knowledge_tables.build_knowledge_tables	league_predictor.draft_grading.grader.knowledge_tables, league_predictor.draft_grading.grader.lane_pair_features import each other (cycle hidden behind a deferred import)	real	both directions are function-scope imports (KnowledgeTables into lane_pair_features, _tool_weight_matrix back), so neither module can be read or loaded alone
src/league_predictor/lifecycle/operations.py:35:35:hoistable-import:league_predictor.lifecycle.operations.backfill_current_prds:from league_predictor.postdraft import coverage as postdraft_coverage	35	import-topology	hoistable-import	indexed	src/league_predictor/lifecycle/operations.py	35	league_predictor.lifecycle.operations.backfill_current_prds	function-scope import of league_predictor.postdraft.coverage hides no cycle - league_predictor.postdraft.coverage runs code at import time, which the deferral moves to first call: hoist it (a deliberate startup deferral carries # sightline-ok: 35)	fp	the flagged line is the second half of a two-import deferred block whose first line (from league_predictor.lifecycle import get) is cycle-bound; hoisting one and leaving the other reads worse than the block
src/league_predictor/orchestrator/jobs.py:87:35:hoistable-import:league_predictor.orchestrator.jobs.ingest_and_refresh:from league_predictor.db import ensure_database_ready	35	import-topology	hoistable-import	indexed	src/league_predictor/orchestrator/jobs.py	87	league_predictor.orchestrator.jobs.ingest_and_refresh	function-scope import of league_predictor.db hides no cycle - league_predictor.db runs code at import time, which the deferral moves to first call: hoist it (a deliberate startup deferral carries # sightline-ok: 35)	real	the module already does 'from league_predictor.db import get_connection' at top level, so deferring a second name from the same module costs a line and buys nothing
src/league_predictor/orchestrator/jobs.py:221:35:hoistable-import:league_predictor.orchestrator.jobs.sync_upcoming:from league_predictor.upcoming import pandascore, service	35	import-topology	hoistable-import	indexed	src/league_predictor/orchestrator/jobs.py	221	league_predictor.orchestrator.jobs.sync_upcoming	function-scope import of league_predictor.upcoming.pandascore hides no cycle: hoist it (a deliberate startup deferral carries # sightline-ok: 35)	real	import-at-use-site style, in a block that also re-imports stdlib datetime and the already-imported league_predictor.db - none of it defends a startup cost
src/league_predictor/orchestrator/jobs.py:264:35:hoistable-import:league_predictor.orchestrator.jobs.map_upcoming_team:from league_predictor.upcoming.matching import map_team_manually	35	import-topology	hoistable-import	indexed	src/league_predictor/orchestrator/jobs.py	264	league_predictor.orchestrator.jobs.map_upcoming_team	function-scope import of league_predictor.upcoming.matching hides no cycle: hoist it (a deliberate startup deferral carries # sightline-ok: 35)	real	third copy of the same pattern in this module (beside another redundant league_predictor.db import); upcoming.matching is stdlib-only and cycle-free
