key	rule	slug	arm	tier	file	line	symbol	message	verdict	why
cityscapesscripts/evaluation/plot3dResults.py:27:1:weak:cityscapesscripts.evaluation.plot3dResults.create_table_row:data_dict	1	weak-boundary-types	weak	heuristic	cityscapesscripts/evaluation/plot3dResults.py	27	cityscapesscripts.evaluation.plot3dResults.create_table_row	public boundary param 'data_dict' of cityscapesscripts.evaluation.plot3dResults.create_table_row: bare dict	real	`# type: dict` for the eval-result document: Dict[str, Any] is writable and accepted (typing is already imported in this module) and pins the str keys the body indexes as 'm'+key
cityscapesscripts/evaluation/plot3dResults.py:30:1:lying-default:cityscapesscripts.evaluation.plot3dResults.create_table_row:subdict_key	1	weak-boundary-types	lying-default	heuristic	cityscapesscripts/evaluation/plot3dResults.py	30	cityscapesscripts.evaluation.plot3dResults.create_table_row	'subdict_key: str = None' in cityscapesscripts.evaluation.plot3dResults.create_table_row: the default contradicts the annotation	real	the type comment says str while the default is None and the body branches on subdict_key is None - Optional[str] is the honest contract and the docstring already says str or None
cityscapesscripts/evaluation/plot3dResults.py:66:1:weak:cityscapesscripts.evaluation.plot3dResults.create_result_table_and_legend_plot:data_to_plot	1	weak-boundary-types	weak	heuristic	cityscapesscripts/evaluation/plot3dResults.py	66	cityscapesscripts.evaluation.plot3dResults.create_result_table_and_legend_plot	public boundary param 'data_to_plot' of cityscapesscripts.evaluation.plot3dResults.create_result_table_and_legend_plot: bare dict	real	the docstring and the assert both name the required keys (Detection_Score, mDetection_Score, AP, mAP), so Dict[str, Any] - or a TypedDict over those keys - is available; bare dict publishes none of it
cityscapesscripts/evaluation/plot3dResults.py:113:1:weak:cityscapesscripts.evaluation.plot3dResults.create_spider_chart_plot:data_to_plot	1	weak-boundary-types	weak	heuristic	cityscapesscripts/evaluation/plot3dResults.py	113	cityscapesscripts.evaluation.plot3dResults.create_spider_chart_plot	public boundary param 'data_to_plot' of cityscapesscripts.evaluation.plot3dResults.create_spider_chart_plot: bare dict	real	bare dict on a public boundary whose body needs data_to_plot[cat] to be a mapping of class name to a record with an auc field; Dict[str, Any] is accepted here and strictly narrower than dict
cityscapesscripts/evaluation/plot3dResults.py:174:1:weak:cityscapesscripts.evaluation.plot3dResults.create_AP_plot:data_to_plot	1	weak-boundary-types	weak	heuristic	cityscapesscripts/evaluation/plot3dResults.py	174	cityscapesscripts.evaluation.plot3dResults.create_AP_plot	public boundary param 'data_to_plot' of cityscapesscripts.evaluation.plot3dResults.create_AP_plot: bare dict	real	bare dict where the body raises unless an AP_per_depth key is present; Dict[str, Any] names the str keys and the docstring carries the rest, so the annotation can stop being empty
cityscapesscripts/evaluation/plot3dResults.py:278:1:weak:cityscapesscripts.evaluation.plot3dResults.create_PR_plot:data	1	weak-boundary-types	weak	heuristic	cityscapesscripts/evaluation/plot3dResults.py	278	cityscapesscripts.evaluation.plot3dResults.create_PR_plot	public boundary param 'data' of cityscapesscripts.evaluation.plot3dResults.create_PR_plot: bare dict	real	bare dict for the result document indexed as data['eval_params'][...] and data['AP'][label]; Dict[str, Any] is exactly what json.load hands this function and is writable at the boundary
cityscapesscripts/evaluation/plot3dResults.py:321:1:weak:cityscapesscripts.evaluation.plot3dResults.fill_and_finalize_subplot:data_to_plot	1	weak-boundary-types	weak	heuristic	cityscapesscripts/evaluation/plot3dResults.py	321	cityscapesscripts.evaluation.plot3dResults.fill_and_finalize_subplot	public boundary param 'data_to_plot' of cityscapesscripts.evaluation.plot3dResults.fill_and_finalize_subplot: bare dict	real	bare dict forwarded straight to create_PR_plot / create_AP_plot, which take the same document; Dict[str, Any] is available and would type the three signatures consistently
cityscapesscripts/evaluation/plot3dResults.py:416:1:weak:cityscapesscripts.evaluation.plot3dResults.get_available_items_scaling:data	1	weak-boundary-types	weak	heuristic	cityscapesscripts/evaluation/plot3dResults.py	416	cityscapesscripts.evaluation.plot3dResults.get_available_items_scaling	public boundary param 'data' of cityscapesscripts.evaluation.plot3dResults.get_available_items_scaling: bare dict	real	unlike its siblings this data is the flat depth-to-count map, so Dict[str, int] is exact and available; bare dict hides that this param is not the big result blob
cityscapesscripts/evaluation/plot3dResults.py:432:1:weak:cityscapesscripts.evaluation.plot3dResults.get_x_y_vals:data	1	weak-boundary-types	weak	heuristic	cityscapesscripts/evaluation/plot3dResults.py	432	cityscapesscripts.evaluation.plot3dResults.get_x_y_vals	public boundary param 'data' of cityscapesscripts.evaluation.plot3dResults.get_x_y_vals: bare dict	real	unlike its siblings this data is the flat depth-to-value map, so Dict[str, float] is exact and available; bare dict hides that this param is not the big result blob
cityscapesscripts/evaluation/plot3dResults.py:442:1:weak:cityscapesscripts.evaluation.plot3dResults.plot_data:data_to_plot	1	weak-boundary-types	weak	heuristic	cityscapesscripts/evaluation/plot3dResults.py	442	cityscapesscripts.evaluation.plot3dResults.plot_data	public boundary param 'data_to_plot' of cityscapesscripts.evaluation.plot3dResults.plot_data: bare dict	real	the module's plotting entry point takes the result document as bare dict while its own docstring lists the keys it must contain; Dict[str, Any] (or a TypedDict over those keys) is writable
