key	rule	slug	arm	tier	file	line	symbol	message	verdict	why
hooks/post_gen_project.py:279:1:weak:hooks.post_gen_project.set_flag:*args	1	weak-boundary-types	weak	heuristic	hooks/post_gen_project.py	279	hooks.post_gen_project.set_flag	opaque *args on public boundary hooks.post_gen_project.set_flag	real	set_flag forwards *args straight into generate_random_string; the signature says nothing about what positional arguments are legal.
hooks/post_gen_project.py:279:1:weak:hooks.post_gen_project.set_flag:**kwargs	1	weak-boundary-types	weak	heuristic	hooks/post_gen_project.py	279	hooks.post_gen_project.set_flag	opaque **kwargs on public boundary hooks.post_gen_project.set_flag	real	**kwargs is the actual carrier of length=/using_digits=/using_ascii_letters= at every set_flag call site, and the signature names none of them.
scripts/create_django_issue.py:61:1:weak:scripts.create_django_issue.get_package_info:return	1	weak-boundary-types	weak	heuristic	scripts/create_django_issue.py	61	scripts.create_django_issue.get_package_info	public boundary return of scripts.create_django_issue.get_package_info: bare dict	real	bare dict return of a PyPI JSON blob; the caller get_django_versions re-annotates it as dict[str, Any] on the very next line.
scripts/create_django_issue.py:194:1:weak:scripts.create_django_issue.GitHubManager.get_compatibility:package_info	1	weak-boundary-types	weak	heuristic	scripts/create_django_issue.py	194	scripts.create_django_issue.GitHubManager.get_compatibility	public boundary param 'package_info' of scripts.create_django_issue.GitHubManager.get_compatibility: bare dict	real	bare dict for a PyPI JSON blob the body indexes as package_info['info']['classifiers']; dict[str, Any] is the contract and goes unwritten.
hooks/post_gen_project.py:125:5:lift:hooks.post_gen_project.update_package_json:remove_keys	5	proof-lifting	lift	indexed	hooks/post_gen_project.py	125	hooks.post_gen_project.update_package_json	lift `remove_keys: None | list[str]` in hooks.post_gen_project.update_package_json - established at all 2 prod call sites; receipt: counterfactual application produced no caller errors	real	both call sites pass either a list of package-name strings or nothing, and the body does `remove_keys or []` then pops each key.
hooks/post_gen_project.py:140:5:lift:hooks.post_gen_project.handle_js_runner:choice	5	proof-lifting	lift	indexed	hooks/post_gen_project.py	140	hooks.post_gen_project.handle_js_runner	lift `choice: str` in hooks.post_gen_project.handle_js_runner - established at all 1 prod call sites; receipt: counterfactual application produced no caller errors	real	the one call site passes the rendered '{{ cookiecutter.frontend_pipeline }}' string and the body compares it to 'Gulp'/'Webpack'.
hooks/post_gen_project.py:140:5:lift:hooks.post_gen_project.handle_js_runner:use_async	5	proof-lifting	lift	indexed	hooks/post_gen_project.py	140	hooks.post_gen_project.handle_js_runner	lift `use_async: bool` in hooks.post_gen_project.handle_js_runner - established at all 1 prod call sites; receipt: counterfactual application produced no caller errors	real	the call site passes a `.lower() == 'y'` comparison and the body uses it as a plain flag.
hooks/post_gen_project.py:140:5:lift:hooks.post_gen_project.handle_js_runner:use_docker	5	proof-lifting	lift	indexed	hooks/post_gen_project.py	140	hooks.post_gen_project.handle_js_runner	lift `use_docker: bool` in hooks.post_gen_project.handle_js_runner - established at all 1 prod call sites; receipt: counterfactual application produced no caller errors	real	the call site passes a `.lower() == 'y'` comparison and the body branches on it directly.
hooks/post_gen_project.py:279:5:lift:hooks.post_gen_project.set_flag:flag	5	proof-lifting	lift	indexed	hooks/post_gen_project.py	279	hooks.post_gen_project.set_flag	lift `flag: str` in hooks.post_gen_project.set_flag - established at all 6 prod call sites; receipt: counterfactual application produced no caller errors	real	all six call sites pass a '!!!SET ...!!!' string literal and the body uses flag in str.replace and an f-string.
hooks/post_gen_project.py:279:5:lift:hooks.post_gen_project.set_flag:formatted	5	proof-lifting	lift	indexed	hooks/post_gen_project.py	279	hooks.post_gen_project.set_flag	lift `formatted: None | str` in hooks.post_gen_project.set_flag - established at all 6 prod call sites; receipt: counterfactual application produced no caller errors	real	only set_django_admin_url passes formatted='{}/'; every other call leaves the default, so str | None is exactly the proved contract.
hooks/post_gen_project.py:330:5:lift:hooks.post_gen_project.set_postgres_user:file_path	5	proof-lifting	lift	indexed	hooks/post_gen_project.py	330	hooks.post_gen_project.set_postgres_user	lift `file_path: Path` in hooks.post_gen_project.set_postgres_user - established at all 2 prod call sites; receipt: counterfactual application produced no caller errors	real	both callers pass a Path built in set_flags_in_envs, and the body calls file_path.open.
hooks/post_gen_project.py:334:5:lift:hooks.post_gen_project.set_postgres_password:file_path	5	proof-lifting	lift	indexed	hooks/post_gen_project.py	334	hooks.post_gen_project.set_postgres_password	lift `file_path: Path` in hooks.post_gen_project.set_postgres_password - established at all 2 prod call sites; receipt: counterfactual application produced no caller errors	real	both callers pass Path objects and the body only opens them.
hooks/post_gen_project.py:334:5:lift:hooks.post_gen_project.set_postgres_password:value	5	proof-lifting	lift	indexed	hooks/post_gen_project.py	334	hooks.post_gen_project.set_postgres_password	lift `value: None | str` in hooks.post_gen_project.set_postgres_password - established at all 2 prod call sites; receipt: counterfactual application produced no caller errors	real	both callers pass `DEBUG_VALUE if debug else None`, exactly str | None, and the body tests `value is None`.
hooks/post_gen_project.py:345:5:lift:hooks.post_gen_project.set_celery_flower_user:file_path	5	proof-lifting	lift	indexed	hooks/post_gen_project.py	345	hooks.post_gen_project.set_celery_flower_user	lift `file_path: Path` in hooks.post_gen_project.set_celery_flower_user - established at all 2 prod call sites; receipt: counterfactual application produced no caller errors	real	both callers pass Path objects built in set_flags_in_envs.
hooks/post_gen_project.py:349:5:lift:hooks.post_gen_project.set_celery_flower_password:file_path	5	proof-lifting	lift	indexed	hooks/post_gen_project.py	349	hooks.post_gen_project.set_celery_flower_password	lift `file_path: Path` in hooks.post_gen_project.set_celery_flower_password - established at all 2 prod call sites; receipt: counterfactual application produced no caller errors	real	both callers pass Path objects built in set_flags_in_envs.
hooks/post_gen_project.py:349:5:lift:hooks.post_gen_project.set_celery_flower_password:value	5	proof-lifting	lift	indexed	hooks/post_gen_project.py	349	hooks.post_gen_project.set_celery_flower_password	lift `value: None | str` in hooks.post_gen_project.set_celery_flower_password - established at all 2 prod call sites; receipt: counterfactual application produced no caller errors	real	both callers pass `DEBUG_VALUE if debug else None` and the body tests `value is None`.
hooks/post_gen_project.py:360:5:lift:hooks.post_gen_project.append_to_gitignore_file:ignored_line	5	proof-lifting	lift	indexed	hooks/post_gen_project.py	360	hooks.post_gen_project.append_to_gitignore_file	lift `ignored_line: str` in hooks.post_gen_project.append_to_gitignore_file - established at all 3 prod call sites; receipt: counterfactual application produced no caller errors	real	all three call sites pass a string literal ('.env', '.envs/*', '!.envs/.local/') that the body writes verbatim.
hooks/post_gen_project.py:366:5:lift:hooks.post_gen_project.set_flags_in_envs:debug	5	proof-lifting	lift	indexed	hooks/post_gen_project.py	366	hooks.post_gen_project.set_flags_in_envs	lift `debug: bool` in hooks.post_gen_project.set_flags_in_envs - established at all 1 prod call sites; receipt: counterfactual application produced no caller errors	real	the sole caller passes `debug` from a `.lower() == 'y'` comparison and the body uses it as a flag.
{{cookiecutter.project_slug}}/{{cookiecutter.project_slug}}/contrib/sites/migrations/0003_set_site_domain_and_name.py:10:5:lift:{{cookiecutter.project_slug}}.contrib.sites.migrations.0003_set_site_domain_and_name._update_or_create_site_with_sequence:domain	5	proof-lifting	lift	indexed	{{cookiecutter.project_slug}}/{{cookiecutter.project_slug}}/contrib/sites/migrations/0003_set_site_domain_and_name.py	10	{{cookiecutter.project_slug}}.contrib.sites.migrations.0003_set_site_domain_and_name._update_or_create_site_with_sequence	lift `domain: str` in {{cookiecutter.project_slug}}.contrib.sites.migrations.0003_set_site_domain_and_name._update_or_create_site_with_sequence - established at all 2 prod call sites; receipt: counterfactual application produced no caller errors	fp	a Django migration is a frozen generated artifact, and site_model/connection cannot be usefully typed, so annotating only domain/name leaves a half-typed signature no one gains from.
{{cookiecutter.project_slug}}/{{cookiecutter.project_slug}}/contrib/sites/migrations/0003_set_site_domain_and_name.py:10:5:lift:{{cookiecutter.project_slug}}.contrib.sites.migrations.0003_set_site_domain_and_name._update_or_create_site_with_sequence:name	5	proof-lifting	lift	indexed	{{cookiecutter.project_slug}}/{{cookiecutter.project_slug}}/contrib/sites/migrations/0003_set_site_domain_and_name.py	10	{{cookiecutter.project_slug}}.contrib.sites.migrations.0003_set_site_domain_and_name._update_or_create_site_with_sequence	lift `name: str` in {{cookiecutter.project_slug}}.contrib.sites.migrations.0003_set_site_domain_and_name._update_or_create_site_with_sequence - established at all 2 prod call sites; receipt: counterfactual application produced no caller errors	fp	same site: annotating two of four params in a never-revisited migration helper whose other two params are untypeable historical-model handles.
scripts/create_django_issue.py:194:10:over-constrained:scripts.create_django_issue.GitHubManager.get_compatibility:package_info	10	over-constrained-param	over-constrained	indexed	scripts/create_django_issue.py	194	scripts.create_django_issue.GitHubManager.get_compatibility	scripts.create_django_issue.GitHubManager.get_compatibility demands concrete `dict` for 'package_info' but the body only needs `Mapping`; widening verified: no new errors under the wider type	fp	widening a bare `dict` to a bare `Mapping` addresses the wrong axis - the missing value type is the gap (#1 says so on the same slot) - and the only caller is in-file, passing a real dict from r.json().
