key	rule	slug	arm	tier	file	line	symbol	message	verdict	why
src/calculator/rune_parser.py:1423:3:guard-implied:fleet_scalings.iteration	3	contract-implied-guard	guard-implied	heuristic	src/calculator/rune_parser.py	1423	src.calculator.rune_parser._parse_scalar_templates	guard on 'fleet_scalings' is implied by iteration - a loop over empty runs zero times	real	the if-body is nothing but `for ... in fleet_scalings`, so the findall guard is the loop's own emptiness test written twice
src/calculator/economy.py:151:6:dishonest-accessor:src.calculator.economy.is_stackable	6	dishonest-accessor	dishonest-accessor	indexed	src/calculator/economy.py	151	src.calculator.economy.is_stackable	src.calculator.economy.is_stackable is named like an accessor but has effects: gw:src.calculator.economy._ITEM_BY_ID_MEMO	fp	the only effect is _item_by_id's lazy memo fill behind _stackable_epics; a predicate that memoizes its lookup table is not lying about its contract
src/calculator/optimizer.py:840:6:dishonest-accessor:src.calculator.optimizer.get_purchase_items	6	dishonest-accessor	dishonest-accessor	indexed	src/calculator/optimizer.py	840	src.calculator.optimizer.get_purchase_items	src.calculator.optimizer.get_purchase_items is named like an accessor but has effects: mutates-arg	fp	nothing observable is mutated - the 'arg' is the list comprehension the function itself just built and hands to role_scoped_shop_items; role is a str
src/calculator/stats.py:255:6:dishonest-accessor:src.calculator.stats.get_item_stats	6	dishonest-accessor	dishonest-accessor	indexed	src/calculator/stats.py	255	src.calculator.stats.get_item_stats	src.calculator.stats.get_item_stats is named like an accessor but has effects: mutates-arg	fp	item_data is never written; the writes are the two generation-scoped memos and the local `extracted` dict, and the docstring already states the returned dict is shared read-only
src/db.py:278:6:dishonest-accessor:src.db.get_engine	6	dishonest-accessor	dishonest-accessor	indexed	src/db.py	278	src.db.get_engine	src.db.get_engine is named like an accessor but has effects: gw:src.db._session_factory	real	the 'getter' runs Base.metadata.create_all and _ensure_metrics_schema's ALTER TABLE - schema DDL on the shared database, not memoization
src/db.py:550:6:dishonest-accessor:src.db.get_share_link	6	dishonest-accessor	dishonest-accessor	indexed	src/db.py	550	src.db.get_share_link	src.db.get_share_link is named like an accessor but has effects: gw:src.db._session_factory	fp	the only write is the view counter behind an explicit increment_views flag that defaults to False; the flagged global is the shared session factory every db read opens
src/db.py:630:6:dishonest-accessor:src.db.list_feedback	6	dishonest-accessor	dishonest-accessor	indexed	src/db.py	630	src.db.list_feedback	src.db.list_feedback is named like an accessor but has effects: gw:src.db._session_factory	fp	a pure SELECT; the flagged effect is the module's lazy session factory, which every function in db.py touches to open a session
src/calculator/champions/engine.py:462:8:primitive:result_key	8	primitive-obsession	primitive	indexed	src/calculator/champions/engine.py	462	src.calculator.champions.engine._validate_entry_keys	param 'result_key: str' recurs in 5 signatures and is guarded by hand - NewType candidate	fp	result_key is an emitted-entry slot label; _validate_entry_keys validates the entry's key set, not the string, so a NewType discharges nothing
src/calculator/damage.py:1761:8:primitive:source_key	8	primitive-obsession	primitive	indexed	src/calculator/damage.py	1761	src.calculator.damage._damage_event_row	param 'source_key: str' recurs in 8 signatures and is guarded by hand - NewType candidate	fp	source_key is an opaque breakdown label used as a dict key; the repo's only check is one startswith('heal_') - there is no invariant a NewType would validate once
src/calculator/damage.py:7368:20:lambda:src.calculator.damage:bede804f	20	repeated-lambda	lambda	heuristic	src/calculator/damage.py	7368	src.calculator.damage._add_precomputed_proc_damage	lambda `lambda event: float(event['time'])` appears 4x in src.calculator.damage - name it once	real	the same float(event['time']) sort key is respelled at four ledger-ordering sites in a 17k-line module; one named key function is the home
