key	rule	slug	arm	tier	file	line	symbol	message	verdict	why
cerberus/utils.py:105:5:lift:cerberus.utils.validator_factory:name	5	proof-lifting	lift	indexed	cerberus/utils.py	105	cerberus.utils.validator_factory	lift `name: str` in cerberus.utils.validator_factory - established at all 1 prod call sites; receipt: counterfactual application produced no caller errors	real	name is passed straight to type(name, bases, ns) and the docstring already declares :type name: str - the annotation makes a documented contract checkable
docs/includes/generate.py:15:5:lift:generate.load_module_members:name	5	proof-lifting	lift	indexed	docs/includes/generate.py	15	generate.load_module_members	lift `name: str` in generate.load_module_members - established at all 2 prod call sites; receipt: counterfactual application produced no caller errors	real	both call sites pass a str literal ('errors', 'validator') and importlib's spec_from_file_location takes the name as str - correct and cheap
docs/includes/generate.py:15:5:lift:generate.load_module_members:path	5	proof-lifting	lift	indexed	docs/includes/generate.py	15	generate.load_module_members	lift `path: Path` in generate.load_module_members - established at all 2 prod call sites; receipt: counterfactual application produced no caller errors	real	both call sites pass CERBERUS_DIR / '<file>.py', a Path; the annotation is exactly what the two callers prove
cerberus/validator.py:861:11:clone-block:2eb2a84b58b9	11	structural-clones	clone-block	indexed	cerberus/validator.py	861	cerberus.validator.BareValidator.__normalize_sequence_per_schema	structural block clone x2 (5 stmts): cerberus.validator.BareValidator.__normalize_sequence_per_items, cerberus.validator.BareValidator.__normalize_sequence_per_schema	real	__normalize_sequence_per_schema and __normalize_sequence_per_items share a 5-statement tail (child validator, value_type, normalized, error-path drop) differing only in the schema_crumb literal - one helper covers both
cerberus/validator.py:877:11:clone-block:2eb2a84b58b9	11	structural-clones	clone-block	indexed	cerberus/validator.py	877	cerberus.validator.BareValidator.__normalize_sequence_per_items	structural block clone x2 (5 stmts): cerberus.validator.BareValidator.__normalize_sequence_per_items, cerberus.validator.BareValidator.__normalize_sequence_per_schema	real	the __normalize_sequence_per_items copy of the same 5-statement child-validator tail; the two methods differ only in how they build schema/document
cerberus/validator.py:838:14:clump:field,mapping,schema	14	data-clump	clump	indexed	cerberus/validator.py	838	cerberus.validator.BareValidator.__normalize_mapping_per_schema	params (field, mapping, schema) recur together in 7 signatures - wants a type	real	the private __normalize_* helpers thread (container, key, rules) through 7 signatures with no external contract forcing it - the trio is one recursion state
cerberus/validator.py:1292:14:clump:definitions,field,value	14	data-clump	clump	indexed	cerberus/validator.py	1292	cerberus.validator.BareValidator.__validate_logical	params (definitions, field, value) recur together in 5 signatures - wants a type	fp	(constraint, field, value) is cerberus's documented custom-rule contract (docs/customize.rst: def _validate_<rulename>(self, constraint, field, value)); the anyof/allof/noneof/oneof signatures cannot take a record without breaking the plugin API
cerberus/validator.py:1396:14:clump:field,schema,value	14	data-clump	clump	indexed	cerberus/validator.py	1396	cerberus.validator.BareValidator._validate_keysrules	params (field, schema, value) recur together in 5 signatures - wants a type	fp	same documented _validate_<rule>(constraint, field, value) dispatch contract - here the constraint parameter simply happens to be named schema; a named type would break subclass rule methods
cerberus/errors.py:109:17:liveness-neck:cerberus.errors.ValidationError.__init__:109	17	liveness-neck	liveness-neck	heuristic	cerberus/errors.py	109	cerberus.errors.ValidationError.__init__	cerberus.errors.ValidationError.__init__: live-variable neck (1 crossing) at line 109 - natural split point	fp	ValidationError.__init__ is seven plain self.x = x assignments with doc-strings between them; every such constructor has a zero-crossing neck and splitting it yields two halves of one record initialisation
cerberus/validator.py:159:17:liveness-neck:cerberus.validator.BareValidator.__init__:159	17	liveness-neck	liveness-neck	heuristic	cerberus/validator.py	159	cerberus.validator.BareValidator.__init__	cerberus.validator.BareValidator.__init__: live-variable neck (0 crossing) at line 159 - natural split point	fp	the neck at self.recent_error = None sits in a straight run of attribute initialisations - no locals exist to cross, so the metric fires on shape rather than on a function that wants to be two
cerberus/validator.py:1645:17:liveness-neck:cerberus.validator.InspectedValidator.__init__:1645	17	liveness-neck	liveness-neck	heuristic	cerberus/validator.py	1645	cerberus.validator.InspectedValidator.__init__	cerberus.validator.InspectedValidator.__init__: live-variable neck (0 crossing) at line 1645 - natural split point	fp	the anchor lands inside a multi-line subscript assignment near the end of the metaclass initialiser; the 5 remaining lines (cls.rules = {} plus two updates) are not a second function and everything in the body mutates the same cls
cerberus/tests/test_normalization.py:361:20:lambda:cerberus.tests.test_normalization:76f20f4c	20	repeated-lambda	lambda	heuristic	cerberus/tests/test_normalization.py	361	cerberus.tests.test_normalization.test_depending_default_setters	lambda `lambda d: d['a'] + 1` appears 2x in cerberus.tests.test_normalization - name it once	fp	the two copies of lambda d: d['a'] + 1 are default_setter stubs inside two independent test schemas; hoisting a shared name would couple the tests and hide each schema's expected data
cerberus/tests/test_validation.py:123:20:lambda:cerberus.tests.test_validation:3411d983	20	repeated-lambda	lambda	heuristic	cerberus/tests/test_validation.py	123	cerberus.tests.test_validation.test_readonly_field_with_default_value	lambda `lambda d: d['created']` appears 2x in cerberus.tests.test_validation - name it once	fp	lambda d: d['created'] appears in two separate tests' schema literals; a test's fixture data is meant to be read whole at its site, not shared
cerberus/schema.py:34:21:invariant:cerberus.schema.DefinitionSchema:7f69792b	21	distributed-invariant	invariant	heuristic	cerberus/schema.py	34	cerberus.schema.DefinitionSchema	`iter(self.schema)` recurs in 3 methods of cerberus.schema.DefinitionSchema - encapsulate the invariant	fp	iter(self.schema) in __iter__/__len__-style methods is DefinitionSchema's MutableMapping delegation to its backing dict - self.schema is already the encapsulation, there is no invariant to move
