key	rule	slug	arm	tier	file	line	symbol	message	verdict	why
authlib/tests/clients/test_requests/test_oauth2_session.py:136:44:tautology:tests.clients.test_requests.test_oauth2_session.test_token_from_fragment:136	44	tautological-assertion	tautology	heuristic	tests/clients/test_requests/test_oauth2_session.py	136	tests.clients.test_requests.test_oauth2_session.test_token_from_fragment	tests.clients.test_requests.test_oauth2_session.test_token_from_fragment asserts an expression against itself	real	the line above rebinds the `token` fixture to sess.fetch_token(...), so `assert token == token` compares the fetched dict with itself and the intended `== <fixture token>` check is gone
authlib/tests/clients/test_requests/test_oauth2_session.py:164:44:tautology:tests.clients.test_requests.test_oauth2_session.test_fetch_token_post:164	44	tautological-assertion	tautology	heuristic	tests/clients/test_requests/test_oauth2_session.py	164	tests.clients.test_requests.test_oauth2_session.test_fetch_token_post	tests.clients.test_requests.test_oauth2_session.test_fetch_token_post asserts an expression against itself	real	the line above rebinds the `token` fixture to sess.fetch_token(...), so `assert token == token` compares the fetched dict with itself and the intended `== <fixture token>` check is gone
authlib/tests/clients/test_requests/test_oauth2_session.py:189:44:tautology:tests.clients.test_requests.test_oauth2_session.test_fetch_token_get:189	44	tautological-assertion	tautology	heuristic	tests/clients/test_requests/test_oauth2_session.py	189	tests.clients.test_requests.test_oauth2_session.test_fetch_token_get	tests.clients.test_requests.test_oauth2_session.test_fetch_token_get asserts an expression against itself	real	the line above rebinds the `token` fixture to sess.fetch_token(...), so `assert token == token` compares the fetched dict with itself and the intended `== <fixture token>` check is gone
authlib/tests/clients/test_requests/test_oauth2_session.py:197:44:tautology:tests.clients.test_requests.test_oauth2_session.test_fetch_token_get:197	44	tautological-assertion	tautology	heuristic	tests/clients/test_requests/test_oauth2_session.py	197	tests.clients.test_requests.test_oauth2_session.test_fetch_token_get	tests.clients.test_requests.test_oauth2_session.test_fetch_token_get asserts an expression against itself	real	the line above rebinds the `token` fixture to sess.fetch_token(...), so `assert token == token` compares the fetched dict with itself and the intended `== <fixture token>` check is gone
authlib/tests/clients/test_requests/test_oauth2_session.py:200:44:tautology:tests.clients.test_requests.test_oauth2_session.test_fetch_token_get:200	44	tautological-assertion	tautology	heuristic	tests/clients/test_requests/test_oauth2_session.py	200	tests.clients.test_requests.test_oauth2_session.test_fetch_token_get	tests.clients.test_requests.test_oauth2_session.test_fetch_token_get asserts an expression against itself	real	the line above rebinds the `token` fixture to sess.fetch_token(...), so `assert token == token` compares the fetched dict with itself and the intended `== <fixture token>` check is gone
authlib/tests/clients/test_requests/test_oauth2_session.py:223:44:tautology:tests.clients.test_requests.test_oauth2_session.test_token_auth_method_client_secret_post:223	44	tautological-assertion	tautology	heuristic	tests/clients/test_requests/test_oauth2_session.py	223	tests.clients.test_requests.test_oauth2_session.test_token_auth_method_client_secret_post	tests.clients.test_requests.test_oauth2_session.test_token_auth_method_client_secret_post asserts an expression against itself	real	the line above rebinds the `token` fixture to sess.fetch_token(...), so `assert token == token` compares the fetched dict with itself and the intended `== <fixture token>` check is gone
authlib/tests/clients/test_requests/test_oauth2_session.py:254:44:tautology:tests.clients.test_requests.test_oauth2_session.test_password_grant_type:254	44	tautological-assertion	tautology	heuristic	tests/clients/test_requests/test_oauth2_session.py	254	tests.clients.test_requests.test_oauth2_session.test_password_grant_type	tests.clients.test_requests.test_oauth2_session.test_password_grant_type asserts an expression against itself	real	the line above rebinds the `token` fixture to sess.fetch_token(...), so `assert token == token` compares the fetched dict with itself and the intended `== <fixture token>` check is gone
authlib/tests/clients/test_requests/test_oauth2_session.py:275:44:tautology:tests.clients.test_requests.test_oauth2_session.test_client_credentials_type:275	44	tautological-assertion	tautology	heuristic	tests/clients/test_requests/test_oauth2_session.py	275	tests.clients.test_requests.test_oauth2_session.test_client_credentials_type	tests.clients.test_requests.test_oauth2_session.test_client_credentials_type asserts an expression against itself	real	the line above rebinds the `token` fixture to sess.fetch_token(...), so `assert token == token` compares the fetched dict with itself and the intended `== <fixture token>` check is gone
authlib/tests/clients/test_requests/test_oauth2_session.py:500:44:tautology:tests.clients.test_requests.test_oauth2_session.test_client_secret_jwt:500	44	tautological-assertion	tautology	heuristic	tests/clients/test_requests/test_oauth2_session.py	500	tests.clients.test_requests.test_oauth2_session.test_client_secret_jwt	tests.clients.test_requests.test_oauth2_session.test_client_secret_jwt asserts an expression against itself	real	the line above rebinds the `token` fixture to sess.fetch_token(...), so `assert token == token` compares the fetched dict with itself and the intended `== <fixture token>` check is gone
authlib/tests/clients/test_requests/test_oauth2_session.py:511:44:tautology:tests.clients.test_requests.test_oauth2_session.test_client_secret_jwt2:511	44	tautological-assertion	tautology	heuristic	tests/clients/test_requests/test_oauth2_session.py	511	tests.clients.test_requests.test_oauth2_session.test_client_secret_jwt2	tests.clients.test_requests.test_oauth2_session.test_client_secret_jwt2 asserts an expression against itself	real	the line above rebinds the `token` fixture to sess.fetch_token(...), so `assert token == token` compares the fetched dict with itself and the intended `== <fixture token>` check is gone
