key	rule	slug	arm	tier	file	line	symbol	message	verdict	why
src/calculator/rune_parser.py:1423:3:guard-implied:fleet_scalings.iteration	3	contract-implied-guard	guard-implied	heuristic	src/calculator/rune_parser.py	1423	src.calculator.rune_parser._parse_scalar_templates	guard on 'fleet_scalings' is implied by iteration - a loop over empty runs zero times	real	'if fleet_scalings:' wraps nothing but a for-loop over fleet_scalings; deleting the guard and dedenting is behaviour-identical
src/calculator/champions/attribute_classifier.py:103:7:protocol-comment:103	7	comment-borne-protocol	protocol-comment	heuristic	src/calculator/champions/attribute_classifier.py	103	src.calculator.champions.attribute_classifier.infer_damage_type_from_attribute	"protocol narrated in comment: ""Caller should use ability's damageType field"""	fp	advisory inline note on a None return, not a caller obligation: both None branches are indistinguishable to the caller and the only caller, classify_damage_type, already reads damageType as its primary signal
src/calculator/state_lifecycle.py:1319:7:protocol-doc:1319	7	comment-borne-protocol	protocol-doc	heuristic	src/calculator/state_lifecycle.py	1319	src.calculator.state_lifecycle.InstanceCadence.allow	protocol narrated in docstring of src.calculator.state_lifecycle.InstanceCadence.allow - encode it (receipt type or lifted precondition)	real	allow() reads as a predicate but consumes the instance, and 'the caller must NOT retry the same instance later' is the only statement of that; the consumption belongs in the name or in a returned one-shot receipt
src/calculator/survival/actions.py:1046:7:protocol-comment:1046	7	comment-borne-protocol	protocol-comment	heuristic	src/calculator/survival/actions.py	1046	src.calculator.survival.actions	protocol narrated in comment: 'underscore on a name another layer must call is a boundary nobody can'	fp	the comment explains why two helpers are named without a leading underscore, and the __all__ block immediately below is that encoding; no caller obligation is being narrated
src/calculator/survival/receipt_state.py:498:7:protocol-doc:498	7	comment-borne-protocol	protocol-doc	heuristic	src/calculator/survival/receipt_state.py	498	src.calculator.survival.receipt_state.ReceiptLedger.__init__	protocol narrated in docstring of src.calculator.survival.receipt_state.ReceiptLedger.__init__ - encode it (receipt type or lifted precondition)	fp	the docstring explains why compile_event has no default - the requirement is already in the signature as a required keyword-only param, and the write-once outcomes companion enforces its own rule in code
src/calculator/damage.py:4684:15:wallet:src.calculator.damage._CastAdmission.__init__:state	15	wallet-parameter	wallet	heuristic	src/calculator/damage.py	4684	src.calculator.damage._CastAdmission.__init__	src.calculator.damage._CastAdmission.__init__ takes 'state' but the body uses only .ability_damages and .score_only - take those or a narrower protocol	real	FightState is the fight-wide mutable god object (30+ fields); the cast-admission bookkeeper needs only score_only and ability_damages, and taking those two makes it constructible in a test without building a whole fight
src/calculator/program/views/__init__.py:424:15:wallet:src.calculator.program.views.LeafWriter._record:out	15	wallet-parameter	wallet	heuristic	src/calculator/program/views/__init__.py	424	src.calculator.program.views.LeafWriter._record	src.calculator.program.views.LeafWriter._record takes 'out' but the body uses only .entry and .path - take those or a narrower protocol	fp	LeafOut is a 4-field record, not a wallet, and _record is the overridable seam writers subclass - splitting it into (path, entry) would close the seam over value/present for no gain
src/calculator/program/views/__init__.py:514:15:wallet:src.calculator.program.views.name_every_number:writer	15	wallet-parameter	wallet	heuristic	src/calculator/program/views/__init__.py	514	src.calculator.program.views.name_every_number	src.calculator.program.views.name_every_number takes 'writer' but the body uses only .block and .entries - take those or a narrower protocol	fp	LeafWriter is the strategy interface being dispatched on (DISCARD, RankingWriter subclass it) and .block/.entries is that interface; narrowing it away removes the polymorphism the function exists for
src/calculator/roster_composition.py:175:15:wallet:src.calculator.roster_composition.actor_params:actor	15	wallet-parameter	wallet	heuristic	src/calculator/roster_composition.py	175	src.calculator.roster_composition.actor_params	src.calculator.roster_composition.actor_params takes 'actor' but the body uses only .participant_id and .request - take those or a narrower protocol	fp	actor.request is itself the narrow ActorRequest and the only other read is participant_id; passing (request, participant_id) loose would hoist the 'main' string comparison to callers and lose the actor grouping the module is about
src/calculator/rune_effects.py:1417:15:wallet:src.calculator.rune_effects.required_leveling:effects	15	wallet-parameter	wallet	indexed	src/calculator/rune_effects.py	1417	src.calculator.rune_effects.required_leveling	src.calculator.rune_effects.required_leveling takes 'effects' but the call chain demands only .value - take those or a narrower protocol	fp	RuneValues is already the narrow wrapper - a rune name plus its parsed effects map - and .value is its entire interface, so there is nothing narrower to demand
scripts/repin_corpus.py:75:35:entangled:scripts.repin_corpus<->tests.test_e9_corpus	35	import-topology	entangled	indexed	scripts/repin_corpus.py	75	scripts.repin_corpus.parametrized_ids	scripts.repin_corpus, tests.test_e9_corpus import each other (cycle hidden behind a deferred import)	real	a production script reaches into a test module's private _EXECUTED while that test imports the script at module level; the executed-scenario list should have one home the test reads, which the local-import comment concedes
src/calculator/data_registry.py:365:35:hoistable-import:src.calculator.data_registry.write_runtime_cache:from .data_fetcher import _item_name_index, _read_json_version	35	import-topology	hoistable-import	indexed	src/calculator/data_registry.py	365	src.calculator.data_registry.write_runtime_cache	function-scope import of src.calculator.data_fetcher hides no cycle - src.calculator.data_fetcher runs code at import time, which the deferral moves to first call: hoist it (a deliberate startup deferral carries # sightline-ok: 35)	real	the comment above it says 'local: no import cycle' and data_fetcher indeed never imports data_registry, so the deferral is unexplained and hoistable as written
src/calculator/ally_effects.py:66:41:perf:re-in-loop:src.calculator.ally_effects._required_cached_duration:66	41	perf-catalog	perf	indexed	src/calculator/ally_effects.py	66	src.calculator.ally_effects._required_cached_duration	re-in-loop in hot src.calculator.ally_effects._required_cached_duration (amplification 2): re.* with a constant pattern in a loop; hoist re.compile	fp	a single re.search per call on one item's short passive text, called once from the Rapids effect build - there is no loop here and nothing repeated enough to measure
src/calculator/atomizer_domains.py:610:41:perf:re-in-loop:src.calculator.atomizer_domains._snake:610	41	perf-catalog	perf	indexed	src/calculator/atomizer_domains.py	610	src.calculator.atomizer_domains._snake	re-in-loop in hot src.calculator.atomizer_domains._snake (amplification 8): re.* with a constant pattern in a loop; hoist re.compile	real	_snake is called from four atomizer loops that walk every stat/ability/rune field of the corpus, and its zero-width lookaround sub is the whole body - a module-level compiled pattern is free and matches the file's style
src/calculator/champions/scaling.py:150:41:perf:re-in-loop:src.calculator.champions.scaling._parse_compound_unit:150	41	perf-catalog	perf	indexed	src/calculator/champions/scaling.py	150	src.calculator.champions.scaling._parse_compound_unit	re-in-loop in hot src.calculator.champions.scaling._parse_compound_unit (amplification 1): re.* with a constant pattern in a loop; hoist re.compile	real	resolve_scaling is the documented hot parse path and every %max-health ability falls into this branch on each damage evaluation; the IGNORECASE alternation belongs beside _SIMPLE_UNITS/_PER_100_UNITS as a compiled constant
src/calculator/champions/scaling.py:168:41:perf:re-in-loop:src.calculator.champions.scaling._parse_compound_unit:168	41	perf-catalog	perf	indexed	src/calculator/champions/scaling.py	168	src.calculator.champions.scaling._parse_compound_unit	re-in-loop in hot src.calculator.champions.scaling._parse_compound_unit (amplification 1): re.* with a constant pattern in a loop; hoist re.compile	real	the per-100 findall in the same hot branch, with a ~130-char alternation re-hashed for the pattern cache on every damage evaluation
src/calculator/champions/slotlib.py:132:41:perf:re-in-loop:src.calculator.champions.slotlib.extract_description_shield_duration:132	41	perf-catalog	perf	indexed	src/calculator/champions/slotlib.py	132	src.calculator.champions.slotlib.extract_description_shield_duration	re-in-loop in hot src.calculator.champions.slotlib.extract_description_shield_duration (amplification 6): re.* with a constant pattern in a loop; hoist re.compile	real	the sentence-splitting lookaround runs per ability effect across the whole corpus walk from atomizer_domains, and the file already keeps its other prose patterns (_PROSE_SECONDS_RE, _PROSE_SHIELD_SECONDS_RE) compiled at module level
src/calculator/rotation_resolver.py:995:41:perf:re-in-loop:src.calculator.rotation_resolver.detect_setup_consume_edges:995	41	perf-catalog	perf	indexed	src/calculator/rotation_resolver.py	995	src.calculator.rotation_resolver.detect_setup_consume_edges	re-in-loop in hot src.calculator.rotation_resolver.detect_setup_consume_edges (amplification 2): re.* with a constant pattern in a loop; hoist re.compile	fp	the edge detection feeds a per-champion ComboRule the resolver caches (warm/cold cache paths in _fit_rule_to_fight), and the enclosing loops are over at most a handful of cast slots
src/calculator/rotation_resolver.py:1054:41:perf:nested-same-collection:src.calculator.rotation_resolver.detect_setup_consume_edges:1054	41	perf-catalog	perf	indexed	src/calculator/rotation_resolver.py	1054	src.calculator.rotation_resolver.detect_setup_consume_edges	nested-same-collection in hot src.calculator.rotation_resolver.detect_setup_consume_edges (amplification 2): nested loops over one collection are O(n^2); group via dict/set	fp	'corpora' is keyed by _CAST_SLOTS - at most ~8 ability slots - so the quadratic is bounded by the kit, and the inner filter is a predicate, not a join a dict/set could group
src/calculator/rotation_resolver.py:1065:41:perf:nested-same-collection:src.calculator.rotation_resolver.detect_setup_consume_edges:1065	41	perf-catalog	perf	indexed	src/calculator/rotation_resolver.py	1065	src.calculator.rotation_resolver.detect_setup_consume_edges	nested-same-collection in hot src.calculator.rotation_resolver.detect_setup_consume_edges (amplification 2): nested loops over one collection are O(n^2); group via dict/set	fp	same bounded cross product over the champion's ability slots; there is no key to group on, only _is_damage_row/_castable predicates
src/calculator/rotation_resolver.py:1075:41:perf:nested-same-collection:src.calculator.rotation_resolver.detect_setup_consume_edges:1075	41	perf-catalog	perf	indexed	src/calculator/rotation_resolver.py	1075	src.calculator.rotation_resolver.detect_setup_consume_edges	nested-same-collection in hot src.calculator.rotation_resolver.detect_setup_consume_edges (amplification 2): nested loops over one collection are O(n^2); group via dict/set	fp	same fan-out over ~8 slots, and rewriting it as a dict lookup would obscure the per-edge rationale strings for no measurable gain
src/calculator/rotation_resolver.py:1086:41:perf:nested-same-collection:src.calculator.rotation_resolver.detect_setup_consume_edges:1086	41	perf-catalog	perf	indexed	src/calculator/rotation_resolver.py	1086	src.calculator.rotation_resolver.detect_setup_consume_edges	nested-same-collection in hot src.calculator.rotation_resolver.detect_setup_consume_edges (amplification 2): nested loops over one collection are O(n^2); group via dict/set	fp	same shape again: the outer collection is the fixed cast-slot set, so n never grows with data
src/calculator/rotation_resolver.py:1095:41:perf:nested-same-collection:src.calculator.rotation_resolver.detect_setup_consume_edges:1095	41	perf-catalog	perf	indexed	src/calculator/rotation_resolver.py	1095	src.calculator.rotation_resolver.detect_setup_consume_edges	nested-same-collection in hot src.calculator.rotation_resolver.detect_setup_consume_edges (amplification 2): nested loops over one collection are O(n^2); group via dict/set	fp	fifth report of one bounded ~8-element fan-out inside a per-champion cached derivation
src/calculator/rotation_resolver.py:1589:41:perf:list-attr-membership:src.calculator.rotation_resolver._fit_rule_to_fight:1589	41	perf-catalog	perf	indexed	src/calculator/rotation_resolver.py	1589	src.calculator.rotation_resolver._fit_rule_to_fight	list-attr-membership in hot src.calculator.rotation_resolver._fit_rule_to_fight (amplification 2): membership on a list is O(n) per probe; keep a set	fp	'available' holds at most a handful of cast slots and is simultaneously the ordered result being built; a parallel set would add state to save nothing
tests/test_gate_receipt.py:70:43:unobserved-call:tests.test_gate_receipt.test_build_receipt_enforces_count_invariants:70	43	unobserved-pure-call	unobserved-call	indexed	tests/test_gate_receipt.py	70	tests.test_gate_receipt.test_build_receipt_enforces_count_invariants	tests.test_gate_receipt.test_build_receipt_enforces_count_invariants drops the result of pure scripts.gate_receipt.build_receipt - nothing it computes reaches an assertion	fp	positive control for a validator: the dropped call is the 'consistent counts are accepted' case paired with two pytest.raises cases below, so not-raising is the assertion
tests/test_atomizer.py:53:44:tautology:tests.test_atomizer.test_atom_contract_fields:53	44	tautological-assertion	tautology	heuristic	tests/test_atomizer.py	53	tests.test_atomizer.test_atom_contract_fields	tests.test_atomizer.test_atom_contract_fields asserts an expression against itself	real	assert atom['hash'] == atom['hash'] compares one dict lookup with itself; the '# deterministic' intent needs a second emit() (or a re-built Atomizer) to mean anything
tests/test_darius_w_kill_refund.py:647:44:tautology:tests.test_darius_w_kill_refund.TestExcludedTargets.test_w_notes_name_only_jungle_plants_as_the_kill_exclusion:647	44	tautological-assertion	tautology	heuristic	tests/test_darius_w_kill_refund.py	647	tests.test_darius_w_kill_refund.TestExcludedTargets.test_w_notes_name_only_jungle_plants_as_the_kill_exclusion	tests.test_darius_w_kill_refund.TestExcludedTargets.test_w_notes_name_only_jungle_plants_as_the_kill_exclusion asserts a constant	real	real bug: the quoted-notes assertion was split across two lines, so the assert sees only a truthy string literal and the '... in notes' continuation is a dead expression statement
tests/test_rengar_w_cleanse.py:866:44:tautology:tests.test_rengar_w_cleanse.TestFerocityCondition.test_empowered_w_cleanse_fires_at_seed_4_one_rotation:866	44	tautological-assertion	tautology	heuristic	tests/test_rengar_w_cleanse.py	866	tests.test_rengar_w_cleanse.TestFerocityCondition.test_empowered_w_cleanse_fires_at_seed_4_one_rotation	tests.test_rengar_w_cleanse.TestFerocityCondition.test_empowered_w_cleanse_fires_at_seed_4_one_rotation asserts a constant	real	a literal 'assert True' standing in for an unwritten contract, with the _app_combat result above it computed and never used
tests/test_ashe_focus_lifecycle.py:887:46:unfailable:tests.test_ashe_focus_lifecycle.TestMissingRows.test_missing_rows_fail_closed_not_silent_zero:882	46	unfailable-test	unfailable	heuristic	tests/test_ashe_focus_lifecycle.py	887	tests.test_ashe_focus_lifecycle.TestMissingRows.test_missing_rows_fail_closed_not_silent_zero	tests.test_ashe_focus_lifecycle.TestMissingRows.test_missing_rows_fail_closed_not_silent_zero swallows the exception path - the test cannot fail there	real	'except (ValueError, KeyError, AssertionError): return' passes green for any raise, including one from the _strip_q_rows helper or an AssertionError inside the parser; the sibling test three lines up shows the right idiom (pytest.raises with the row name matched)
tests/test_heimerdinger_multihit.py:883:46:unfailable:tests.test_heimerdinger_multihit.TestMalformedInputs.test_missing_w_row_fails_closed_not_silent_zero:881	46	unfailable-test	unfailable	heuristic	tests/test_heimerdinger_multihit.py	883	tests.test_heimerdinger_multihit.TestMalformedInputs.test_missing_w_row_fails_closed_not_silent_zero	tests.test_heimerdinger_multihit.TestMalformedInputs.test_missing_w_row_fails_closed_not_silent_zero swallows the exception path - the test cannot fail there	real	the handler returns green on any of three exception types without checking that the raise names the stripped W row, so a helper-side KeyError is indistinguishable from the fail-closed contract
tests/test_heimerdinger_multihit.py:892:46:unfailable:tests.test_heimerdinger_multihit.TestMalformedInputs.test_missing_e_row_fails_closed_not_silent_zero:890	46	unfailable-test	unfailable	heuristic	tests/test_heimerdinger_multihit.py	892	tests.test_heimerdinger_multihit.TestMalformedInputs.test_missing_e_row_fails_closed_not_silent_zero	tests.test_heimerdinger_multihit.TestMalformedInputs.test_missing_e_row_fails_closed_not_silent_zero swallows the exception path - the test cannot fail there	real	same bare 'except ...: return' for the E row, with no verdict on the exception, so the whole test can pass for a reason unrelated to fail-closed behaviour
tests/test_ksante_w_resistance.py:1052:46:unfailable:tests.test_ksante_w_resistance.TestMalformedInputs.test_missing_w_rows_fail_closed_not_silent_zero:1050	46	unfailable-test	unfailable	heuristic	tests/test_ksante_w_resistance.py	1052	tests.test_ksante_w_resistance.TestMalformedInputs.test_missing_w_rows_fail_closed_not_silent_zero	tests.test_ksante_w_resistance.TestMalformedInputs.test_missing_w_rows_fail_closed_not_silent_zero swallows the exception path - the test cannot fail there	real	first of two swallow-and-return blocks in the test; the early return also skips the second (all_out) branch entirely, so one unchecked raise retires both contracts
tests/test_ksante_w_resistance.py:1058:46:unfailable:tests.test_ksante_w_resistance.TestMalformedInputs.test_missing_w_rows_fail_closed_not_silent_zero:1056	46	unfailable-test	unfailable	heuristic	tests/test_ksante_w_resistance.py	1058	tests.test_ksante_w_resistance.TestMalformedInputs.test_missing_w_rows_fail_closed_not_silent_zero	tests.test_ksante_w_resistance.TestMalformedInputs.test_missing_w_rows_fail_closed_not_silent_zero swallows the exception path - the test cannot fail there	real	second swallow-and-return in the same test, again with no assertion on the raised exception naming the stripped W row
tests/test_p6_database.py:303:47:sleepy:tests.test_p6_database.test_cache_ttl_expiry:303	47	sleepy-test	sleepy	heuristic	tests/test_p6_database.py	303	tests.test_p6_database.test_cache_ttl_expiry	tests.test_p6_database.test_cache_ttl_expiry sleeps 1.1s - wall-clock waits make tests slow and flaky	real	1.1s of wall clock in a unit suite to age a ttl=1 row; the cache row's expiry timestamp lives in SQLite and can be backdated, or the clock faked, for an instant verdict
src/calculator/participant_timeline.py:2905:51:flag:src.calculator.participant_timeline._grey_health_event_receipt:incoming	51	flag-parameter	flag	heuristic	src/calculator/participant_timeline.py	2905	src.calculator.participant_timeline._grey_health_event_receipt	'incoming' of src.calculator.participant_timeline._grey_health_event_receipt only selects a branch at its 5 use(s); 2 prod call(s) pass a literal: two functions in one	fp	incoming is a domain axis (a packet taken vs dealt) read in five per-champion arms of one dispatch chain; two functions would duplicate the whole champion chain and Mordekaiser's both-directions case
src/calculator/data_fetcher.py:139:53:raise-contract:undeclared:src.calculator.data_fetcher.fetch_rune_data:ValueError	53	raise-contract	raise-contract	heuristic	src/calculator/data_fetcher.py	139	src.calculator.data_fetcher.fetch_rune_data	src.calculator.data_fetcher.fetch_rune_data raises ValueError but its Raises section never names it	real	three ValueErrors for a degraded cache (not a dict, no runes, missing 'name') while Raises documents only FileNotFoundError, so the UI path catching the documented type still crashes on a truncated runes.json
src/calculator/item_effects.py:4043:57:dead-key:src.calculator.item_effects.fimbulwinter_mana_gate_authority:source_revision_id	57	dead-key	dead-key	indexed	src/calculator/item_effects.py	4043	src.calculator.item_effects.fimbulwinter_mana_gate_authority	src.calculator.item_effects.fimbulwinter_mana_gate_authority writes 'source_revision_id' on every path, and none of its 2 sinks reads it (keys: {comparison, current_mana_term, manaless_behavior, maximum_mana_term, source_revision_id, source_url, status, threshold_ratio}; read: {comparison, current_mana_term, manaless_behavior, maximum_mana_term, status, threshold_ratio})	real	both sinks forward the semantic fields by name and never this one; the denial receipt in item_support_effects re-reads the same fact straight from ITEM_INPUT_OPTIONS['Fimbulwinter'], so the copy in the record is a second home
src/calculator/item_effects.py:4043:57:dead-key:src.calculator.item_effects.fimbulwinter_mana_gate_authority:source_url	57	dead-key	dead-key	indexed	src/calculator/item_effects.py	4043	src.calculator.item_effects.fimbulwinter_mana_gate_authority	src.calculator.item_effects.fimbulwinter_mana_gate_authority writes 'source_url' on every path, and none of its 2 sinks reads it (keys: {comparison, current_mana_term, manaless_behavior, maximum_mana_term, source_revision_id, source_url, status, threshold_ratio}; read: {comparison, current_mana_term, manaless_behavior, maximum_mana_term, status, threshold_ratio})	real	same duplicated provenance: source_url is copied into the authority record on both return paths while the one consumer that publishes it reads source_meta['source_url'] from the registry entry directly
src/calculator/item_effects.py:4085:57:dead-key:src.calculator.item_effects.fimbulwinter_nearby_enemy_range_authority:boundary_operator	57	dead-key	dead-key	indexed	src/calculator/item_effects.py	4085	src.calculator.item_effects.fimbulwinter_nearby_enemy_range_authority	src.calculator.item_effects.fimbulwinter_nearby_enemy_range_authority writes 'boundary_operator' on every path, and none of its 2 sinks reads it (keys: {boundary_operator, boundary_status, minimum_enemy_count, multiplier, range_center, range_units, source_revision_id, source_url, spatial_input_status, status, target_kind}; read: {boundary_status, minimum_enemy_count, multiplier, range_center, range_units, spatial_input_status, target_kind})	real	a hardcoded None no sink reads; boundary_status ('source_unavailable', validated one line above) already carries the fact that the source does not certify the operator
src/calculator/item_effects.py:4085:57:dead-key:src.calculator.item_effects.fimbulwinter_nearby_enemy_range_authority:source_revision_id	57	dead-key	dead-key	indexed	src/calculator/item_effects.py	4085	src.calculator.item_effects.fimbulwinter_nearby_enemy_range_authority	src.calculator.item_effects.fimbulwinter_nearby_enemy_range_authority writes 'source_revision_id' on every path, and none of its 2 sinks reads it (keys: {boundary_operator, boundary_status, minimum_enemy_count, multiplier, range_center, range_units, source_revision_id, source_url, spatial_input_status, status, target_kind}; read: {boundary_status, minimum_enemy_count, multiplier, range_center, range_units, spatial_input_status, target_kind})	real	unread by both sinks and duplicated: the receipt emitter reads the revision id from ITEM_INPUT_OPTIONS itself rather than from this record
src/calculator/item_effects.py:4085:57:dead-key:src.calculator.item_effects.fimbulwinter_nearby_enemy_range_authority:source_url	57	dead-key	dead-key	indexed	src/calculator/item_effects.py	4085	src.calculator.item_effects.fimbulwinter_nearby_enemy_range_authority	src.calculator.item_effects.fimbulwinter_nearby_enemy_range_authority writes 'source_url' on every path, and none of its 2 sinks reads it (keys: {boundary_operator, boundary_status, minimum_enemy_count, multiplier, range_center, range_units, source_revision_id, source_url, spatial_input_status, status, target_kind}; read: {boundary_status, minimum_enemy_count, multiplier, range_center, range_units, spatial_input_status, target_kind})	real	same provenance copy, read by nobody; the one place that publishes a Fimbulwinter source_url goes back to the registry entry
