key	rule	slug	arm	tier	file	line	symbol	message	verdict	why
rofl/decode/_stream.py:32:6:dishonest-accessor:rofl.decode._stream.ByteStream.read_u8	6	dishonest-accessor	dishonest-accessor	indexed	rofl/decode/_stream.py	32	rofl.decode._stream.ByteStream.read_u8	rofl.decode._stream.ByteStream.read_u8 is named like an accessor but has effects: mutates-field	fp	read_* on a byte cursor means consume-and-advance; the class docstring states 'every read advances the cursor', so the offset bump is the contract, not a hidden effect
rofl/decode/_stream.py:38:6:dishonest-accessor:rofl.decode._stream.ByteStream.read_u16_le	6	dishonest-accessor	dishonest-accessor	indexed	rofl/decode/_stream.py	38	rofl.decode._stream.ByteStream.read_u16_le	rofl.decode._stream.ByteStream.read_u16_le is named like an accessor but has effects: mutates-field	fp	same cursor-read idiom - advancing _offset is what a stream read is, and the rule reads 'read_' as an accessor prefix
rofl/decode/_stream.py:44:6:dishonest-accessor:rofl.decode._stream.ByteStream.read_u32_le	6	dishonest-accessor	dishonest-accessor	indexed	rofl/decode/_stream.py	44	rofl.decode._stream.ByteStream.read_u32_le	rofl.decode._stream.ByteStream.read_u32_le is named like an accessor but has effects: mutates-field	fp	same cursor-read idiom; no caller could want a read that leaves the offset where it was
rofl/decode/_stream.py:50:6:dishonest-accessor:rofl.decode._stream.ByteStream.read_f32_le	6	dishonest-accessor	dishonest-accessor	indexed	rofl/decode/_stream.py	50	rofl.decode._stream.ByteStream.read_f32_le	rofl.decode._stream.ByteStream.read_f32_le is named like an accessor but has effects: mutates-field	fp	same cursor-read idiom on the float reader
rofl/decode/_stream.py:68:6:dishonest-accessor:rofl.decode._stream.ByteStream.read_bytes	6	dishonest-accessor	dishonest-accessor	indexed	rofl/decode/_stream.py	68	rofl.decode._stream.ByteStream.read_bytes	rofl.decode._stream.ByteStream.read_bytes is named like an accessor but has effects: mutates-field	fp	same cursor-read idiom; file.read() advances too and nobody calls that dishonest
rofl/decode/_inventory.py:136:20:lambda:rofl.decode._inventory:72addbb2	20	repeated-lambda	lambda	heuristic	rofl/decode/_inventory.py	136	rofl.decode._inventory.decode_swap_item_payload	lambda `lambda value: _decode_item_varint_byte(value, config)` appears 3x in rofl.decode._inventory - name it once	real	the config-bound item-byte reader lambda is nested inside four copies of the same five-line reader block; one _item_byte_reader(config) helper replaces them
rofl/decode/_inventory.py:143:20:lambda:rofl.decode._inventory:c5baa419	20	repeated-lambda	lambda	heuristic	rofl/decode/_inventory.py	143	rofl.decode._inventory.decode_swap_item_payload	lambda `lambda value: _decode_slot_varint_byte(value, config)` appears 3x in rofl.decode._inventory - name it once	real	the slot-byte twin of the same copied reader block, spelled out four times across the decode_* payload functions
patch_compiler/ghidra.py:620:30:demeter:patch_compiler.ghidra.extract_binary_facts:3	30	demeter-reach	demeter	heuristic	patch_compiler/ghidra.py	620	patch_compiler.ghidra.extract_binary_facts	patch_compiler.ghidra.extract_binary_facts reaches 3 hops through a parameter (`inputs.executable.path.name`)	fp	CompilerInputs is a frozen record of ArtifactRefs and the last hop is a stdlib Path attribute; the function is handed the whole input bundle by design, so only a local alias is available
patch_compiler/inputs.py:481:30:demeter:patch_compiler.inputs.stage_discovery_workspace:3	30	demeter-reach	demeter	heuristic	patch_compiler/inputs.py	481	patch_compiler.inputs.stage_discovery_workspace	patch_compiler.inputs.stage_discovery_workspace reaches 3 hops through a parameter (`inputs.executable.path.name`)	fp	same record-to-field-to-Path chain inside the module that defines CompilerInputs - the staging function's job is to walk every artifact in it
tests/patch_compiler/test_model.py:68:42:assertion-free:test_model.test_nonsemantic_leaves_and_unknown_forward_comparison_are_representable	42	assertion-free-test	assertion-free	indexed	tests/patch_compiler/test_model.py	68	test_model.test_nonsemantic_leaves_and_unknown_forward_comparison_are_representable	test_model.test_nonsemantic_leaves_and_unknown_forward_comparison_are_representable asserts nothing - it can only fail by raising	fp	the verdict is that BindingStatus.__post_init__ does NOT raise for these two combinations; the sibling test pins the raising cases with pytest.raises
