key	rule	slug	arm	tier	file	line	symbol	message	verdict	why
generate_types_from_mocks.py:16:1:weak:generate_types_from_mocks.generate:body	1	weak-boundary-types	weak	heuristic	generate_types_from_mocks.py	16	generate_types_from_mocks.generate	public boundary param 'body' of generate_types_from_mocks.generate: contains Any	fp	body is a decoded-JSON value from json.loads (already Any); naming it needs a recursive JSON alias in a 66-line dev-only codegen script
slack/task.py:190:1:weak:slack.task.process_ended_task:task	1	weak-boundary-types	weak	heuristic	slack/task.py	190	slack.task.process_ended_task	public boundary param 'task' of slack.task.process_ended_task: contains Any	fp	Task[T] is invariant (T in both set_result and result), so Task[Any] is the only spelling a type-agnostic scheduler can accept; same as CPython asyncio's own Task[Any]
slack/task.py:199:1:weak:slack.task.task_runner:task	1	weak-boundary-types	weak	heuristic	slack/task.py	199	slack.task.task_runner	public boundary param 'task' of slack.task.task_runner: contains Any	fp	same invariance escape: the runner drives tasks of every result type and adds them to Set[Task[object]]; Task[Any] is forced, not vague
slack/task.py:231:1:weak:slack.task.create_task:coroutine	1	weak-boundary-types	weak	heuristic	slack/task.py	231	slack.task.create_task	public boundary param 'coroutine' of slack.task.create_task: contains Any	fp	the Any is the coroutine's yield type (a heterogeneous stream of Future[?]); the contract is fully pinned by Coroutine[..., T] -> Task[T]
slack/task.py:243:1:weak:slack.task.run_async:coroutine	1	weak-boundary-types	weak	heuristic	slack/task.py	243	slack.task.run_async	public boundary param 'coroutine' of slack.task.run_async: contains Any	fp	Any here is the coroutine's discarded return value in a fire-and-forget launcher; no caller re-derives anything from it
slack/task.py:100:2:redundant:isinstance	2	locally-redundant-check	redundant	proved	slack/task.py	100	slack.task.Future.set_exception	"Unnecessary isinstance call; ""BaseException"" is never an instance of ""type"""	real	param is annotated BaseException so the isinstance(exception, type) arm is unreachable; it is a leftover from the untyped CPython original
extract_token_from_browser.py:45:6:dishonest-accessor:extract_token_from_browser.get_cookies	6	dishonest-accessor	dishonest-accessor	indexed	extract_token_from_browser.py	45	extract_token_from_browser.get_cookies	extract_token_from_browser.get_cookies is named like an accessor but has effects: io	fp	the 'io' is reading the cookie store whose path is the second parameter; a read named after what it reads changes no state and lies about nothing
slack/commands.py:366:6:dishonest-accessor:slack.commands.get_conversation_from_args	6	dishonest-accessor	dishonest-accessor	indexed	slack/commands.py	366	slack.commands.get_conversation_from_args	slack.commands.get_conversation_from_args is named like an accessor but has effects: gw:slack.log.debug_messages, gw:slack.shared.shared, io, mutates-arg	real	a get_ that prints five different user-facing errors into the weechat buffer before returning None; no caller can use it as a lookup
slack/slack_api.py:92:6:dishonest-accessor:slack.slack_api.SlackEdgeApi.fetch_usergroups_info	6	dishonest-accessor	dishonest-accessor	indexed	slack/slack_api.py	92	slack.slack_api.SlackEdgeApi.fetch_usergroups_info	slack.slack_api.SlackEdgeApi.fetch_usergroups_info is named like an accessor but has effects: gw:slack.log.debug_messages, gw:slack.shared.shared, mutates-arg	fp	fetch_ is not an accessor prefix - it is the repo's deliberate marker for a network call, so the I/O it does is exactly what the name promises; the listed effects are transitive debug log() writes, shared config reads, and http_request mutating the options dict built inside the call
slack/slack_api.py:102:6:dishonest-accessor:slack.slack_api.SlackEdgeApi.fetch_users_search	6	dishonest-accessor	dishonest-accessor	indexed	slack/slack_api.py	102	slack.slack_api.SlackEdgeApi.fetch_users_search	slack.slack_api.SlackEdgeApi.fetch_users_search is named like an accessor but has effects: gw:slack.log.debug_messages, gw:slack.shared.shared, mutates-arg	fp	fetch_ is not an accessor prefix - it is the repo's deliberate marker for a network call, so the I/O it does is exactly what the name promises; the listed effects are transitive debug log() writes, shared config reads, and http_request mutating the options dict built inside the call
