key	rule	slug	arm	tier	file	line	symbol	message	verdict	why
inference_cli.py:216:1:lying-default:inference_cli._device_id_to_name:platform_type	1	weak-boundary-types	lying-default	heuristic	inference_cli.py	216	inference_cli._device_id_to_name	'platform_type: str = None' in inference_cli._device_id_to_name: the default contradicts the annotation	real	a concrete type is available and not written: Optional omitted on a None default, or Any/bare list/dict where the repo's own VideoDiffusionInfer, nn.Module, DictConfig or List[str] is the real contract
inference_cli.py:240:1:lying-default:inference_cli._parse_offload_device:platform_type	1	weak-boundary-types	lying-default	heuristic	inference_cli.py	240	inference_cli._parse_offload_device	'platform_type: str = None' in inference_cli._parse_offload_device: the default contradicts the annotation	real	a concrete type is available and not written: Optional omitted on a None default, or Any/bare list/dict where the repo's own VideoDiffusionInfer, nn.Module, DictConfig or List[str] is the real contract
src/common/config.py:32:1:lying-default:src.common.config.load_config:argv	1	weak-boundary-types	lying-default	heuristic	src/common/config.py	32	src.common.config.load_config	'argv: List[str] = None' in src.common.config.load_config: the default contradicts the annotation	real	a concrete type is available and not written: Optional omitted on a None default, or Any/bare list/dict where the repo's own VideoDiffusionInfer, nn.Module, DictConfig or List[str] is the real contract
src/common/config.py:47:1:weak:src.common.config.resolve_recursive:config	1	weak-boundary-types	weak	heuristic	src/common/config.py	47	src.common.config.resolve_recursive	public boundary param 'config' of src.common.config.resolve_recursive: contains Any	real	a concrete type is available and not written: Optional omitted on a None default, or Any/bare list/dict where the repo's own VideoDiffusionInfer, nn.Module, DictConfig or List[str] is the real contract
src/common/config.py:49:1:weak:src.common.config.resolve_recursive:return	1	weak-boundary-types	weak	heuristic	src/common/config.py	49	src.common.config.resolve_recursive	public boundary return of src.common.config.resolve_recursive: contains Any	real	a concrete type is available and not written: Optional omitted on a None default, or Any/bare list/dict where the repo's own VideoDiffusionInfer, nn.Module, DictConfig or List[str] is the real contract
src/common/config.py:64:1:weak:src.common.config.resolve_inheritance:return	1	weak-boundary-types	weak	heuristic	src/common/config.py	64	src.common.config.resolve_inheritance	public boundary return of src.common.config.resolve_inheritance: contains Any	real	a concrete type is available and not written: Optional omitted on a None default, or Any/bare list/dict where the repo's own VideoDiffusionInfer, nn.Module, DictConfig or List[str] is the real contract
src/common/config.py:91:1:weak:src.common.config.import_item:return	1	weak-boundary-types	weak	heuristic	src/common/config.py	91	src.common.config.import_item	public boundary return of src.common.config.import_item: contains Any	fp	import_item returns getattr(importlib.import_module(path), name) - an arbitrary imported symbol; Any is the only truthful return type
src/common/config.py:113:1:weak:src.common.config.create_object:return	1	weak-boundary-types	weak	heuristic	src/common/config.py	113	src.common.config.create_object	public boundary return of src.common.config.create_object: contains Any	fp	create_object instantiates a class named by config at runtime; Any is the only truthful return type
src/common/distributed/basic.py:80:1:weak:src.common.distributed.basic.convert_to_ddp:**kwargs	1	weak-boundary-types	weak	heuristic	src/common/distributed/basic.py	80	src.common.distributed.basic.convert_to_ddp	opaque **kwargs on public boundary src.common.distributed.basic.convert_to_ddp	fp	forwarder to DistributedDataParallel(...); **kwargs is that class's option set
src/common/distributed/ops.py:95:1:weak:src.common.distributed.ops.SeqAllToAll.forward:ctx	1	weak-boundary-types	weak	heuristic	src/common/distributed/ops.py	95	src.common.distributed.ops.SeqAllToAll.forward	public boundary param 'ctx' of src.common.distributed.ops.SeqAllToAll.forward: contains Any	fp	`ctx` of a torch.autograd.Function is an ad-hoc attribute bag (ctx.group, ctx.scatter_dim are assigned here); no FunctionCtx type admits those attributes, so Any is the honest annotation
src/common/distributed/ops.py:116:1:weak:src.common.distributed.ops.SeqAllToAll.backward:ctx	1	weak-boundary-types	weak	heuristic	src/common/distributed/ops.py	116	src.common.distributed.ops.SeqAllToAll.backward	public boundary param 'ctx' of src.common.distributed.ops.SeqAllToAll.backward: contains Any	fp	same autograd `ctx` attribute bag - the backward reads ctx.async_op / ctx.gather_dim, attributes no ctx type declares
src/common/distributed/ops.py:134:1:weak:src.common.distributed.ops.Slice.forward:ctx	1	weak-boundary-types	weak	heuristic	src/common/distributed/ops.py	134	src.common.distributed.ops.Slice.forward	public boundary param 'ctx' of src.common.distributed.ops.Slice.forward: contains Any	fp	same autograd `ctx` attribute bag (ctx.rank, ctx.seq_world_size assigned in forward)
src/common/distributed/ops.py:144:1:weak:src.common.distributed.ops.Slice.backward:ctx	1	weak-boundary-types	weak	heuristic	src/common/distributed/ops.py	144	src.common.distributed.ops.Slice.backward	public boundary param 'ctx' of src.common.distributed.ops.Slice.backward: contains Any	fp	same autograd `ctx` attribute bag read in backward
src/common/distributed/ops.py:156:1:weak:src.common.distributed.ops.Gather.forward:ctx	1	weak-boundary-types	weak	heuristic	src/common/distributed/ops.py	156	src.common.distributed.ops.Gather.forward	public boundary param 'ctx' of src.common.distributed.ops.Gather.forward: contains Any	fp	same autograd `ctx` attribute bag
src/common/distributed/ops.py:177:1:weak:src.common.distributed.ops.Gather.backward:ctx	1	weak-boundary-types	weak	heuristic	src/common/distributed/ops.py	177	src.common.distributed.ops.Gather.backward	public boundary param 'ctx' of src.common.distributed.ops.Gather.backward: contains Any	fp	same autograd `ctx` attribute bag
src/common/distributed/ops.py:412:1:lying-default:src.common.distributed.ops.SPDistForward.__init__:device	1	weak-boundary-types	lying-default	heuristic	src/common/distributed/ops.py	412	src.common.distributed.ops.SPDistForward.__init__	'device: torch.device = None' in src.common.distributed.ops.SPDistForward.__init__: the default contradicts the annotation	real	a concrete type is available and not written: Optional omitted on a None default, or Any/bare list/dict where the repo's own VideoDiffusionInfer, nn.Module, DictConfig or List[str] is the real contract
src/common/partition.py:22:1:weak:src.common.partition.partition_by_size:data	1	weak-boundary-types	weak	heuristic	src/common/partition.py	22	src.common.partition.partition_by_size	public boundary param 'data' of src.common.partition.partition_by_size: contains Any	real	a concrete type is available and not written: Optional omitted on a None default, or Any/bare list/dict where the repo's own VideoDiffusionInfer, nn.Module, DictConfig or List[str] is the real contract
src/common/partition.py:22:1:weak:src.common.partition.partition_by_size:return	1	weak-boundary-types	weak	heuristic	src/common/partition.py	22	src.common.partition.partition_by_size	public boundary return of src.common.partition.partition_by_size: contains Any	real	a concrete type is available and not written: Optional omitted on a None default, or Any/bare list/dict where the repo's own VideoDiffusionInfer, nn.Module, DictConfig or List[str] is the real contract
src/common/partition.py:36:1:weak:src.common.partition.partition_by_groups:data	1	weak-boundary-types	weak	heuristic	src/common/partition.py	36	src.common.partition.partition_by_groups	public boundary param 'data' of src.common.partition.partition_by_groups: contains Any	real	a concrete type is available and not written: Optional omitted on a None default, or Any/bare list/dict where the repo's own VideoDiffusionInfer, nn.Module, DictConfig or List[str] is the real contract
