key	rule	slug	arm	tier	file	line	symbol	message	verdict	why
pynvim/api/nvim.py:178:1:weak:pynvim.api.nvim.Nvim.request:return	1	weak-boundary-types	weak	heuristic	pynvim/api/nvim.py	178	pynvim.api.nvim.Nvim.request	public boundary return of pynvim.api.nvim.Nvim.request: contains Any	fp	generic RPC dispatcher: the response is whatever nvim returns for `name`; msgpack-RPC bridge: the wire carries dynamically typed vimscript/lua values, so Any is the honest published contract, not a weak one
pynvim/api/nvim.py:214:1:weak:pynvim.api.nvim.Nvim.next_message:return	1	weak-boundary-types	weak	heuristic	pynvim/api/nvim.py	214	pynvim.api.nvim.Nvim.next_message	public boundary return of pynvim.api.nvim.Nvim.next_message: contains Any	fp	next_message returns a decoded msgpack message; no narrower type exists at this boundary
pynvim/api/nvim.py:226:1:weak:pynvim.api.nvim.Nvim.run_loop:request_cb	1	weak-boundary-types	weak	heuristic	pynvim/api/nvim.py	226	pynvim.api.nvim.Nvim.run_loop	public boundary param 'request_cb' of pynvim.api.nvim.Nvim.run_loop: contains Any	fp	request_cb receives decoded msgpack args (List[Any]) and may return any msgpack value
pynvim/api/nvim.py:227:1:weak:pynvim.api.nvim.Nvim.run_loop:notification_cb	1	weak-boundary-types	weak	heuristic	pynvim/api/nvim.py	227	pynvim.api.nvim.Nvim.run_loop	public boundary param 'notification_cb' of pynvim.api.nvim.Nvim.run_loop: contains Any	fp	notification_cb receives decoded msgpack args; the Any is the wire payload, not vagueness
pynvim/api/nvim.py:229:1:weak:pynvim.api.nvim.Nvim.run_loop:err_cb	1	weak-boundary-types	weak	heuristic	pynvim/api/nvim.py	229	pynvim.api.nvim.Nvim.run_loop	public boundary param 'err_cb' of pynvim.api.nvim.Nvim.run_loop: contains Any	fp	err_cb's return is deliberately ignored; Any is the conventional 'return unused' spelling
pynvim/api/nvim.py:329:1:weak:pynvim.api.nvim.Nvim.eval:return	1	weak-boundary-types	weak	heuristic	pynvim/api/nvim.py	329	pynvim.api.nvim.Nvim.eval	public boundary return of pynvim.api.nvim.Nvim.eval: contains Any	fp	nvim.eval returns whatever the vimscript expression evaluates to; Any is exact
pynvim/api/nvim.py:333:1:weak:pynvim.api.nvim.Nvim.call:return	1	weak-boundary-types	weak	heuristic	pynvim/api/nvim.py	333	pynvim.api.nvim.Nvim.call	public boundary return of pynvim.api.nvim.Nvim.call: contains Any	fp	nvim.call returns whatever the called vimscript function returns; Any is exact
pynvim/api/nvim.py:337:1:weak:pynvim.api.nvim.Nvim.exec_lua:return	1	weak-boundary-types	weak	heuristic	pynvim/api/nvim.py	337	pynvim.api.nvim.Nvim.exec_lua	public boundary return of pynvim.api.nvim.Nvim.exec_lua: contains Any	fp	exec_lua returns whatever the lua chunk returns; Any is exact
pynvim/api/nvim.py:369:1:weak:pynvim.api.nvim.Nvim.foreach_rtp:cb	1	weak-boundary-types	weak	heuristic	pynvim/api/nvim.py	369	pynvim.api.nvim.Nvim.foreach_rtp	public boundary param 'cb' of pynvim.api.nvim.Nvim.foreach_rtp: contains Any	fp	cb's return is only compared against None per the docstring; Any is the contract
pynvim/api/nvim.py:469:1:weak:pynvim.api.nvim.Nvim.async_call:fn	1	weak-boundary-types	weak	heuristic	pynvim/api/nvim.py	469	pynvim.api.nvim.Nvim.async_call	public boundary param 'fn' of pynvim.api.nvim.Nvim.async_call: contains Any	fp	async_call schedules an arbitrary callable; Callable[..., Any] is the only expressible type
pynvim/msgpack_rpc/async_session.py:42:1:weak:pynvim.msgpack_rpc.async_session.AsyncSession.request:args	1	weak-boundary-types	weak	heuristic	pynvim/msgpack_rpc/async_session.py	42	pynvim.msgpack_rpc.async_session.AsyncSession.request	public boundary param 'args' of pynvim.msgpack_rpc.async_session.AsyncSession.request: contains Any	real	bare `args: Any` for the msgpack argument vector, which must be a sequence; Sequence[Any] is available and callers cannot see the requirement
pynvim/msgpack_rpc/session.py:67:1:weak:pynvim.msgpack_rpc.session.Session.threadsafe_call:fn	1	weak-boundary-types	weak	heuristic	pynvim/msgpack_rpc/session.py	67	pynvim.msgpack_rpc.session.Session.threadsafe_call	public boundary param 'fn' of pynvim.msgpack_rpc.session.Session.threadsafe_call: contains Any	fp	threadsafe_call schedules an arbitrary callable with arbitrary args; Callable[..., Any] is exact
pynvim/msgpack_rpc/session.py:99:1:weak:pynvim.msgpack_rpc.session.Session.request:return	1	weak-boundary-types	weak	heuristic	pynvim/msgpack_rpc/session.py	99	pynvim.msgpack_rpc.session.Session.request	public boundary return of pynvim.msgpack_rpc.session.Session.request: contains Any	fp	Session.request returns the decoded RPC result; msgpack-RPC bridge: the wire carries dynamically typed vimscript/lua values, so Any is the honest published contract, not a weak one
