key	rule	slug	arm	tier	file	line	symbol	message	verdict	why
src/league_predictor/draft_grading/champion_attributes/lolstaticdata/pull_champions_wiki.py:213:6:dishonest-accessor:league_predictor.draft_grading.champion_attributes.lolstaticdata.pull_champions_wiki.LolWikiDataHandler.get_champions	6	dishonest-accessor	dishonest-accessor	indexed	src/league_predictor/draft_grading/champion_attributes/lolstaticdata/pull_champions_wiki.py	213	league_predictor.draft_grading.champion_attributes.lolstaticdata.pull_champions_wiki.LolWikiDataHandler.get_champions	league_predictor.draft_grading.champion_attributes.lolstaticdata.pull_champions_wiki.LolWikiDataHandler.get_champions is named like an accessor but has effects: mutates-arg	real	the iterator also downloads the wiki page, prints every champion name, and stashes self.skin_data that _get_skin_data later reads - call order is part of the contract
src/league_predictor/predraft/features/snapshots/infrastructure.py:329:6:dishonest-accessor:league_predictor.predraft.features.snapshots.infrastructure.get_team_feature_snapshot	6	dishonest-accessor	dishonest-accessor	indexed	src/league_predictor/predraft/features/snapshots/infrastructure.py	329	league_predictor.predraft.features.snapshots.infrastructure.get_team_feature_snapshot	league_predictor.predraft.features.snapshots.infrastructure.get_team_feature_snapshot is named like an accessor but has effects: mutates-arg	fp	the only effect is the read-through cache.set on a miss; memoization is invisible to callers and is how a getter of an expensive snapshot is written
src/league_predictor/analytics/team_snapshot.py:25:8:primitive:team_id	8	primitive-obsession	primitive	indexed	src/league_predictor/analytics/team_snapshot.py	25	league_predictor.analytics.team_snapshot._latent_team_strength	param 'team_id: str' recurs in 41 signatures and is guarded by hand - NewType candidate	fp	team_id is a database primary key handed straight to SQL; the hand-checks on it are emptiness/None tests a NewType cannot discharge, and no canonicalization invariant exists (canonical_team_name_sql normalizes names, not ids)
src/league_predictor/orchestrator/cli.py:57:20:lambda:league_predictor.orchestrator.cli:cbe1cf8f	20	repeated-lambda	lambda	heuristic	src/league_predictor/orchestrator/cli.py	57	league_predictor.orchestrator.cli	lambda `lambda: str(config.DB_PATH)` appears 3x in league_predictor.orchestrator.cli - name it once	real	the lazy --db default is copied into three click options while the file already factors _db_option for exactly this reason
tests/lifecycle/test_rating.py:461:20:lambda:tests.lifecycle.test_rating:67ea4654	20	repeated-lambda	lambda	heuristic	tests/lifecycle/test_rating.py	461	tests.lifecycle.test_rating.test_backfill_fills_team_state_single_id_and_per_game_rows	lambda `lambda backend, conn: _FakeIndex(_DIFFS)` appears 3x in tests.lifecycle.test_rating - name it once	real	three tests monkeypatch _build_index with the same stub; the shared setup wants a fixture, and _FakeIndex's signature is now pinned in three places
tests/lifecycle/test_served.py:216:20:lambda:tests.lifecycle.test_served:a0054393	20	repeated-lambda	lambda	heuristic	tests/lifecycle/test_served.py	216	tests.lifecycle.test_served.test_write_prd_coverage_validates_before_database_writes	lambda `lambda conn: [{'game_id': 'g1'}]` appears 3x in tests.lifecycle.test_served - name it once	real	the same dated_games stub row is spelled out in three tests - one named stub keeps the canned row in one place
tests/lifecycle/test_contract.py:133:42:assertion-free:tests.lifecycle.test_contract.test_get_import_does_not_pull_per_model_modules	42	assertion-free-test	assertion-free	indexed	tests/lifecycle/test_contract.py	133	tests.lifecycle.test_contract.test_get_import_does_not_pull_per_model_modules	tests.lifecycle.test_contract.test_get_import_does_not_pull_per_model_modules asserts nothing - it can only fail by raising	fp	the oracle is subprocess.run(..., check=True) over a -c body that carries the asserts; import state is only observable in a fresh process
tests/lifecycle/test_predictions.py:86:42:assertion-free:tests.lifecycle.test_predictions.test_register_prd_served_keeps_the_pipeline_out_of_sys_modules	42	assertion-free-test	assertion-free	indexed	tests/lifecycle/test_predictions.py	86	tests.lifecycle.test_predictions.test_register_prd_served_keeps_the_pipeline_out_of_sys_modules	tests.lifecycle.test_predictions.test_register_prd_served_keeps_the_pipeline_out_of_sys_modules asserts nothing - it can only fail by raising	fp	same shape: the assertions live in the subprocess code string and check=True turns their failure into the test's failure
tests/predraft/test_integration.py:169:46:unfailable:tests.predraft.test_integration.test_integration_end_to_end:160	46	unfailable-test	unfailable	heuristic	tests/predraft/test_integration.py	169	tests.predraft.test_integration.test_integration_end_to_end	tests.predraft.test_integration.test_integration_end_to_end swallows the exception path - the test cannot fail there	real	the end-to-end test wraps the very function under test in `except Exception: continue` over a fully synthetic seeded DB, so a broken feature builder is hidden as long as ten rows survive
src/league_predictor/db/pipeline_health.py:30:56:test-only:league_predictor.db.pipeline_health.get_pipeline_status	56	test-only-symbol	test-only	indexed	src/league_predictor/db/pipeline_health.py	30	league_predictor.db.pipeline_health.get_pipeline_status	function league_predictor.db.pipeline_health.get_pipeline_status is referenced only by tests (test_pipeline_health) - delete both	real	ingestion writes pipeline_health and nothing in prod ever reads it back; the reader exists only for its test
src/league_predictor/draft_grading/grader/feature_schema.py:70:56:test-only:league_predictor.draft_grading.grader.feature_schema.n_gbm_features	56	test-only-symbol	test-only	indexed	src/league_predictor/draft_grading/grader/feature_schema.py	70	league_predictor.draft_grading.grader.feature_schema.n_gbm_features	function league_predictor.draft_grading.grader.feature_schema.n_gbm_features is referenced only by tests (tests.draft_grading.grader.test_model) - delete both	fp	it is the arithmetic second derivation of the shipped vector width, used as the oracle against GBM_FEATURE_NAMES and extract_features' real output shape - deleting both drops a check on shipping code
src/league_predictor/draft_grading/grader/feature_schema.py:163:56:test-only:league_predictor.draft_grading.grader.feature_schema.mirror_tabular	56	test-only-symbol	test-only	indexed	src/league_predictor/draft_grading/grader/feature_schema.py	163	league_predictor.draft_grading.grader.feature_schema.mirror_tabular	function league_predictor.draft_grading.grader.feature_schema.mirror_tabular is referenced only by tests (tests.draft_grading.grader.test_features, tests.draft_grading.grader.test_predictor) - delete both	fp	the numpy application of the shipping MIRROR_PERM/SCALE/OFFSET arrays (prod mirrors in torch); its tests verify those shipped arrays, so 'delete both' removes real coverage
src/league_predictor/draft_grading/leagueofgraphs_matchups.py:374:56:test-only:league_predictor.draft_grading.leagueofgraphs_matchups.build_matchup_cache	56	test-only-symbol	test-only	indexed	src/league_predictor/draft_grading/leagueofgraphs_matchups.py	374	league_predictor.draft_grading.leagueofgraphs_matchups.build_matchup_cache	function league_predictor.draft_grading.leagueofgraphs_matchups.build_matchup_cache is referenced only by tests (tests.draft_grading.test_leagueofgraphs_matchups) - delete both	fp	it is the hand-run scraper that writes the matchup store prod reads through load_store; deleting it leaves the shipped cache format with no writer
src/league_predictor/draft_grading/player_pick_scoring.py:458:56:test-only:league_predictor.draft_grading.player_pick_scoring._process_parallel	56	test-only-symbol	test-only	indexed	src/league_predictor/draft_grading/player_pick_scoring.py	458	league_predictor.draft_grading.player_pick_scoring._process_parallel	function league_predictor.draft_grading.player_pick_scoring._process_parallel is referenced only by tests (tests.draft_grading.test_player_pick_scoring) - delete both	real	prod now calls _dispatch_parallel and finishes the job itself; this wrapper is refactor residue with one test as its only caller
src/league_predictor/draft_grading/sequence.py:22:56:test-only:league_predictor.draft_grading.sequence.reconstruct_sequence	56	test-only-symbol	test-only	indexed	src/league_predictor/draft_grading/sequence.py	22	league_predictor.draft_grading.sequence.reconstruct_sequence	function league_predictor.draft_grading.sequence.reconstruct_sequence is referenced only by tests (test_draft_order) - delete both	real	ingestion uses vocab.draft_order.ordered_picks directly; the draft_grading wrapper and its DraftPick record reach nothing in prod
src/league_predictor/predraft/features/manifest.py:289:56:test-only:league_predictor.predraft.features.manifest.feature_home	56	test-only-symbol	test-only	indexed	src/league_predictor/predraft/features/manifest.py	289	league_predictor.predraft.features.manifest.feature_home	function league_predictor.predraft.features.manifest.feature_home is referenced only by tests (test_manifest) - delete both	fp	src/league_predictor/index.md publishes it as the answer to 'where is this served column computed' - a documented developer lookup, and its test proves every served column has a home
src/league_predictor/predraft/pipeline/operations.py:87:56:test-only:league_predictor.predraft.pipeline.operations.summarize_scores	56	test-only-symbol	test-only	indexed	src/league_predictor/predraft/pipeline/operations.py	87	league_predictor.predraft.pipeline.operations.summarize_scores	function league_predictor.predraft.pipeline.operations.summarize_scores is referenced only by tests (tests.predraft.pipeline.test_operations) - delete both	real	evaluate.py and skill_filter/operations.py build the identical Metrics(len, logloss, accuracy) inline; this third copy is called by nothing but its test
src/league_predictor/predraft/ratings/skill_filter/replay.py:149:56:test-only:league_predictor.predraft.ratings.skill_filter.replay.replay_for_training	56	test-only-symbol	test-only	indexed	src/league_predictor/predraft/ratings/skill_filter/replay.py	149	league_predictor.predraft.ratings.skill_filter.replay.replay_for_training	function league_predictor.predraft.ratings.skill_filter.replay.replay_for_training is referenced only by tests (test_skill_filter_deer, test_skill_filter_replay) - delete both	fp	it is the sequential full-unroll reference the shipping DEER solver is checked against (test_skill_filter_deer asserts sol.logits == its logits to 1e-6) - deleting both removes the solver's correctness oracle
tools/calib_harness.py:414:56:test-only:calib_harness.assert_clean	56	test-only-symbol	test-only	indexed	tools/calib_harness.py	414	calib_harness.assert_clean	function calib_harness.assert_clean is referenced only by tests (tests.predraft.test_calibration_measure) - delete both	fp	tools/TOOLS-INDEX.md publishes calib_harness as a non-CLI analysis library and names assert_clean as its leak guard for hand-run analyses
tools/calib_harness.py:33:57:dead-key:calib_harness._metrics:n	57	dead-key	dead-key	indexed	tools/calib_harness.py	33	calib_harness._metrics	calib_harness._metrics writes 'n' on every path, and none of its 1 sinks reads it (keys: {acc, brier, ece, logloss, n, resolution}; read: {acc, brier, ece, logloss})	real	the sole sink copies logloss/brier/acc/ece into its result dict and never reads 'n'; CalibResult.n comes from elsewhere
tools/calib_harness.py:33:57:dead-key:calib_harness._metrics:resolution	57	dead-key	dead-key	indexed	tools/calib_harness.py	33	calib_harness._metrics	calib_harness._metrics writes 'resolution' on every path, and none of its 1 sinks reads it (keys: {acc, brier, ece, logloss, n, resolution}; read: {acc, brier, ece, logloss})	real	metrics.resolution is computed on every call and no reader ever takes it - the sink builds its dict from four of the six keys
