key	rule	slug	arm	tier	file	line	symbol	message	verdict	why
core/rs/core/src/automigrate.rs:74:11:clone-block:dedae825cae6	rs:11	structural-clones	clone-block	indexed	core/rs/core/src/automigrate.rs	74	crsql_core::automigrate::automigrate_impl	structural block clone x2 (5 stmts): crsql_core::automigrate::automigrate_impl	real	real: the mem-db failure tail (errmsg / result_error / result_error_code / cleanup / return Err(OK)) is written twice in one function; one `fail_with_mem_db_err` is the home
core/rs/core/src/automigrate.rs:86:11:clone-block:dedae825cae6	rs:11	structural-clones	clone-block	indexed	core/rs/core/src/automigrate.rs	86	crsql_core::automigrate::automigrate_impl	structural block clone x2 (5 stmts): crsql_core::automigrate::automigrate_impl	real	real: the mem-db failure tail (errmsg / result_error / result_error_code / cleanup / return Err(OK)) is written twice in one function; one `fail_with_mem_db_err` is the home
core/rs/core/src/automigrate.rs:189:11:clone-block:ddbb430d7435	rs:11	structural-clones	clone-block	indexed	core/rs/core/src/automigrate.rs	189	crsql_core::automigrate::maybe_modify_table	structural block clone x2 (5 stmts): crsql_core::automigrate::maybe_modify_table, crsql_core::automigrate::maybe_update_indices	real	real: prepare-the-same-SQL-on-both-dbs, bind both, drain one into a set - written once for columns and once for indices
core/rs/core/src/automigrate.rs:338:11:clone-block:ddbb430d7435	rs:11	structural-clones	clone-block	indexed	core/rs/core/src/automigrate.rs	338	crsql_core::automigrate::maybe_update_indices	structural block clone x2 (5 stmts): crsql_core::automigrate::maybe_modify_table, crsql_core::automigrate::maybe_update_indices	real	real: prepare-the-same-SQL-on-both-dbs, bind both, drain one into a set - written once for columns and once for indices
core/rs/core/src/changes_vtab_write.rs:41:11:clone-block:1f6d9a871542	rs:11	structural-clones	clone-block	indexed	core/rs/core/src/changes_vtab_write.rs	41	crsql_core::changes_vtab_write::did_cid_win	structural block clone x2 (5 stmts): crsql_core::changes_vtab_write::did_cid_win	real	real: the get-stmt / deref / bind key / reset-on-error preamble is repeated for the col-version and col-site-id statements
core/rs/core/src/changes_vtab_write.rs:72:11:clone-block:c8d5acef2f21	rs:11	structural-clones	clone-block	indexed	core/rs/core/src/changes_vtab_write.rs	72	crsql_core::changes_vtab_write::did_cid_win	structural block clone x2 (5 stmts): crsql_core::changes_vtab_write::did_cid_win	real	real: the `reset_cached_stmt; CString::new(msg); *errmsg = into_raw; return Err` failure tail is repeated; this file has no fail() helper
core/rs/core/src/changes_vtab_write.rs:98:11:clone-block:1f6d9a871542	rs:11	structural-clones	clone-block	indexed	core/rs/core/src/changes_vtab_write.rs	98	crsql_core::changes_vtab_write::did_cid_win	structural block clone x2 (5 stmts): crsql_core::changes_vtab_write::did_cid_win	real	real: the get-stmt / deref / bind key / reset-on-error preamble is repeated for the col-version and col-site-id statements
core/rs/core/src/changes_vtab_write.rs:121:11:clone-block:dc4b0e139c27	rs:11	structural-clones	clone-block	indexed	core/rs/core/src/changes_vtab_write.rs	121	crsql_core::changes_vtab_write::did_cid_win	structural block clone x2 (5 stmts): crsql_core::changes_vtab_write::did_cid_win	real	real: same errmsg-set-and-return tail again with a format! message; four copies of it live in this one file
core/rs/core/src/changes_vtab_write.rs:130:11:clone-block:c8d5acef2f21	rs:11	structural-clones	clone-block	indexed	core/rs/core/src/changes_vtab_write.rs	130	crsql_core::changes_vtab_write::did_cid_win	structural block clone x2 (5 stmts): crsql_core::changes_vtab_write::did_cid_win	real	real: the `reset_cached_stmt; CString::new(msg); *errmsg = into_raw; return Err` failure tail is repeated; this file has no fail() helper
core/rs/core/src/changes_vtab_write.rs:143:11:clone-block:dc4b0e139c27	rs:11	structural-clones	clone-block	indexed	core/rs/core/src/changes_vtab_write.rs	143	crsql_core::changes_vtab_write::did_cid_win	structural block clone x2 (5 stmts): crsql_core::changes_vtab_write::did_cid_win	real	real: same errmsg-set-and-return tail again with a format! message; four copies of it live in this one file
core/rs/core/src/create_cl_set_vtab.rs:264:11:clone:4b2029fe5935	rs:11	structural-clones	clone	indexed	core/rs/core/src/create_cl_set_vtab.rs	264	crsql_core::create_cl_set_vtab::create_module	structural clone x2: crsql_core::create_cl_set_vtab::create_module, crsql_core::unpack_columns_vtab::create_module	fp	fp: two-statement bodies (`create_module_v2(<name>, &MODULE, None, None)?` then `Ok(OK)`) whose only varying token is the module name; the shared call is already the parameterised library API, so there is no fact to give one home. Minimum-body floor is too low
core/rs/core/src/lib.rs:369:11:clone-block:ca70e2204d5a	rs:11	structural-clones	clone-block	indexed	core/rs/core/src/lib.rs	369	crsql_core::sqlite3_crsqlcore_init	structural block clone x2 (5 stmts): crsql_core::sqlite3_crsqlcore_init	real	real: one instance of the create_function_v2 + `if rc != OK { freeExtData; return null_mut() }` block that repeats 19 times in this function
core/rs/core/src/lib.rs:420:11:clone-block:ca70e2204d5a	rs:11	structural-clones	clone-block	indexed	core/rs/core/src/lib.rs	420	crsql_core::sqlite3_crsqlcore_init	structural block clone x2 (5 stmts): crsql_core::sqlite3_crsqlcore_init	real	real: one instance of the create_function_v2 + `if rc != OK { freeExtData; return null_mut() }` block that repeats 19 times in this function
