key	rule	slug	arm	tier	file	line	symbol	message	verdict	why
src/forge/_backend_profiles.py:108:1:weak:forge._backend_profiles.parse_vllm_model_catalog:payload	1	weak-boundary-types	weak	heuristic	src/forge/_backend_profiles.py	108	forge._backend_profiles.parse_vllm_model_catalog	public boundary param 'payload' of forge._backend_profiles.parse_vllm_model_catalog: contains Any	real	payload is a decoded /v1/models envelope the body isinstance-narrows in full; object (or a TypedDict) is the honest, checkable spelling and Any buys nothing.
src/forge/clients/base.py:218:1:weak:forge.clients.base.flatten_content_to_text:content	1	weak-boundary-types	weak	heuristic	src/forge/clients/base.py	218	forge.clients.base.flatten_content_to_text	public boundary param 'content' of forge.clients.base.flatten_content_to_text: contains Any	real	content is exactly str | list[dict[str, Any]] | None per its own docstring; Any hides a union the function already enumerates.
src/forge/clients/base.py:240:1:weak:forge.clients.base.decode_tool_args:raw	1	weak-boundary-types	weak	heuristic	src/forge/clients/base.py	240	forge.clients.base.decode_tool_args	public boundary param 'raw' of forge.clients.base.decode_tool_args: contains Any	real	raw is the wire arguments field: str | dict | None; the union is spelled in the docstring but not in the signature.
src/forge/clients/base.py:240:1:weak:forge.clients.base.decode_tool_args:return	1	weak-boundary-types	weak	heuristic	src/forge/clients/base.py	240	forge.clients.base.decode_tool_args	public boundary return of forge.clients.base.decode_tool_args: contains Any	real	the Any return launders a deliberately non-dict result straight into ToolCallInfo.args: dict[str, Any] - object would surface the very contract break the docstring describes.
src/forge/core/runner.py:96:1:weak:forge.core.runner.WorkflowRunner.run:return	1	weak-boundary-types	weak	heuristic	src/forge/core/runner.py	96	forge.core.runner.WorkflowRunner.run	public boundary return of forge.core.runner.WorkflowRunner.run: contains Any	fp	the return is a user-registered tool's own value, genuinely unbounded by construction; object would force a cast at every consumer for no information gained.
src/forge/core/slot_worker.py:64:1:weak:forge.core.slot_worker.SlotWorker.submit:return	1	weak-boundary-types	weak	heuristic	src/forge/core/slot_worker.py	64	forge.core.slot_worker.SlotWorker.submit	public boundary return of forge.core.slot_worker.SlotWorker.submit: contains Any	fp	same passthrough as WorkflowRunner.run: the value is the caller's own terminal-tool result, so Any is the honest framework contract.
src/forge/prompts/nudges.py:65:1:weak:forge.prompts.nudges.tool_arg_validation_nudge:args	1	weak-boundary-types	weak	heuristic	src/forge/prompts/nudges.py	65	forge.prompts.nudges.tool_arg_validation_nudge	public boundary param 'args' of forge.prompts.nudges.tool_arg_validation_nudge: contains Any	real	args is only repr'd and type()'d, so object types it exactly; Any here is unforced.
src/forge/proxy/convert.py:103:1:weak:forge.proxy.convert.tool_calls_to_openai:usage	1	weak-boundary-types	weak	heuristic	src/forge/proxy/convert.py	103	forge.proxy.convert.tool_calls_to_openai	public boundary param 'usage' of forge.proxy.convert.tool_calls_to_openai: contains Any	real	usage is always a TokenUsage | None (handler.py:87 declares it so); Any forces the getattr(usage, ..., 0) fallbacks that hide field renames.
src/forge/proxy/convert.py:153:1:weak:forge.proxy.convert.text_response_to_openai:usage	1	weak-boundary-types	weak	heuristic	src/forge/proxy/convert.py	153	forge.proxy.convert.text_response_to_openai	public boundary param 'usage' of forge.proxy.convert.text_response_to_openai: contains Any	real	same TokenUsage | None value typed Any; the concrete dataclass already lives in forge.clients.base which this module imports.
src/forge/proxy/convert.py:186:1:weak:forge.proxy.convert.tool_calls_to_sse_events:usage	1	weak-boundary-types	weak	heuristic	src/forge/proxy/convert.py	186	forge.proxy.convert.tool_calls_to_sse_events	public boundary param 'usage' of forge.proxy.convert.tool_calls_to_sse_events: contains Any	real	same TokenUsage | None value typed Any; getattr defaults stand in for a type the repo owns.
