key	rule	slug	arm	tier	file	line	symbol	message	verdict	why
api/image_inputs.py:169:1:weak:api.image_inputs.parse_image_edit_request:return	1	weak-boundary-types	weak	heuristic	api/image_inputs.py	169	api.image_inputs.parse_image_edit_request	public boundary return of api.image_inputs.parse_image_edit_request: contains Any	fp	repo is an OpenAI/ChatGPT wire adapter: dict[str, Any] is the honest type for decoded external JSON here, and TypedDict-ing the vendor schema is not a change this repo would take
services/account_service.py:858:1:weak:services.account_service.AccountService.keepalive_refresh_tokens:return	1	weak-boundary-types	weak	heuristic	services/account_service.py	858	services.account_service.AccountService.keepalive_refresh_tokens	public boundary return of services.account_service.AccountService.keepalive_refresh_tokens: contains Any	real	keepalive_refresh_tokens returns a closed repo-defined record (refresh/keepalive summary or an account row), not vendor JSON
services/account_service.py:1130:1:weak:services.account_service.AccountService.add_account_items:return	1	weak-boundary-types	weak	heuristic	services/account_service.py	1130	services.account_service.AccountService.add_account_items	public boundary return of services.account_service.AccountService.add_account_items: bare dict	real	bare dict on a repo-owned record/result (add_account_items): says nothing at all, and the repo's own idiom elsewhere is dict[str, Any] or better
services/account_service.py:1138:1:weak:services.account_service.AccountService.add_accounts:return	1	weak-boundary-types	weak	heuristic	services/account_service.py	1138	services.account_service.AccountService.add_accounts	public boundary return of services.account_service.AccountService.add_accounts: bare dict	real	bare dict on a repo-owned record/result (add_accounts): says nothing at all, and the repo's own idiom elsewhere is dict[str, Any] or better
services/account_service.py:1192:1:weak:services.account_service.AccountService.delete_accounts:return	1	weak-boundary-types	weak	heuristic	services/account_service.py	1192	services.account_service.AccountService.delete_accounts	public boundary return of services.account_service.AccountService.delete_accounts: bare dict	real	bare dict on a repo-owned record/result (delete_accounts): says nothing at all, and the repo's own idiom elsewhere is dict[str, Any] or better
services/account_service.py:1216:1:weak:services.account_service.AccountService.update_account:updates	1	weak-boundary-types	weak	heuristic	services/account_service.py	1216	services.account_service.AccountService.update_account	public boundary param 'updates' of services.account_service.AccountService.update_account: bare dict	real	bare dict on a repo-owned record/result (update_account): says nothing at all, and the repo's own idiom elsewhere is dict[str, Any] or better
services/account_service.py:1340:1:weak:services.account_service.AccountService.fetch_remote_info:return	1	weak-boundary-types	weak	heuristic	services/account_service.py	1340	services.account_service.AccountService.fetch_remote_info	public boundary return of services.account_service.AccountService.fetch_remote_info: contains Any	real	fetch_remote_info returns a closed repo-defined record (refresh/keepalive summary or an account row), not vendor JSON
services/account_service.py:1488:1:weak:services.account_service.AccountService.refresh_accounts:return	1	weak-boundary-types	weak	heuristic	services/account_service.py	1488	services.account_service.AccountService.refresh_accounts	public boundary return of services.account_service.AccountService.refresh_accounts: contains Any	real	refresh_accounts returns a closed repo-defined record (refresh/keepalive summary or an account row), not vendor JSON
services/account_service.py:1571:1:weak:services.account_service.AccountService.re_login_accounts:return	1	weak-boundary-types	weak	heuristic	services/account_service.py	1571	services.account_service.AccountService.re_login_accounts	public boundary return of services.account_service.AccountService.re_login_accounts: contains Any	real	re_login_accounts returns a closed repo-defined record (refresh/keepalive summary or an account row), not vendor JSON
services/account_service.py:1681:1:weak:services.account_service.AccountService.get_stats:return	1	weak-boundary-types	weak	heuristic	services/account_service.py	1681	services.account_service.AccountService.get_stats	public boundary return of services.account_service.AccountService.get_stats: bare dict	real	bare dict on a repo-owned record/result (get_stats): says nothing at all, and the repo's own idiom elsewhere is dict[str, Any] or better
services/account_service.py:1709:1:weak:services.account_service.AccountService.account_health:return	1	weak-boundary-types	weak	heuristic	services/account_service.py	1709	services.account_service.AccountService.account_health	public boundary return of services.account_service.AccountService.account_health: bare dict	real	bare dict on a repo-owned record/result (account_health): says nothing at all, and the repo's own idiom elsewhere is dict[str, Any] or better
services/cpa_service.py:104:1:weak:services.cpa_service.CPAConfig.add_pool:return	1	weak-boundary-types	weak	heuristic	services/cpa_service.py	104	services.cpa_service.CPAConfig.add_pool	public boundary return of services.cpa_service.CPAConfig.add_pool: bare dict	real	bare dict on a repo-owned record/result (add_pool): says nothing at all, and the repo's own idiom elsewhere is dict[str, Any] or better
services/cpa_service.py:111:1:weak:services.cpa_service.CPAConfig.update_pool:updates	1	weak-boundary-types	weak	heuristic	services/cpa_service.py	111	services.cpa_service.CPAConfig.update_pool	public boundary param 'updates' of services.cpa_service.CPAConfig.update_pool: bare dict	real	bare dict on a repo-owned record/result (update_pool): says nothing at all, and the repo's own idiom elsewhere is dict[str, Any] or better
services/cpa_service.py:152:1:weak:services.cpa_service.list_remote_files:pool	1	weak-boundary-types	weak	heuristic	services/cpa_service.py	152	services.cpa_service.list_remote_files	public boundary param 'pool' of services.cpa_service.list_remote_files: bare dict	real	bare dict on a repo-owned record/result (list_remote_files): says nothing at all, and the repo's own idiom elsewhere is dict[str, Any] or better
services/cpa_service.py:184:1:weak:services.cpa_service.fetch_remote_access_token:pool	1	weak-boundary-types	weak	heuristic	services/cpa_service.py	184	services.cpa_service.fetch_remote_access_token	public boundary param 'pool' of services.cpa_service.fetch_remote_access_token: bare dict	real	bare dict on a repo-owned record/result (fetch_remote_access_token): says nothing at all, and the repo's own idiom elsewhere is dict[str, Any] or better
services/cpa_service.py:216:1:weak:services.cpa_service.CPAImportService.start_import:pool	1	weak-boundary-types	weak	heuristic	services/cpa_service.py	216	services.cpa_service.CPAImportService.start_import	public boundary param 'pool' of services.cpa_service.CPAImportService.start_import: bare dict	real	bare dict on a repo-owned record/result (start_import): says nothing at all, and the repo's own idiom elsewhere is dict[str, Any] or better
services/cpa_service.py:216:1:weak:services.cpa_service.CPAImportService.start_import:return	1	weak-boundary-types	weak	heuristic	services/cpa_service.py	216	services.cpa_service.CPAImportService.start_import	public boundary return of services.cpa_service.CPAImportService.start_import: bare dict	real	bare dict on a repo-owned record/result (start_import): says nothing at all, and the repo's own idiom elsewhere is dict[str, Any] or better
services/editable_file_task_service.py:97:1:weak:services.editable_file_task_service.EditableFileTaskService.submit_ppt:return	1	weak-boundary-types	weak	heuristic	services/editable_file_task_service.py	97	services.editable_file_task_service.EditableFileTaskService.submit_ppt	public boundary return of services.editable_file_task_service.EditableFileTaskService.submit_ppt: contains Any	real	submit_ppt returns a repo-defined task record whose keys callers in api/ index directly
services/editable_file_task_service.py:100:1:weak:services.editable_file_task_service.EditableFileTaskService.submit_psd:return	1	weak-boundary-types	weak	heuristic	services/editable_file_task_service.py	100	services.editable_file_task_service.EditableFileTaskService.submit_psd	public boundary return of services.editable_file_task_service.EditableFileTaskService.submit_psd: contains Any	real	submit_psd returns a repo-defined task record whose keys callers in api/ index directly
services/editable_file_task_service.py:103:1:weak:services.editable_file_task_service.EditableFileTaskService.list_tasks:return	1	weak-boundary-types	weak	heuristic	services/editable_file_task_service.py	103	services.editable_file_task_service.EditableFileTaskService.list_tasks	public boundary return of services.editable_file_task_service.EditableFileTaskService.list_tasks: contains Any	real	list_tasks returns a repo-defined task record whose keys callers in api/ index directly
services/image_service.py:230:1:weak:services.image_service.storage_stats:return	1	weak-boundary-types	weak	heuristic	services/image_service.py	230	services.image_service.storage_stats	public boundary return of services.image_service.storage_stats: bare dict	real	bare dict on a repo-owned record/result (storage_stats): says nothing at all, and the repo's own idiom elsewhere is dict[str, Any] or better
