key	rule	slug	arm	tier	file	line	symbol	message	verdict	why
AutoSkillit/src/autoskillit/core/types/_type_protocols_recipe.py:10:31:boundary:forbidden:autoskillit.core->autoskillit.recipe	31	boundary-contracts	boundary	indexed	AutoSkillit/src/autoskillit/core/types/_type_protocols_recipe.py	10	autoskillit.core.types._type_protocols_recipe	autoskillit.core.types._type_protocols_recipe imports autoskillit.recipe.schema: forbidden by contract 'IL-0 core has no autoskillit upward imports' (autoskillit.core -> autoskillit.recipe)	fp	AutoSkillit sets exclude_type_checking_imports, and this import sits under `if TYPE_CHECKING:`, so import-linter never puts it in the graph; #31 reads every import statement and honours no session option
AutoSkillit/src/autoskillit/core/types/_type_protocols_recipe.py:10:31:boundary:forbidden:autoskillit.core->autoskillit.recipe	31	boundary-contracts	boundary	indexed	AutoSkillit/src/autoskillit/core/types/_type_protocols_recipe.py	10	autoskillit.core.types._type_protocols_recipe	autoskillit.core.types._type_protocols_recipe imports autoskillit.recipe.schema: forbidden by contract 'IL-0 core has no autoskillit upward imports' (autoskillit.core -> autoskillit.recipe)	fp	AutoSkillit sets exclude_type_checking_imports, and this import sits under `if TYPE_CHECKING:`, so import-linter never puts it in the graph; #31 reads every import statement and honours no session option
AutoSkillit/src/autoskillit/execution/headless/__init__.py:93:31:boundary:forbidden:autoskillit.execution->autoskillit.config	31	boundary-contracts	boundary	indexed	AutoSkillit/src/autoskillit/execution/headless/__init__.py	93	autoskillit.execution.headless	autoskillit.execution.headless imports autoskillit.config: forbidden by contract 'IL-1 execution imports only IL-0' (autoskillit.execution -> autoskillit.config)	fp	AutoSkillit sets exclude_type_checking_imports, and this import sits under `if TYPE_CHECKING:`, so import-linter never puts it in the graph; #31 reads every import statement and honours no session option
AutoSkillit/src/autoskillit/execution/headless/__init__.py:93:31:boundary:independence:autoskillit.execution->autoskillit.config	31	boundary-contracts	boundary	indexed	AutoSkillit/src/autoskillit/execution/headless/__init__.py	93	autoskillit.execution.headless	autoskillit.execution.headless imports autoskillit.config: autoskillit.execution and autoskillit.config are declared independent by contract 'IL-1 siblings are independent of each other'	fp	AutoSkillit sets exclude_type_checking_imports, and this import sits under `if TYPE_CHECKING:`, so import-linter never puts it in the graph; #31 reads every import statement and honours no session option
AutoSkillit/src/autoskillit/execution/headless/__init__.py:98:31:boundary:forbidden:autoskillit.execution->autoskillit.pipeline	31	boundary-contracts	boundary	indexed	AutoSkillit/src/autoskillit/execution/headless/__init__.py	98	autoskillit.execution.headless	autoskillit.execution.headless imports autoskillit.pipeline.context: forbidden by contract 'IL-1 execution imports only IL-0' (autoskillit.execution -> autoskillit.pipeline)	fp	AutoSkillit sets exclude_type_checking_imports, and this import sits under `if TYPE_CHECKING:`, so import-linter never puts it in the graph; #31 reads every import statement and honours no session option
AutoSkillit/src/autoskillit/execution/headless/__init__.py:98:31:boundary:independence:autoskillit.execution->autoskillit.pipeline	31	boundary-contracts	boundary	indexed	AutoSkillit/src/autoskillit/execution/headless/__init__.py	98	autoskillit.execution.headless	autoskillit.execution.headless imports autoskillit.pipeline.context: autoskillit.execution and autoskillit.pipeline are declared independent by contract 'IL-1 siblings are independent of each other'	fp	AutoSkillit sets exclude_type_checking_imports, and this import sits under `if TYPE_CHECKING:`, so import-linter never puts it in the graph; #31 reads every import statement and honours no session option
AutoSkillit/src/autoskillit/execution/linux_tracing.py:41:31:boundary:forbidden:autoskillit.execution->autoskillit.config	31	boundary-contracts	boundary	indexed	AutoSkillit/src/autoskillit/execution/linux_tracing.py	41	autoskillit.execution.linux_tracing	autoskillit.execution.linux_tracing imports autoskillit.config: forbidden by contract 'IL-1 execution imports only IL-0' (autoskillit.execution -> autoskillit.config)	fp	AutoSkillit sets exclude_type_checking_imports, and this import sits under `if TYPE_CHECKING:`, so import-linter never puts it in the graph; #31 reads every import statement and honours no session option
AutoSkillit/src/autoskillit/execution/linux_tracing.py:41:31:boundary:independence:autoskillit.execution->autoskillit.config	31	boundary-contracts	boundary	indexed	AutoSkillit/src/autoskillit/execution/linux_tracing.py	41	autoskillit.execution.linux_tracing	autoskillit.execution.linux_tracing imports autoskillit.config: autoskillit.execution and autoskillit.config are declared independent by contract 'IL-1 siblings are independent of each other'	fp	AutoSkillit sets exclude_type_checking_imports, and this import sits under `if TYPE_CHECKING:`, so import-linter never puts it in the graph; #31 reads every import statement and honours no session option
AutoSkillit/src/autoskillit/execution/process/__init__.py:67:31:boundary:forbidden:autoskillit.execution->autoskillit.config	31	boundary-contracts	boundary	indexed	AutoSkillit/src/autoskillit/execution/process/__init__.py	67	autoskillit.execution.process	autoskillit.execution.process imports autoskillit.config: forbidden by contract 'IL-1 execution imports only IL-0' (autoskillit.execution -> autoskillit.config)	fp	AutoSkillit sets exclude_type_checking_imports, and this import sits under `if TYPE_CHECKING:`, so import-linter never puts it in the graph; #31 reads every import statement and honours no session option
AutoSkillit/src/autoskillit/execution/process/__init__.py:67:31:boundary:independence:autoskillit.execution->autoskillit.config	31	boundary-contracts	boundary	indexed	AutoSkillit/src/autoskillit/execution/process/__init__.py	67	autoskillit.execution.process	autoskillit.execution.process imports autoskillit.config: autoskillit.execution and autoskillit.config are declared independent by contract 'IL-1 siblings are independent of each other'	fp	AutoSkillit sets exclude_type_checking_imports, and this import sits under `if TYPE_CHECKING:`, so import-linter never puts it in the graph; #31 reads every import statement and honours no session option
