key	rule	slug	arm	tier	file	line	symbol	message	verdict	why
examples/gui-agent/glm-41v/gui_agent_41v.py:29:1:weak:gui_agent_41v.build_history_images:history_images	1	weak-boundary-types	weak	heuristic	examples/gui-agent/glm-41v/gui_agent_41v.py	29	gui_agent_41v.build_history_images	public boundary param 'history_images' of gui_agent_41v.build_history_images: bare list	real	the slot has a knowable type the code proves (judge re-checks isinstance(str) at runtime; bare list carries bytes in and data-URLs out; **kwargs is read for two fixed keys; dict[str,Any] returns a docstring-fixed envelope)
examples/gui-agent/glm-41v/gui_agent_41v.py:29:1:weak:gui_agent_41v.build_history_images:return	1	weak-boundary-types	weak	heuristic	examples/gui-agent/glm-41v/gui_agent_41v.py	29	gui_agent_41v.build_history_images	public boundary return of gui_agent_41v.build_history_images: bare list	real	the slot has a knowable type the code proves (judge re-checks isinstance(str) at runtime; bare list carries bytes in and data-URLs out; **kwargs is read for two fixed keys; dict[str,Any] returns a docstring-fixed envelope)
examples/gui-agent/glm-41v/gui_agent_41v.py:47:1:weak:gui_agent_41v.load_history_images_from_paths:history_image_paths	1	weak-boundary-types	weak	heuristic	examples/gui-agent/glm-41v/gui_agent_41v.py	47	gui_agent_41v.load_history_images_from_paths	public boundary param 'history_image_paths' of gui_agent_41v.load_history_images_from_paths: bare list	real	the slot has a knowable type the code proves (judge re-checks isinstance(str) at runtime; bare list carries bytes in and data-URLs out; **kwargs is read for two fixed keys; dict[str,Any] returns a docstring-fixed envelope)
examples/gui-agent/glm-41v/gui_agent_41v.py:47:1:weak:gui_agent_41v.load_history_images_from_paths:return	1	weak-boundary-types	weak	heuristic	examples/gui-agent/glm-41v/gui_agent_41v.py	47	gui_agent_41v.load_history_images_from_paths	public boundary return of gui_agent_41v.load_history_images_from_paths: bare list	real	the slot has a knowable type the code proves (judge re-checks isinstance(str) at runtime; bare list carries bytes in and data-URLs out; **kwargs is read for two fixed keys; dict[str,Any] returns a docstring-fixed envelope)
examples/gui-agent/glm-45v/gui_agent_45v.py:29:1:weak:gui_agent_45v.build_history_images:history_images	1	weak-boundary-types	weak	heuristic	examples/gui-agent/glm-45v/gui_agent_45v.py	29	gui_agent_45v.build_history_images	public boundary param 'history_images' of gui_agent_45v.build_history_images: bare list	real	the slot has a knowable type the code proves (judge re-checks isinstance(str) at runtime; bare list carries bytes in and data-URLs out; **kwargs is read for two fixed keys; dict[str,Any] returns a docstring-fixed envelope)
examples/gui-agent/glm-45v/gui_agent_45v.py:29:1:weak:gui_agent_45v.build_history_images:return	1	weak-boundary-types	weak	heuristic	examples/gui-agent/glm-45v/gui_agent_45v.py	29	gui_agent_45v.build_history_images	public boundary return of gui_agent_45v.build_history_images: bare list	real	the slot has a knowable type the code proves (judge re-checks isinstance(str) at runtime; bare list carries bytes in and data-URLs out; **kwargs is read for two fixed keys; dict[str,Any] returns a docstring-fixed envelope)
examples/gui-agent/glm-45v/gui_agent_45v.py:47:1:weak:gui_agent_45v.load_history_images_from_paths:history_image_paths	1	weak-boundary-types	weak	heuristic	examples/gui-agent/glm-45v/gui_agent_45v.py	47	gui_agent_45v.load_history_images_from_paths	public boundary param 'history_image_paths' of gui_agent_45v.load_history_images_from_paths: bare list	real	the slot has a knowable type the code proves (judge re-checks isinstance(str) at runtime; bare list carries bytes in and data-URLs out; **kwargs is read for two fixed keys; dict[str,Any] returns a docstring-fixed envelope)
examples/gui-agent/glm-45v/gui_agent_45v.py:47:1:weak:gui_agent_45v.load_history_images_from_paths:return	1	weak-boundary-types	weak	heuristic	examples/gui-agent/glm-45v/gui_agent_45v.py	47	gui_agent_45v.load_history_images_from_paths	public boundary return of gui_agent_45v.load_history_images_from_paths: bare list	real	the slot has a knowable type the code proves (judge re-checks isinstance(str) at runtime; bare list carries bytes in and data-URLs out; **kwargs is read for two fixed keys; dict[str,Any] returns a docstring-fixed envelope)
glmv_reward/scripts/gui_agent/AndroidWorld.py:84:1:weak:AndroidWorld.judge:extracted_answer	1	weak-boundary-types	weak	heuristic	glmv_reward/scripts/gui_agent/AndroidWorld.py	84	AndroidWorld.judge	public boundary param 'extracted_answer' of AndroidWorld.judge: contains Any	real	the slot has a knowable type the code proves (judge re-checks isinstance(str) at runtime; bare list carries bytes in and data-URLs out; **kwargs is read for two fixed keys; dict[str,Any] returns a docstring-fixed envelope)
glmv_reward/scripts/gui_agent/AndroidWorld.py:85:1:weak:AndroidWorld.judge:ground_truth	1	weak-boundary-types	weak	heuristic	glmv_reward/scripts/gui_agent/AndroidWorld.py	85	AndroidWorld.judge	public boundary param 'ground_truth' of AndroidWorld.judge: contains Any	real	the slot has a knowable type the code proves (judge re-checks isinstance(str) at runtime; bare list carries bytes in and data-URLs out; **kwargs is read for two fixed keys; dict[str,Any] returns a docstring-fixed envelope)
