key	rule	slug	arm	tier	file	line	symbol	message	verdict	why
src/config.rs:47:6:dishonest-accessor:bob_nvim::config::ConfigFile::get	rs:6	dishonest-accessor	dishonest-accessor	indexed	src/config.rs	47	bob_nvim::config::ConfigFile::get	bob_nvim::config::ConfigFile::get is named like an accessor but its callee graph has effects: reads-world	fp	Nothing in the callee graph mutates: it reads the file the name names and substitutes env vars into its own local Config, so reads-world here is the declared contract of a loader, not a buried effect; the arm needs to separate a read of the named resource from an unannounced one.
src/handlers/list_handler.rs:128:6:dishonest-accessor:bob_nvim::handlers::list_handler::has_rollbacks	rs:6	dishonest-accessor	dishonest-accessor	indexed	src/handlers/list_handler.rs	128	bob_nvim::handlers::list_handler::has_rollbacks	bob_nvim::handlers::list_handler::has_rollbacks is named like an accessor but its callee graph has effects: reads-world, writes-world	real	A `has_` predicate whose callee `produce_nightly_vec` reaches `get_downloads_directory`, which `create_dir_all`s the downloads tree: asking whether rollbacks exist creates a directory two hops down.
src/helpers/directories.rs:25:6:dishonest-accessor:bob_nvim::helpers::directories::get_home_dir	rs:6	dishonest-accessor	dishonest-accessor	indexed	src/helpers/directories.rs	25	bob_nvim::helpers::directories::get_home_dir	bob_nvim::helpers::directories::get_home_dir is named like an accessor but its callee graph has effects: reads-world	fp	Pure lookup: env::var plus fs::metadata probes, no write anywhere in the callee graph, and probing the environment is the only way to answer 'where is home'; no reviewer takes a change here.
src/helpers/directories.rs:76:6:dishonest-accessor:bob_nvim::helpers::directories::get_local_data_dir	rs:6	dishonest-accessor	dishonest-accessor	indexed	src/helpers/directories.rs	76	bob_nvim::helpers::directories::get_local_data_dir	bob_nvim::helpers::directories::get_local_data_dir is named like an accessor but its callee graph has effects: reads-world	fp	Two statements over `get_home_dir` plus a `push`; the whole callee graph is read-only, so the reads-world class alone marks every path helper in the crate as dishonest.
src/helpers/directories.rs:104:6:dishonest-accessor:bob_nvim::helpers::directories::get_config_file	rs:6	dishonest-accessor	dishonest-accessor	indexed	src/helpers/directories.rs	104	bob_nvim::helpers::directories::get_config_file	bob_nvim::helpers::directories::get_config_file is named like an accessor but its callee graph has effects: reads-world	fp	Returns a PathBuf after reading BOB_CONFIG and one fs::metadata existence probe; it creates and writes nothing, so the effect the message names is the read the name promises.
src/helpers/directories.rs:151:6:dishonest-accessor:bob_nvim::helpers::directories::get_downloads_directory	rs:6	dishonest-accessor	dishonest-accessor	indexed	src/helpers/directories.rs	151	bob_nvim::helpers::directories::get_downloads_directory	bob_nvim::helpers::directories::get_downloads_directory is named like an accessor but its callee graph has effects: reads-world, writes-world	real	The getter creates the directory it reports: `create_dir_all(&data_dir)` at :163 runs on every call, so asking where downloads live makes them exist. Rename to `ensure_downloads_directory` or split the mkdir out.
src/helpers/directories.rs:195:6:dishonest-accessor:bob_nvim::helpers::directories::get_installation_directory	rs:6	dishonest-accessor	dishonest-accessor	indexed	src/helpers/directories.rs	195	bob_nvim::helpers::directories::get_installation_directory	bob_nvim::helpers::directories::get_installation_directory is named like an accessor but its callee graph has effects: reads-world, writes-world	real	Inherits the `create_dir_all` through its `get_downloads_directory` call at :199: the mkdir is one hop deeper than the name and invisible at every call site, which is exactly the buried-effect case.
src/helpers/version/mod.rs:192:6:dishonest-accessor:bob_nvim::helpers::version::is_version_installed	rs:6	dishonest-accessor	dishonest-accessor	indexed	src/helpers/version/mod.rs	192	bob_nvim::helpers::version::is_version_installed	bob_nvim::helpers::version::is_version_installed is named like an accessor but its callee graph has effects: reads-world, writes-world	real	An `is_` predicate that reaches `get_downloads_directory` at :193 and so creates the downloads tree as a side effect of answering a yes/no question.
src/helpers/version/mod.rs:231:6:dishonest-accessor:bob_nvim::helpers::version::get_current_version	rs:6	dishonest-accessor	dishonest-accessor	indexed	src/helpers/version/mod.rs	231	bob_nvim::helpers::version::get_current_version	bob_nvim::helpers::version::get_current_version is named like an accessor but its callee graph has effects: reads-world, writes-world	real	Reaches `get_downloads_directory` at :232 (mkdir) before reading `used`; the directory creation is unpredictable from a name promising to report the current version.
src/helpers/version/mod.rs:259:6:dishonest-accessor:bob_nvim::helpers::version::is_version_used	rs:6	dishonest-accessor	dishonest-accessor	indexed	src/helpers/version/mod.rs	259	bob_nvim::helpers::version::is_version_used	bob_nvim::helpers::version::is_version_used is named like an accessor but its callee graph has effects: reads-world, writes-world	real	A bool-returning predicate that creates the downloads directory through `get_current_version` and then swallows every error into `false`, so both the effect and the failure are invisible to its five callers.
src/helpers/version/nightly.rs:34:6:dishonest-accessor:bob_nvim::helpers::version::nightly::get_local_nightly	rs:6	dishonest-accessor	dishonest-accessor	indexed	src/helpers/version/nightly.rs	34	bob_nvim::helpers::version::nightly::get_local_nightly	bob_nvim::helpers::version::nightly::get_local_nightly is named like an accessor but its callee graph has effects: reads-world, writes-world	real	Reaches `get_downloads_directory` at :35 and creates the downloads tree before reading nightly/bob.json; a `get_` that provisions storage.
