key	rule	slug	arm	tier	file	line	symbol	message	verdict	why
src/command/args/encode.rs:389:11:clone:4e52c4ebac5f	rs:11	structural-clones	clone	indexed	src/command/args/encode.rs	389	ab_av1::command::args::encode::Encoder::default_min_crf	structural clone x2: ab_av1::command::args::encode::Encoder::default_min_crf, ab_av1::command::args::encode::Encoder::default_image_ext	fp	Encoder::default_min_crf (f32 crf floor) and default_image_ext (&str file extension) share only the shape 'match self.as_str() with two literal arms plus a default'; the values are unrelated facts with different return types, so there is no single home to move them to and merging them would be worse.
src/command/args/encode.rs:408:11:clone:4e52c4ebac5f	rs:11	structural-clones	clone	indexed	src/command/args/encode.rs	408	ab_av1::command::args::encode::Encoder::default_image_ext	structural clone x2: ab_av1::command::args::encode::Encoder::default_min_crf, ab_av1::command::args::encode::Encoder::default_image_ext	fp	Same group as the :389 row: a T2 normalization over two tiny unrelated lookup tables (crf floor vs image extension); the sibling default_crf_increment and default_max_crf in the same impl have the identical shape too, so this is the codec dispatch idiom, not a copy.
src/command/sample_encode.rs:620:11:clone:0e5b6fd49c2d	rs:11	structural-clones	clone	indexed	src/command/sample_encode.rs	620	ab_av1::command::sample_encode::Vec::mean_vmaf_score	structural clone x2: ab_av1::command::sample_encode::Vec::mean_vmaf_score, ab_av1::command::sample_encode::Vec::mean_xpsnr_score	real	mean_vmaf_score and mean_xpsnr_score are byte-identical apart from the field read (r.vmaf_score vs r.xpsnr_score); one mean over a field accessor removes the copy.
src/command/sample_encode.rs:626:11:clone:0e5b6fd49c2d	rs:11	structural-clones	clone	indexed	src/command/sample_encode.rs	626	ab_av1::command::sample_encode::Vec::mean_xpsnr_score	structural clone x2: ab_av1::command::sample_encode::Vec::mean_vmaf_score, ab_av1::command::sample_encode::Vec::mean_xpsnr_score	real	Second member of the same pair; the two helpers encode one averaging rule (peek to return None on empty, then divide by self.len() rather than by the score count) in two places, so a fix to that rule can land in only one.
src/command/vmaf.rs:54:11:clone-block:9ecb89314db4	rs:11	structural-clones	clone-block	indexed	src/command/vmaf.rs	54	ab_av1::command::vmaf::vmaf	structural block clone x2 (8 stmts): ab_av1::command::vmaf::vmaf, ab_av1::command::xpsnr::xpsnr	real	command::vmaf and command::xpsnr open with the same eight statements (bar with the same template and PROGRESS_CHARS, steady tick, set_message, two ffprobe::probe calls, nframes().or_else, duration.as_ref().or, set_length); only the message word differs.
src/command/vmaf.rs:80:11:clone-block:9240d73cf6fd	rs:11	structural-clones	clone-block	indexed	src/command/vmaf.rs	80	ab_av1::command::vmaf::vmaf	structural block clone x2 (6 stmts): ab_av1::command::vmaf::vmaf, ab_av1::command::xpsnr::xpsnr	real	The progress-drain block (ProgressLogger, score accumulator, while-let over a four-arm match setting the fps message, the position and logger.update) is the same six statements in both commands; only the enum name and the fps label differ.
src/command/xpsnr.rs:51:11:clone-block:9ecb89314db4	rs:11	structural-clones	clone-block	indexed	src/command/xpsnr.rs	51	ab_av1::command::xpsnr::xpsnr	structural block clone x2 (8 stmts): ab_av1::command::vmaf::vmaf, ab_av1::command::xpsnr::xpsnr	real	Mirror member of the eight-statement setup clone with command::vmaf; the whole xpsnr command is a copy of the vmaf command and the two should be one parameterised runner.
src/command/xpsnr.rs:78:11:clone-block:9240d73cf6fd	rs:11	structural-clones	clone-block	indexed	src/command/xpsnr.rs	78	ab_av1::command::xpsnr::xpsnr	structural block clone x2 (6 stmts): ab_av1::command::vmaf::vmaf, ab_av1::command::xpsnr::xpsnr	real	Mirror member of the six-statement drain clone with command::vmaf; the progress-reporting contract (set position only when nframes is Ok, log only when duration is Ok) is duplicated and can drift.
src/command/xpsnr.rs:118:11:clone-block:204504d41fb0	rs:11	structural-clones	clone-block	indexed	src/command/xpsnr.rs	118	ab_av1::command::xpsnr::lavfi::add_filter	structural block clone x2 (7 stmts): ab_av1::command::xpsnr::lavfi, ab_av1::command::xpsnr::lavfi::add_filter	fp	add_filter is a nested fn declared inside lavfi (xpsnr.rs:111), so its body is counted once as its own fn and once as part of its parent; both group members are the same physical statements at the same line, and there is no second copy to remove.
src/command/xpsnr.rs:118:11:clone-block:204504d41fb0	rs:11	structural-clones	clone-block	indexed	src/command/xpsnr.rs	118	ab_av1::command::xpsnr::lavfi	structural block clone x2 (7 stmts): ab_av1::command::xpsnr::lavfi, ab_av1::command::xpsnr::lavfi::add_filter	fp	add_filter is a nested fn declared inside lavfi (xpsnr.rs:111), so its body is counted once as its own fn and once as part of its parent; both group members are the same physical statements at the same line, and there is no second copy to remove.
