key	rule	slug	arm	tier	file	line	symbol	message	verdict	why
src/bindings/bridge.rs:24:11:clone:799889ede07a	rs:11	structural-clones	clone	indexed	src/bindings/bridge.rs	24	gigatoken::bindings::bridge::EncodeInput::as_bytes	structural clone x2: gigatoken::bindings::bridge::EncodeInput::as_bytes, gigatoken::input::file_source::LoadedFile::as_bytes	fp	EncodeInput::as_bytes and LoadedFile::as_bytes are 4-line `match self` accessors on two unrelated enums in different modules; digest normalization erased the variant names, so the group is a shape coincidence with no shared fact and no possible dedup
src/bindings/sources.rs:92:11:clone:6f0079190dc2	rs:11	structural-clones	clone	indexed	src/bindings/sources.rs	92	gigatoken::bindings::sources::JsonlFileSource::new	structural clone x2: gigatoken::bindings::sources::JsonlFileSource::new, gigatoken::bindings::sources::ParquetFileSource::new	fp	JsonlFileSource::new and ParquetFileSource::new share only the PyO3 idiom `PyClassInitializer::from(FileSource{..}).add_subclass(Self)` that every subclass ctor must write; the differing DocFormat variant and keyword name are the entire content
src/bindings/sources.rs:114:11:clone:6f0079190dc2	rs:11	structural-clones	clone	indexed	src/bindings/sources.rs	114	gigatoken::bindings::sources::ParquetFileSource::new	structural clone x2: gigatoken::bindings::sources::JsonlFileSource::new, gigatoken::bindings::sources::ParquetFileSource::new	fp	other half of the PyO3 subclass-constructor pair - the shared text is the framework-mandated initializer idiom, not a duplicated decision
src/bpe/mod.rs:469:11:clone-block:0d5c4f6a67dd	rs:11	structural-clones	clone-block	indexed	src/bpe/mod.rs	469	gigatoken::bpe::bpe_merge_symbols_small	structural block clone x2 (6 stmts): gigatoken::bpe::bpe_merge_symbols_ranked_slice, gigatoken::bpe::bpe_merge_symbols_small	real	a genuine repeated block: the same statements carry the same decision in 2 places (gigatoken::bpe::bpe_merge_symbols_ranked_slice, gigatoken::bpe::bpe_merge_symbols_small), so the next fix lands in one of them
src/bpe/mod.rs:474:11:clone-block:99e6471b5a52	rs:11	structural-clones	clone-block	indexed	src/bpe/mod.rs	474	gigatoken::bpe::bpe_merge_symbols_small	structural block clone x2 (5 stmts): gigatoken::bpe::bpe_merge_symbols_short_scalar, gigatoken::bpe::bpe_merge_symbols_small	real	a genuine repeated block: the same statements carry the same decision in 2 places (gigatoken::bpe::bpe_merge_symbols_short_scalar, gigatoken::bpe::bpe_merge_symbols_small), so the next fix lands in one of them
src/bpe/mod.rs:487:11:clone-block:ef793b608279	rs:11	structural-clones	clone-block	indexed	src/bpe/mod.rs	487	gigatoken::bpe::bpe_merge_symbols_small	structural block clone x3 (5 stmts): gigatoken::bpe::bpe_merge_symbols_ranked_slice, gigatoken::bpe::bpe_merge_symbols_short_scalar, gigatoken::bpe::bpe_merge_symbols_small	real	a genuine repeated block: the same statements carry the same decision in 3 places (gigatoken::bpe::bpe_merge_symbols_ranked_slice, gigatoken::bpe::bpe_merge_symbols_short_scalar, gigatoken::bpe::bpe_merge_symbols_small), so the next fix lands in one of them
src/bpe/mod.rs:556:11:clone-block:99e6471b5a52	rs:11	structural-clones	clone-block	indexed	src/bpe/mod.rs	556	gigatoken::bpe::bpe_merge_symbols_short_scalar	structural block clone x2 (5 stmts): gigatoken::bpe::bpe_merge_symbols_short_scalar, gigatoken::bpe::bpe_merge_symbols_small	real	a genuine repeated block: the same statements carry the same decision in 2 places (gigatoken::bpe::bpe_merge_symbols_short_scalar, gigatoken::bpe::bpe_merge_symbols_small), so the next fix lands in one of them
src/bpe/mod.rs:569:11:clone-block:ef793b608279	rs:11	structural-clones	clone-block	indexed	src/bpe/mod.rs	569	gigatoken::bpe::bpe_merge_symbols_short_scalar	structural block clone x3 (5 stmts): gigatoken::bpe::bpe_merge_symbols_ranked_slice, gigatoken::bpe::bpe_merge_symbols_short_scalar, gigatoken::bpe::bpe_merge_symbols_small	real	a genuine repeated block: the same statements carry the same decision in 3 places (gigatoken::bpe::bpe_merge_symbols_ranked_slice, gigatoken::bpe::bpe_merge_symbols_short_scalar, gigatoken::bpe::bpe_merge_symbols_small), so the next fix lands in one of them
src/bpe/mod.rs:653:11:clone-block:3927686bde34	rs:11	structural-clones	clone-block	indexed	src/bpe/mod.rs	653	gigatoken::bpe::bpe_merge_symbols_short_neon	structural block clone x3 (8 stmts): gigatoken::bpe::bpe_merge_symbols_short_avx2, gigatoken::bpe::bpe_merge_symbols_short_avx512, gigatoken::bpe::bpe_merge_symbols_short_neon	real	a genuine repeated block: the same statements carry the same decision in 3 places (gigatoken::bpe::bpe_merge_symbols_short_avx2, gigatoken::bpe::bpe_merge_symbols_short_avx512, gigatoken::bpe::bpe_merge_symbols_short_neon), so the next fix lands in one of them
src/bpe/mod.rs:653:11:clone-block:05256643911e	rs:11	structural-clones	clone-block	indexed	src/bpe/mod.rs	653	gigatoken::bpe::bpe_merge_symbols_short_neon	structural block clone x2 (9 stmts): gigatoken::bpe::bpe_merge_symbols_short_avx2, gigatoken::bpe::bpe_merge_symbols_short_neon	real	a genuine repeated block: the same statements carry the same decision in 2 places (gigatoken::bpe::bpe_merge_symbols_short_avx2, gigatoken::bpe::bpe_merge_symbols_short_neon), so the next fix lands in one of them
src/bpe/mod.rs:688:11:clone-block:b9cbb7562995	rs:11	structural-clones	clone-block	indexed	src/bpe/mod.rs	688	gigatoken::bpe::bpe_merge_symbols_short_neon	structural block clone x3 (10 stmts): gigatoken::bpe::bpe_merge_symbols_short_avx2, gigatoken::bpe::bpe_merge_symbols_short_avx512, gigatoken::bpe::bpe_merge_symbols_short_neon	real	a genuine repeated block: the same statements carry the same decision in 3 places (gigatoken::bpe::bpe_merge_symbols_short_avx2, gigatoken::bpe::bpe_merge_symbols_short_avx512, gigatoken::bpe::bpe_merge_symbols_short_neon), so the next fix lands in one of them
src/bpe/mod.rs:749:11:clone-block:3927686bde34	rs:11	structural-clones	clone-block	indexed	src/bpe/mod.rs	749	gigatoken::bpe::bpe_merge_symbols_short_avx512	structural block clone x3 (8 stmts): gigatoken::bpe::bpe_merge_symbols_short_avx2, gigatoken::bpe::bpe_merge_symbols_short_avx512, gigatoken::bpe::bpe_merge_symbols_short_neon	real	a genuine repeated block: the same statements carry the same decision in 3 places (gigatoken::bpe::bpe_merge_symbols_short_avx2, gigatoken::bpe::bpe_merge_symbols_short_avx512, gigatoken::bpe::bpe_merge_symbols_short_neon), so the next fix lands in one of them
src/bpe/mod.rs:772:11:clone-block:b9cbb7562995	rs:11	structural-clones	clone-block	indexed	src/bpe/mod.rs	772	gigatoken::bpe::bpe_merge_symbols_short_avx512	structural block clone x3 (10 stmts): gigatoken::bpe::bpe_merge_symbols_short_avx2, gigatoken::bpe::bpe_merge_symbols_short_avx512, gigatoken::bpe::bpe_merge_symbols_short_neon	real	a genuine repeated block: the same statements carry the same decision in 3 places (gigatoken::bpe::bpe_merge_symbols_short_avx2, gigatoken::bpe::bpe_merge_symbols_short_avx512, gigatoken::bpe::bpe_merge_symbols_short_neon), so the next fix lands in one of them
src/bpe/mod.rs:822:11:clone-block:3927686bde34	rs:11	structural-clones	clone-block	indexed	src/bpe/mod.rs	822	gigatoken::bpe::bpe_merge_symbols_short_avx2	structural block clone x3 (8 stmts): gigatoken::bpe::bpe_merge_symbols_short_avx2, gigatoken::bpe::bpe_merge_symbols_short_avx512, gigatoken::bpe::bpe_merge_symbols_short_neon	real	a genuine repeated block: the same statements carry the same decision in 3 places (gigatoken::bpe::bpe_merge_symbols_short_avx2, gigatoken::bpe::bpe_merge_symbols_short_avx512, gigatoken::bpe::bpe_merge_symbols_short_neon), so the next fix lands in one of them
src/bpe/mod.rs:822:11:clone-block:05256643911e	rs:11	structural-clones	clone-block	indexed	src/bpe/mod.rs	822	gigatoken::bpe::bpe_merge_symbols_short_avx2	structural block clone x2 (9 stmts): gigatoken::bpe::bpe_merge_symbols_short_avx2, gigatoken::bpe::bpe_merge_symbols_short_neon	real	a genuine repeated block: the same statements carry the same decision in 2 places (gigatoken::bpe::bpe_merge_symbols_short_avx2, gigatoken::bpe::bpe_merge_symbols_short_neon), so the next fix lands in one of them
src/bpe/mod.rs:862:11:clone-block:b9cbb7562995	rs:11	structural-clones	clone-block	indexed	src/bpe/mod.rs	862	gigatoken::bpe::bpe_merge_symbols_short_avx2	structural block clone x3 (10 stmts): gigatoken::bpe::bpe_merge_symbols_short_avx2, gigatoken::bpe::bpe_merge_symbols_short_avx512, gigatoken::bpe::bpe_merge_symbols_short_neon	real	a genuine repeated block: the same statements carry the same decision in 3 places (gigatoken::bpe::bpe_merge_symbols_short_avx2, gigatoken::bpe::bpe_merge_symbols_short_avx512, gigatoken::bpe::bpe_merge_symbols_short_neon), so the next fix lands in one of them
src/bpe/mod.rs:930:11:clone-block:0d5c4f6a67dd	rs:11	structural-clones	clone-block	indexed	src/bpe/mod.rs	930	gigatoken::bpe::bpe_merge_symbols_ranked_slice	structural block clone x2 (6 stmts): gigatoken::bpe::bpe_merge_symbols_ranked_slice, gigatoken::bpe::bpe_merge_symbols_small	real	a genuine repeated block: the same statements carry the same decision in 2 places (gigatoken::bpe::bpe_merge_symbols_ranked_slice, gigatoken::bpe::bpe_merge_symbols_small), so the next fix lands in one of them
src/bpe/mod.rs:947:11:clone-block:ef793b608279	rs:11	structural-clones	clone-block	indexed	src/bpe/mod.rs	947	gigatoken::bpe::bpe_merge_symbols_ranked_slice	structural block clone x3 (5 stmts): gigatoken::bpe::bpe_merge_symbols_ranked_slice, gigatoken::bpe::bpe_merge_symbols_short_scalar, gigatoken::bpe::bpe_merge_symbols_small	real	a genuine repeated block: the same statements carry the same decision in 3 places (gigatoken::bpe::bpe_merge_symbols_ranked_slice, gigatoken::bpe::bpe_merge_symbols_short_scalar, gigatoken::bpe::bpe_merge_symbols_small), so the next fix lands in one of them
src/bpe/tiktoken.rs:1564:11:clone-block:ffdc8329b8cb	rs:11	structural-clones	clone-block	indexed	src/bpe/tiktoken.rs	1564	gigatoken::bpe::tiktoken::Tokenizer::encode_pretoken_miss_ranked	structural block clone x2 (6 stmts): gigatoken::bpe::tiktoken::Tokenizer::encode_pretoken_miss, gigatoken::bpe::tiktoken::Tokenizer::encode_pretoken_miss_ranked	real	a genuine repeated block: the same statements carry the same decision in 2 places (gigatoken::bpe::tiktoken::Tokenizer::encode_pretoken_miss, gigatoken::bpe::tiktoken::Tokenizer::encode_pretoken_miss_ranked), so the next fix lands in one of them
