key	rule	slug	arm	tier	file	line	symbol	message	verdict	why
crates/turmoil/tests/fs/io_uring.rs:522:18:sections:turmoil::tests::fs::io_uring::crash_drops_unsynced_writes_submitted_via_ring	rs:18	section-comments	sections	heuristic	crates/turmoil/tests/fs/io_uring.rs	522	turmoil::tests::fs::io_uring::crash_drops_unsynced_writes_submitted_via_ring	turmoil::tests::fs::io_uring::crash_drops_unsynced_writes_submitted_via_ring narrates 2 labeled phases - each is a function boundary spelled in prose	fp	The two Phase 0/Phase 1 lines are adjacent header lines summarizing the whole test with no code between them, and they name sim lifecycle phases across a crash/bounce that the same host closure branches on - not section boundaries in one body.
crates/turmoil-net/tests/parity.rs:33:42:assertion-free:turmoil_net::tests::parity::trait_bounds	rs:42	assertion-free-test	assertion-free	indexed	crates/turmoil-net/tests/parity.rs	33	turmoil_net::tests::parity::trait_bounds	turmoil_net::tests::parity::trait_bounds asserts nothing - it can only fail by panicking	fp	Compile-only parity test: the module doc says the body never runs, and the oracle is the type checker (`debug::<T>()` trait-bound calls under `--cfg parity_tokio`); a runtime assertion would add nothing.
crates/turmoil/tests/io_uring_parity.rs:34:42:assertion-free:turmoil::tests::io_uring_parity::type_surface	rs:42	assertion-free-test	assertion-free	indexed	crates/turmoil/tests/io_uring_parity.rs	34	turmoil::tests::io_uring_parity::type_surface	turmoil::tests::io_uring_parity::type_surface asserts nothing - it can only fail by panicking	fp	Compile-only io_uring parity test; the trait-bound calls `debug::<T>()` / `as_raw_fd::<IoUring>()` are the assertion and the compiler is the oracle.
crates/turmoil/tests/io_uring_parity.rs:47:42:assertion-free:turmoil::tests::io_uring_parity::ioring_constructors	rs:42	assertion-free-test	assertion-free	indexed	crates/turmoil/tests/io_uring_parity.rs	47	turmoil::tests::io_uring_parity::ioring_constructors	turmoil::tests::io_uring_parity::ioring_constructors asserts nothing - it can only fail by panicking	fp	Compile-only parity test: the `let _: fn(u32) -> io::Result<IoUring> = IoUring::new;` ascriptions are the verdict, checked at compile time.
crates/turmoil/tests/io_uring_parity.rs:56:42:assertion-free:turmoil::tests::io_uring_parity::submitter_methods	rs:42	assertion-free-test	assertion-free	indexed	crates/turmoil/tests/io_uring_parity.rs	56	turmoil::tests::io_uring_parity::submitter_methods	turmoil::tests::io_uring_parity::submitter_methods asserts nothing - it can only fail by panicking	fp	Compile-only parity test: the `io::Result<usize>` ascriptions on Submitter methods are the verdict; the body deliberately does no runtime work.
crates/turmoil/tests/io_uring_parity.rs:67:42:assertion-free:turmoil::tests::io_uring_parity::opcode_builders	rs:42	assertion-free-test	assertion-free	indexed	crates/turmoil/tests/io_uring_parity.rs	67	turmoil::tests::io_uring_parity::opcode_builders	turmoil::tests::io_uring_parity::opcode_builders asserts nothing - it can only fail by panicking	fp	Compile-only parity test: `let _: squeue::Entry = ...build();` ascriptions pin the opcode builder signatures at compile time.
crates/turmoil/tests/io_uring_parity.rs:92:42:assertion-free:turmoil::tests::io_uring_parity::squeue_entry_builders	rs:42	assertion-free-test	assertion-free	indexed	crates/turmoil/tests/io_uring_parity.rs	92	turmoil::tests::io_uring_parity::squeue_entry_builders	turmoil::tests::io_uring_parity::squeue_entry_builders asserts nothing - it can only fail by panicking	fp	Compile-only parity test: the `fn check(e: squeue::Entry) -> squeue::Entry` signature is the assertion the compiler checks.
crates/turmoil/tests/io_uring_parity.rs:101:42:assertion-free:turmoil::tests::io_uring_parity::cqueue_entry_accessors	rs:42	assertion-free-test	assertion-free	indexed	crates/turmoil/tests/io_uring_parity.rs	101	turmoil::tests::io_uring_parity::cqueue_entry_accessors	turmoil::tests::io_uring_parity::cqueue_entry_accessors asserts nothing - it can only fail by panicking	fp	Compile-only parity test: the `let _: u64/i32/u32` ascriptions on cqueue accessors are the verdict.
crates/turmoil/tests/io_uring_parity.rs:111:42:assertion-free:turmoil::tests::io_uring_parity::types_fd_wraps_rawfd	rs:42	assertion-free-test	assertion-free	indexed	crates/turmoil/tests/io_uring_parity.rs	111	turmoil::tests::io_uring_parity::types_fd_wraps_rawfd	turmoil::tests::io_uring_parity::types_fd_wraps_rawfd asserts nothing - it can only fail by panicking	fp	Compile-only parity test: `let _: types::Fd = types::Fd(0 as RawFd);` is a type-level assertion, checked by the compiler.
crates/turmoil/src/sim.rs:1002:47:sleepy:turmoil::sim::test::elapsed_time_across_restarts:1002	rs:47	sleepy-test	sleepy	heuristic	crates/turmoil/src/sim.rs	1002	turmoil::sim::test::elapsed_time_across_restarts	turmoil::sim::test::elapsed_time_across_restarts sleeps 0.001s - wall-clock waits make tests slow and flaky	fp	Simulated time: the sleep runs inside a turmoil sim host on the sim's paused clock (tick_duration 5ms), so it advances virtual time and costs no wall clock - the test then asserts on elapsed().
crates/turmoil/tests/fs/metadata.rs:80:47:sleepy:turmoil::tests::fs::metadata::mtime_updates_on_write:80	rs:47	sleepy-test	sleepy	heuristic	crates/turmoil/tests/fs/metadata.rs	80	turmoil::tests::fs::metadata::mtime_updates_on_write	turmoil::tests::fs::metadata::mtime_updates_on_write sleeps 1s - wall-clock waits make tests slow and flaky	fp	Simulated time: sleep inside `sim.client` advances turmoil's virtual clock, which is the only way to move mtime forward in the simulated fs; no wall-clock wait occurs.
crates/turmoil/tests/fs/metadata.rs:160:47:sleepy:turmoil::tests::fs::metadata::dir_mtime_updates_on_content_change:160	rs:47	sleepy-test	sleepy	heuristic	crates/turmoil/tests/fs/metadata.rs	160	turmoil::tests::fs::metadata::dir_mtime_updates_on_content_change	turmoil::tests::fs::metadata::dir_mtime_updates_on_content_change sleeps 1s - wall-clock waits make tests slow and flaky	fp	Simulated time: both sleeps run on turmoil's virtual clock inside `sim.client`, separating directory mtime observations at zero wall-clock cost.
crates/turmoil/tests/net/tcp.rs:96:47:sleepy:turmoil::tests::net::tcp::release_bind_on_drop:96	rs:47	sleepy-test	sleepy	heuristic	crates/turmoil/tests/net/tcp.rs	96	turmoil::tests::net::tcp::release_bind_on_drop	turmoil::tests::net::tcp::release_bind_on_drop sleeps 1s - wall-clock waits make tests slow and flaky	fp	Simulated time: sleep inside `sim.client` advances the sim clock; it is turmoil's idiom for spacing events, not a wall-clock wait.
crates/turmoil/tests/net/tcp.rs:1281:47:sleepy:turmoil::tests::net::tcp::remote_dropped:1281	rs:47	sleepy-test	sleepy	heuristic	crates/turmoil/tests/net/tcp.rs	1281	turmoil::tests::net::tcp::remote_dropped	turmoil::tests::net::tcp::remote_dropped sleeps 0.1s - wall-clock waits make tests slow and flaky	fp	Simulated time: the 100ms sleep paces a poll loop inside `sim.client` on the virtual clock, and the loop breaks on the BrokenPipe condition it is testing.
crates/turmoil/tests/net/tcp.rs:1459:47:sleepy:turmoil::tests::net::tcp::network_hold_holds_inflight_messages:1459	rs:47	sleepy-test	sleepy	heuristic	crates/turmoil/tests/net/tcp.rs	1459	turmoil::tests::net::tcp::network_hold_holds_inflight_messages	turmoil::tests::net::tcp::network_hold_holds_inflight_messages sleeps 1s - wall-clock waits make tests slow and flaky	fp	Simulated time: the sleep is how the test holds the link for a simulated second between `turmoil::hold` and `turmoil::release`; virtual clock, no wall wait.
crates/turmoil/tests/net/udp.rs:742:47:sleepy:turmoil::tests::net::udp::loopback_delivery:742	rs:47	sleepy-test	sleepy	heuristic	crates/turmoil/tests/net/udp.rs	742	turmoil::tests::net::udp::loopback_delivery	turmoil::tests::net::udp::loopback_delivery sleeps 0.05s - wall-clock waits make tests slow and flaky	fp	Simulated time: sleep inside a task spawned in `sim.client` advances the sim clock to order the send after the second bind; the receiver still awaits recv_from.
